Tarih,TP_SEKBILTPGN_02
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,14141.1
2010-01-01,22247.2
2011-01-01,41607.0
2012-01-01,41836.5
2013-01-01,23290.3
2014-01-01,21541.8
2015-01-01,20396.0
2016-01-01,19705.1
2017-01-01,57461.8
2018-01-01,63482.2
2019-01-01,60461.7
2020-01-01,117850.0
2021-01-01,195487.8
2022-01-01,477888.4
2023-01-01,642202.4
