Tarih,TP_SEKBILTPGN_D
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,2304209.9
2010-01-01,3552115.4
2011-01-01,4811237.1
2012-01-01,6744084.5
2013-01-01,15221201.5
2014-01-01,15267170.0
2015-01-01,16634342.6
2016-01-01,17623964.3
2017-01-01,26757401.1
2018-01-01,24732686.6
2019-01-01,24228948.9
2020-01-01,25597783.0
2021-01-01,29276195.9
2022-01-01,57388808.3
2023-01-01,84346441.5
