Tarih,TP_ODEROLL_K3
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,108.46
2006-07-01,108.59
2006-08-01,104.4
2006-09-01,104.58
2006-10-01,101.96
2006-11-01,99.84
2006-12-01,100.69
2007-01-01,100.7
2007-02-01,103.81
2007-03-01,101.92
2007-04-01,104.88
2007-05-01,112.74
2007-06-01,112.79
2007-07-01,113.5
2007-08-01,118.11
2007-09-01,115.84
2007-10-01,114.35
2007-11-01,105.94
2007-12-01,104.25
2008-01-01,105.46
2008-02-01,106.55
2008-03-01,107.11
2008-04-01,109.7
2008-05-01,110.08
2008-06-01,109.46
2008-07-01,116.19
2008-08-01,115.63
2008-09-01,114.32
2008-10-01,113.38
2008-11-01,105.57
2008-12-01,99.86
2009-01-01,94.76
2009-02-01,87.7
2009-03-01,82.69
2009-04-01,75.85
2009-05-01,76.88
2009-06-01,80.8
2009-07-01,80.83
2009-08-01,82.42
2009-09-01,84.41
2009-10-01,88.76
2009-11-01,95.71
2009-12-01,101.92
2010-01-01,99.55
2010-02-01,100.84
2010-03-01,103.49
2010-04-01,105.08
2010-05-01,105.6
2010-06-01,103.9
2010-07-01,105.38
2010-08-01,106.62
2010-09-01,107.41
2010-10-01,110.8
2010-11-01,112.87
2010-12-01,115.96
2011-01-01,117.99
2011-02-01,116.13
2011-03-01,119.77
2011-04-01,113.97
2011-05-01,114.53
2011-06-01,113.0
2011-07-01,111.32
2011-08-01,111.59
2011-09-01,108.91
2011-10-01,111.85
2011-11-01,110.64
2011-12-01,108.11
2012-01-01,110.08
2012-02-01,110.83
2012-03-01,104.62
2012-04-01,106.52
2012-05-01,107.03
2012-06-01,108.25
2012-07-01,108.1
2012-08-01,106.75
2012-09-01,109.58
2012-10-01,108.82
2012-11-01,110.76
2012-12-01,114.28
2013-01-01,115.04
2013-02-01,121.72
2013-03-01,127.96
2013-04-01,124.34
2013-05-01,119.32
2013-06-01,117.49
2013-07-01,115.05
2013-08-01,113.1
2013-09-01,109.91
2013-10-01,109.32
2013-11-01,111.46
2013-12-01,113.24
2014-01-01,112.37
2014-02-01,111.19
2014-03-01,111.34
2014-04-01,111.99
2014-05-01,111.8
2014-06-01,109.36
2014-07-01,112.23
2014-08-01,111.43
2014-09-01,113.1
2014-10-01,113.68
2014-11-01,111.68
2014-12-01,110.73
2015-01-01,110.25
2015-02-01,109.01
2015-03-01,107.18
