Tarih,TP_ODEROLL_K4
2015-04-01,116.29
2015-05-01,113.56
2015-06-01,120.87
2015-07-01,118.31
2015-08-01,121.27
2015-09-01,129.7
2015-10-01,134.82
2015-11-01,132.85
2015-12-01,127.81
2016-01-01,132.24
2016-02-01,131.4
2016-03-01,137.81
2016-04-01,135.41
2016-05-01,137.74
2016-06-01,146.35
2016-07-01,141.96
2016-08-01,140.53
2016-09-01,129.59
2016-10-01,131.2
2016-11-01,127.71
2016-12-01,107.86
2017-01-01,108.26
2017-02-01,107.35
2017-03-01,98.12
2017-04-01,96.86
2017-05-01,93.9
2017-06-01,99.57
2017-07-01,103.39
2017-08-01,103.63
2017-09-01,110.11
2017-10-01,115.12
2017-11-01,117.48
2017-12-01,123.43
2018-01-01,128.04
2018-02-01,138.64
2018-03-01,136.73
2018-04-01,126.88
2018-05-01,131.97
2018-06-01,127.46
2018-07-01,126.17
2018-08-01,111.65
2018-09-01,113.59
2018-10-01,114.14
2018-11-01,106.97
2018-12-01,108.09
2019-01-01,97.45
2019-02-01,100.49
2019-03-01,113.46
2019-04-01,111.08
2019-05-01,107.45
2019-06-01,87.99
2019-07-01,91.26
2019-08-01,91.15
2019-09-01,84.55
2019-10-01,81.67
2019-11-01,85.36
2019-12-01,82.09
2020-01-01,78.49
2020-02-01,76.6
2020-03-01,68.81
2020-04-01,67.16
2020-05-01,56.49
2020-06-01,65.33
2020-07-01,63.33
2020-08-01,61.85
2020-09-01,56.56
2020-10-01,72.11
2020-11-01,81.46
2020-12-01,94.75
2021-01-01,103.13
2021-02-01,112.84
2021-03-01,120.94
2021-04-01,112.11
2021-05-01,143.51
2021-06-01,143.19
2021-07-01,138.62
2021-08-01,145.97
2021-09-01,147.41
2021-10-01,145.95
2021-11-01,108.37
2021-12-01,128.56
2022-01-01,139.26
2022-02-01,131.4
2022-03-01,145.45
2022-04-01,145.6
2022-05-01,151.0
2022-06-01,130.93
2022-07-01,171.81
2022-08-01,196.98
2022-09-01,184.28
2022-10-01,184.66
2022-11-01,179.61
2022-12-01,161.06
2023-01-01,117.9
2023-02-01,97.39
2023-03-01,85.73
2023-04-01,79.74
2023-05-01,81.04
2023-06-01,80.58
2023-07-01,92.69
2023-08-01,84.52
2023-09-01,98.43
2023-10-01,103.89
2023-11-01,108.44
2023-12-01,122.0
2024-01-01,100.02
2024-02-01,116.04
2024-03-01,111.4
2024-04-01,120.81
2024-05-01,124.28
2024-06-01,104.61
2024-07-01,129.6
2024-08-01,129.19
2024-09-01,137.03
2024-10-01,138.13
2024-11-01,135.03
2024-12-01,149.59
2025-01-01,154.83
2025-02-01,156.91
2025-03-01,145.48
2025-04-01,145.39
2025-05-01,153.71
2025-06-01,145.58
2025-07-01,140.23
2025-08-01,139.6
