Tarih,TP_YSSK_A1
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,2656.0
2002-02-01,3219.0
2002-03-01,3545.0
2002-04-01,3855.0
2002-05-01,4107.0
2002-06-01,4414.0
2002-07-01,4804.0
2002-08-01,4885.0
2002-09-01,5137.0
2002-10-01,5048.0
2002-11-01,5113.0
2002-12-01,5104.0
2003-01-01,5197.0
2003-02-01,5190.0
2003-03-01,4911.0
2003-04-01,4928.0
2003-05-01,5025.0
2003-06-01,4887.0
2003-07-01,4778.0
2003-08-01,4707.0
2003-09-01,4848.0
2003-10-01,4892.0
2003-11-01,4844.0
2003-12-01,5048.0
2004-01-01,5167.0
2004-02-01,4813.0
2004-03-01,4837.0
2004-04-01,4927.0
2004-05-01,5129.0
2004-06-01,5003.0
2004-07-01,5107.0
2004-08-01,5141.0
2004-09-01,5354.0
2004-10-01,5607.0
2004-11-01,5779.0
2004-12-01,5767.0
2005-01-01,5483.0
2005-02-01,5555.0
2005-03-01,5481.0
2005-04-01,5672.0
2005-05-01,5776.0
2005-06-01,5995.0
2005-07-01,5857.0
2005-08-01,6049.0
2005-09-01,5956.0
2005-10-01,6072.0
2005-11-01,6012.0
2005-12-01,6494.0
2006-01-01,6593.0
2006-02-01,7993.0
2006-03-01,8086.0
2006-04-01,8072.0
2006-05-01,8396.0
2006-06-01,8458.0
2006-07-01,8583.0
2006-08-01,8804.0
2006-09-01,8896.0
2006-10-01,8913.0
2006-11-01,8858.0
2006-12-01,8945.0
2007-01-01,9004.0
2007-02-01,8619.0
2007-03-01,8710.0
2007-04-01,8695.0
2007-05-01,8690.0
2007-06-01,8779.0
2007-07-01,8825.0
2007-08-01,8926.0
2007-09-01,9041.0
2007-10-01,9311.0
2007-11-01,9955.0
2007-12-01,10014.0
2008-01-01,10338.0
2008-02-01,9960.0
2008-03-01,10435.0
2008-04-01,10771.0
2008-05-01,10984.0
2008-06-01,12490.0
2008-07-01,12753.0
2008-08-01,12850.0
2008-09-01,13178.0
2008-10-01,12698.0
2008-11-01,12373.0
2008-12-01,12457.0
2009-01-01,11815.0
2009-02-01,11707.0
2009-03-01,11698.0
2009-04-01,11514.0
2009-05-01,11328.0
2009-06-01,11016.0
2009-07-01,10728.0
2009-08-01,10518.0
2009-09-01,10056.0
2009-10-01,8565.0
2009-11-01,8115.0
2009-12-01,7917.0
2010-01-01,7773.0
2010-02-01,7467.0
2010-03-01,7360.0
2010-04-01,7176.0
2010-05-01,6984.0
2010-06-01,6756.0
2010-07-01,6680.0
2010-08-01,6593.0
2010-09-01,6629.0
2010-10-01,6595.0
2010-11-01,6528.0
2010-12-01,6993.0
2011-01-01,7215.0
2011-02-01,7276.0
2011-03-01,7548.0
2011-04-01,7799.0
2011-05-01,8481.0
2011-06-01,8573.0
2011-07-01,8631.0
2011-08-01,8652.0
2011-09-01,8617.0
2011-10-01,8772.0
2011-11-01,8858.0
2011-12-01,7988.0
2012-01-01,8013.0
2012-02-01,8205.0
2012-03-01,8351.0
2012-04-01,8369.0
2012-05-01,8319.0
2012-06-01,8357.0
2012-07-01,8354.0
2012-08-01,8577.0
2012-09-01,8697.0
2012-10-01,8582.0
2012-11-01,8915.0
2012-12-01,9492.0
2013-01-01,9381.0
