Tarih,TP_YSSK_A3
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,812.0
2002-02-01,797.0
2002-03-01,950.0
2002-04-01,991.0
2002-05-01,1068.0
2002-06-01,1083.0
2002-07-01,1046.0
2002-08-01,1017.0
2002-09-01,1024.0
2002-10-01,981.0
2002-11-01,1031.0
2002-12-01,981.0
2003-01-01,1013.0
2003-02-01,1017.0
2003-03-01,1015.0
2003-04-01,1017.0
2003-05-01,989.0
2003-06-01,1050.0
2003-07-01,1102.0
2003-08-01,1129.0
2003-09-01,1158.0
2003-10-01,1184.0
2003-11-01,1252.0
2003-12-01,1166.0
2004-01-01,1233.0
2004-02-01,1456.0
2004-03-01,1449.0
2004-04-01,1464.0
2004-05-01,1470.0
2004-06-01,1454.0
2004-07-01,1429.0
2004-08-01,1451.0
2004-09-01,1454.0
2004-10-01,1448.0
2004-11-01,1488.0
2004-12-01,1472.0
2005-01-01,1506.0
2005-02-01,1551.0
2005-03-01,1556.0
2005-04-01,1646.0
2005-05-01,1637.0
2005-06-01,1731.0
2005-07-01,1857.0
2005-08-01,1942.0
2005-09-01,1932.0
2005-10-01,1982.0
2005-11-01,2031.0
2005-12-01,2279.0
2006-01-01,2317.0
2006-02-01,2383.0
2006-03-01,2431.0
2006-04-01,2488.0
2006-05-01,2591.0
2006-06-01,2594.0
2006-07-01,2660.0
2006-08-01,2702.0
2006-09-01,2774.0
2006-10-01,2787.0
2006-11-01,3133.0
2006-12-01,3285.0
2007-01-01,3334.0
2007-02-01,3432.0
2007-03-01,3751.0
2007-04-01,3903.0
2007-05-01,3787.0
2007-06-01,4343.0
2007-07-01,4505.0
2007-08-01,4721.0
2007-09-01,4906.0
2007-10-01,5158.0
2007-11-01,5280.0
2007-12-01,5183.0
2008-01-01,5465.0
2008-02-01,5538.0
2008-03-01,5669.0
2008-04-01,5763.0
2008-05-01,5746.0
2008-06-01,5755.0
2008-07-01,5799.0
2008-08-01,5675.0
2008-09-01,5596.0
2008-10-01,5310.0
2008-11-01,5265.0
2008-12-01,5297.0
2009-01-01,5162.0
2009-02-01,4923.0
2009-03-01,4804.0
2009-04-01,4792.0
2009-05-01,4847.0
2009-06-01,4862.0
2009-07-01,4814.0
2009-08-01,4830.0
2009-09-01,5101.0
2009-10-01,5104.0
2009-11-01,4996.0
2009-12-01,5082.0
2010-01-01,4947.0
2010-02-01,4839.0
2010-03-01,4848.0
2010-04-01,4788.0
2010-05-01,4852.0
2010-06-01,4379.0
2010-07-01,4370.0
2010-08-01,4336.0
2010-09-01,4330.0
2010-10-01,4237.0
2010-11-01,4189.0
2010-12-01,4166.0
2011-01-01,4114.0
2011-02-01,4120.0
2011-03-01,4180.0
2011-04-01,4208.0
2011-05-01,4171.0
2011-06-01,4253.0
2011-07-01,4220.0
2011-08-01,4312.0
2011-09-01,4297.0
2011-10-01,4608.0
2011-11-01,4532.0
2011-12-01,4345.0
2012-01-01,4354.0
2012-02-01,4401.0
2012-03-01,4500.0
2012-04-01,4340.0
2012-05-01,4192.0
2012-06-01,4049.0
2012-07-01,4007.0
2012-08-01,4039.0
2012-09-01,4048.0
2012-10-01,4044.0
2012-11-01,3992.0
2012-12-01,3983.0
2013-01-01,4289.0
2013-02-01,4400.0
