Tarih,TP_YSSK_A4
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,1393.0
2002-02-01,1405.0
2002-03-01,1419.0
2002-04-01,1400.0
2002-05-01,1412.0
2002-06-01,1247.0
2002-07-01,1105.0
2002-08-01,1090.0
2002-09-01,1067.0
2002-10-01,1177.0
2002-11-01,1168.0
2002-12-01,1152.0
2003-01-01,1174.0
2003-02-01,1193.0
2003-03-01,949.0
2003-04-01,1042.0
2003-05-01,1076.0
2003-06-01,1062.0
2003-07-01,1053.0
2003-08-01,1025.0
2003-09-01,1038.0
2003-10-01,1111.0
2003-11-01,1119.0
2003-12-01,1239.0
2004-01-01,1233.0
2004-02-01,1250.0
2004-03-01,1240.0
2004-04-01,1228.0
2004-05-01,1264.0
2004-06-01,1230.0
2004-07-01,1221.0
2004-08-01,1258.0
2004-09-01,1173.0
2004-10-01,1233.0
2004-11-01,1284.0
2004-12-01,1394.0
2005-01-01,1416.0
2005-02-01,1492.0
2005-03-01,1632.0
2005-04-01,1676.0
2005-05-01,1635.0
2005-06-01,1698.0
2005-07-01,1732.0
2005-08-01,1785.0
2005-09-01,1782.0
2005-10-01,1825.0
2005-11-01,1856.0
2005-12-01,1923.0
2006-01-01,1839.0
2006-02-01,1949.0
2006-03-01,2026.0
2006-04-01,2025.0
2006-05-01,2015.0
2006-06-01,2036.0
2006-07-01,2031.0
2006-08-01,2200.0
2006-09-01,2193.0
2006-10-01,2260.0
2006-11-01,2304.0
2006-12-01,2482.0
2007-01-01,2489.0
2007-02-01,2681.0
2007-03-01,2928.0
2007-04-01,3083.0
2007-05-01,3203.0
2007-06-01,3224.0
2007-07-01,3386.0
2007-08-01,3425.0
2007-09-01,3505.0
2007-10-01,3601.0
2007-11-01,3811.0
2007-12-01,4051.0
2008-01-01,4217.0
2008-02-01,4763.0
2008-03-01,4970.0
2008-04-01,4951.0
2008-05-01,5379.0
2008-06-01,5405.0
2008-07-01,5484.0
2008-08-01,5345.0
2008-09-01,5346.0
2008-10-01,5071.0
2008-11-01,5034.0
2008-12-01,5187.0
2009-01-01,4969.0
2009-02-01,4786.0
2009-03-01,4764.0
2009-04-01,4722.0
2009-05-01,4812.0
2009-06-01,4852.0
2009-07-01,4937.0
2009-08-01,4998.0
2009-09-01,4974.0
2009-10-01,5930.0
2009-11-01,5959.0
2009-12-01,5730.0
2010-01-01,5590.0
2010-02-01,5468.0
2010-03-01,5481.0
2010-04-01,5380.0
2010-05-01,5210.0
2010-06-01,5219.0
2010-07-01,5334.0
2010-08-01,5219.0
2010-09-01,5310.0
2010-10-01,5289.0
2010-11-01,5148.0
2010-12-01,4719.0
2011-01-01,4814.0
2011-02-01,4591.0
2011-03-01,4563.0
2011-04-01,4570.0
2011-05-01,4367.0
2011-06-01,4350.0
2011-07-01,4278.0
2011-08-01,4279.0
2011-09-01,4113.0
2011-10-01,4159.0
2011-11-01,4021.0
2011-12-01,3450.0
2012-01-01,3399.0
2012-02-01,3380.0
2012-03-01,3213.0
2012-04-01,3227.0
2012-05-01,3116.0
2012-06-01,3259.0
2012-07-01,2343.0
2012-08-01,2292.0
2012-09-01,2444.0
2012-10-01,2432.0
2012-11-01,2404.0
2012-12-01,2519.0
2013-01-01,2562.0
