Tarih,TP_YSSK_A2
2023-01-01,729.0
2023-02-01,788.0
2023-03-01,775.0
2023-04-01,797.0
2023-05-01,736.0
2023-06-01,705.0
2023-07-01,709.0
2023-08-01,707.0
2023-09-01,721.0
2023-10-01,742.0
2023-11-01,733.0
2023-12-01,699.0
2024-01-01,696.0
2024-02-01,719.0
2024-03-01,1228.0
2024-04-01,1313.0
2024-05-01,1394.0
2024-06-01,1450.0
2024-07-01,1474.0
2024-08-01,1459.0
2024-09-01,1491.0
2024-10-01,1499.0
2024-11-01,1452.0
2024-12-01,1652.0
2025-01-01,1732.0
2025-02-01,1691.0
2025-03-01,1733.0
2025-04-01,1179.0
2025-05-01,1179.0
2025-06-01,1335.0
2025-07-01,1362.0
2025-08-01,1371.0
