Tarih,TP_YSSK_A5
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,10286.0
2002-02-01,10692.0
2002-03-01,10751.0
2002-04-01,10855.0
2002-05-01,10863.0
2002-06-01,11520.0
2002-07-01,11550.0
2002-08-01,11606.0
2002-09-01,11925.0
2002-10-01,11944.0
2002-11-01,12112.0
2002-12-01,12295.0
2003-01-01,12431.0
2003-02-01,12407.0
2003-03-01,12228.0
2003-04-01,12242.0
2003-05-01,12603.0
2003-06-01,12463.0
2003-07-01,12495.0
2003-08-01,12331.0
2003-09-01,12502.0
2003-10-01,12483.0
2003-11-01,12068.0
2003-12-01,12285.0
2004-01-01,12384.0
2004-02-01,12804.0
2004-03-01,12965.0
2004-04-01,12874.0
2004-05-01,12920.0
2004-06-01,12927.0
2004-07-01,12922.0
2004-08-01,13035.0
2004-09-01,13115.0
2004-10-01,13243.0
2004-11-01,13233.0
2004-12-01,13649.0
2005-01-01,13443.0
2005-02-01,13632.0
2005-03-01,13615.0
2005-04-01,13768.0
2005-05-01,13670.0
2005-06-01,13851.0
2005-07-01,14218.0
2005-08-01,14045.0
2005-09-01,14233.0
2005-10-01,13773.0
2005-11-01,14167.0
2005-12-01,14428.0
2006-01-01,17017.0
2006-02-01,17381.0
2006-03-01,17970.0
2006-04-01,18332.0
2006-05-01,20097.0
2006-06-01,20419.0
2006-07-01,21051.0
2006-08-01,21527.0
2006-09-01,22148.0
2006-10-01,22547.0
2006-11-01,23267.0
2006-12-01,24428.0
2007-01-01,24403.0
2007-02-01,25281.0
2007-03-01,30273.0
2007-04-01,31113.0
2007-05-01,33723.0
2007-06-01,34075.0
2007-07-01,35065.0
2007-08-01,36126.0
2007-09-01,37396.0
2007-10-01,38923.0
2007-11-01,40063.0
2007-12-01,41952.0
2008-01-01,42950.0
2008-02-01,44337.0
2008-03-01,46882.0
2008-04-01,47936.0
2008-05-01,49341.0
2008-06-01,51261.0
2008-07-01,51902.0
2008-08-01,52070.0
2008-09-01,52451.0
2008-10-01,50982.0
2008-11-01,50813.0
2008-12-01,52740.0
2009-01-01,51504.0
2009-02-01,51122.0
2009-03-01,51663.0
2009-04-01,51767.0
2009-05-01,52456.0
2009-06-01,52827.0
2009-07-01,53142.0
2009-08-01,52324.0
2009-09-01,51627.0
2009-10-01,52026.0
2009-11-01,52253.0
2009-12-01,50782.0
2010-01-01,50620.0
2010-02-01,49600.0
2010-03-01,49128.0
2010-04-01,48862.0
2010-05-01,47619.0
2010-06-01,46965.0
2010-07-01,48533.0
2010-08-01,47869.0
2010-09-01,49531.0
2010-10-01,50504.0
2010-11-01,50275.0
2010-12-01,49603.0
2011-01-01,50516.0
2011-02-01,50870.0
2011-03-01,52907.0
2011-04-01,54217.0
2011-05-01,53565.0
2011-06-01,53755.0
2011-07-01,53639.0
2011-08-01,53261.0
2011-09-01,51767.0
2011-10-01,52490.0
2011-11-01,51961.0
2011-12-01,51055.0
2012-01-01,51473.0
2012-02-01,51926.0
2012-03-01,51842.0
2012-04-01,51564.0
2012-05-01,50528.0
2012-06-01,50086.0
2012-07-01,49875.0
2012-08-01,50794.0
2012-09-01,50904.0
2012-10-01,51039.0
2012-11-01,51171.0
2012-12-01,52160.0
2013-01-01,52850.0
