Tarih,TP_YSSK_A6
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,16343.0
2002-02-01,17374.0
2002-03-01,18095.0
2002-04-01,18625.0
2002-05-01,19090.0
2002-06-01,20010.0
2002-07-01,20344.0
2002-08-01,20329.0
2002-09-01,20857.0
2002-10-01,20857.0
2002-11-01,21188.0
2002-12-01,21296.0
2003-01-01,21624.0
2003-02-01,21626.0
2003-03-01,20651.0
2003-04-01,20824.0
2003-05-01,21363.0
2003-06-01,21123.0
2003-07-01,21148.0
2003-08-01,20926.0
2003-09-01,21285.0
2003-10-01,21447.0
2003-11-01,21055.0
2003-12-01,21531.0
2004-01-01,21823.0
2004-02-01,22140.0
2004-03-01,22413.0
2004-04-01,22415.0
2004-05-01,22695.0
2004-06-01,22560.0
2004-07-01,22637.0
2004-08-01,22874.0
2004-09-01,23126.0
2004-10-01,23584.0
2004-11-01,23903.0
2004-12-01,24492.0
2005-01-01,24069.0
2005-02-01,24525.0
2005-03-01,24627.0
2005-04-01,25200.0
2005-05-01,25116.0
2005-06-01,25591.0
2005-07-01,26223.0
2005-08-01,26391.0
2005-09-01,26421.0
2005-10-01,26192.0
2005-11-01,26542.0
2005-12-01,27630.0
2006-01-01,30251.0
2006-02-01,32279.0
2006-03-01,33211.0
2006-04-01,33814.0
2006-05-01,36127.0
2006-06-01,36463.0
2006-07-01,37323.0
2006-08-01,38302.0
2006-09-01,39128.0
2006-10-01,39695.0
2006-11-01,40913.0
2006-12-01,42671.0
2007-01-01,42753.0
2007-02-01,43687.0
2007-03-01,49525.0
2007-04-01,50752.0
2007-05-01,53193.0
2007-06-01,54348.0
2007-07-01,55750.0
2007-08-01,57379.0
2007-09-01,59285.0
2007-10-01,61705.0
2007-11-01,64079.0
2007-12-01,66231.0
2008-01-01,68073.0
2008-02-01,69937.0
2008-03-01,73586.0
2008-04-01,75013.0
2008-05-01,77898.0
2008-06-01,81635.0
2008-07-01,82725.0
2008-08-01,82832.0
2008-09-01,83561.0
2008-10-01,81107.0
2008-11-01,80563.0
2008-12-01,82858.0
2009-01-01,80473.0
2009-02-01,79565.0
2009-03-01,79823.0
2009-04-01,79639.0
2009-05-01,80271.0
2009-06-01,80258.0
2009-07-01,80195.0
2009-08-01,79177.0
2009-09-01,78180.0
2009-10-01,77935.0
2009-11-01,77373.0
2009-12-01,75706.0
2010-01-01,74983.0
2010-02-01,73331.0
2010-03-01,72742.0
2010-04-01,71953.0
2010-05-01,70102.0
2010-06-01,68502.0
2010-07-01,70204.0
2010-08-01,69232.0
2010-09-01,70922.0
2010-10-01,71638.0
2010-11-01,70945.0
2010-12-01,70147.0
2011-01-01,71369.0
2011-02-01,71576.0
2011-03-01,73760.0
2011-04-01,75359.0
2011-05-01,74482.0
2011-06-01,74927.0
2011-07-01,74757.0
2011-08-01,74763.0
2011-09-01,73008.0
2011-10-01,74296.0
2011-11-01,73537.0
2011-12-01,70751.0
2012-01-01,71200.0
2012-02-01,71880.0
2012-03-01,72052.0
2012-04-01,71568.0
2012-05-01,70190.0
2012-06-01,69735.0
2012-07-01,68563.0
2012-08-01,69727.0
2012-09-01,70294.0
2012-10-01,70343.0
2012-11-01,71068.0
2012-12-01,72453.0
2013-01-01,73605.0
