Tarih,TP_UNDNAKLIYE_YIT_PL_ADET
2016-09-01,760.0
2016-10-01,1073.0
2016-11-01,988.0
2016-12-01,842.0
2017-01-01,860.0
2017-02-01,972.0
2017-03-01,1038.0
2017-04-01,1047.0
2017-05-01,1107.0
2017-06-01,1032.0
2017-07-01,1147.0
2017-08-01,1009.0
2017-09-01,1106.0
2017-10-01,1184.0
2017-11-01,1107.0
2017-12-01,962.0
2018-01-01,910.0
2018-02-01,995.0
2018-03-01,1111.0
2018-04-01,1092.0
2018-05-01,971.0
2018-06-01,978.0
2018-07-01,1073.0
2018-08-01,817.0
2018-09-01,852.0
2018-10-01,765.0
2018-11-01,589.0
2018-12-01,547.0
2019-01-01,572.0
2019-02-01,680.0
2019-03-01,795.0
2019-04-01,821.0
2019-05-01,741.0
2019-06-01,621.0
2019-07-01,626.0
2019-08-01,451.0
2019-09-01,628.0
2019-10-01,690.0
2019-11-01,652.0
2019-12-01,705.0
2020-01-01,632.0
2020-02-01,834.0
2020-03-01,668.0
2020-04-01,300.0
2020-05-01,531.0
2020-06-01,639.0
2020-07-01,754.0
2020-08-01,708.0
2020-09-01,776.0
2020-10-01,760.0
2020-11-01,714.0
2020-12-01,798.0
2021-01-01,571.0
2021-02-01,803.0
2021-03-01,833.0
2021-04-01,779.0
2021-05-01,686.0
2021-06-01,641.0
2021-07-01,566.0
2021-08-01,543.0
2021-09-01,567.0
2021-10-01,638.0
2021-11-01,663.0
2021-12-01,660.0
2022-01-01,605.0
2022-02-01,601.0
2022-03-01,755.0
2022-04-01,562.0
2022-05-01,585.0
2022-06-01,568.0
2022-07-01,508.0
2022-08-01,621.0
2022-09-01,573.0
2022-10-01,605.0
2022-11-01,595.0
2022-12-01,716.0
2023-01-01,646.0
2023-02-01,797.0
2023-03-01,1061.0
2023-04-01,932.0
2023-05-01,1007.0
2023-06-01,906.0
2023-07-01,960.0
2023-08-01,812.0
2023-09-01,851.0
2023-10-01,892.0
2023-11-01,659.0
2023-12-01,669.0
2024-01-01,774.0
2024-02-01,1014.0
2024-03-01,1084.0
2024-04-01,968.0
2024-05-01,976.0
2024-06-01,746.0
2024-07-01,782.0
2024-08-01,532.0
2024-09-01,638.0
2024-10-01,576.0
2024-11-01,542.0
2024-12-01,777.0
2025-01-01,585.0
2025-02-01,908.0
2025-03-01,956.0
2025-04-01,888.0
2025-05-01,856.0
2025-06-01,728.0
2025-07-01,672.0
2025-08-01,571.0
2025-09-01,702.0
