Tarih,TP_API_TREP_TL_G214
2000-01-01,
2000-01-02,
2000-01-03,
2000-01-04,
2000-01-05,
2000-01-06,
2000-01-07,
2000-01-08,
2000-01-09,
2000-01-10,
2000-01-11,
2000-01-12,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-01-02,
2001-01-03,2145485.6
2001-01-04,7585953.1
2001-01-05,10686455.2
2001-01-06,15442424.0
2001-01-07,12585442.2
2001-01-08,8689966.6
2001-01-09,5278474.3
2001-01-10,5031480.1
2001-01-11,7851964.3
2001-01-12,6827468.7
2001-02-01,
2001-03-01,2145485.6
2001-04-01,7585953.1
2001-05-01,10686455.2
2001-06-01,15442424.0
2001-07-01,12585442.2
2001-08-01,8689966.6
2001-09-01,5278474.3
2001-10-01,5031480.1
2001-11-01,7851964.3
2001-12-01,6827468.7
2002-01-01,6690464.2
2002-01-02,6260475.0
2002-01-03,6617972.0
2002-01-04,6550476.0
2002-01-05,7068957.0
2002-01-06,8155464.0
2002-01-07,11915438.0
2002-01-08,8073445.0
2002-01-09,10251452.0
2002-01-10,9165449.0
2002-01-11,14221500.0
2002-01-12,12218500.0
2002-02-01,6260475.0
2002-03-01,6617972.0
2002-04-01,6550476.0
2002-05-01,7068957.0
2002-06-01,8155464.0
2002-07-01,11915438.0
2002-08-01,8073445.0
2002-09-01,10251452.0
2002-10-01,9165449.0
2002-11-01,14221500.0
2002-12-01,12218500.0
2003-01-01,17173500.0
2003-01-02,7426000.0
2003-01-03,8707500.0
2003-01-04,8658500.0
2003-01-05,2275500.0
2003-01-06,1079000.0
2003-01-07,3180000.0
2003-01-08,5986500.0
2003-01-09,9131500.0
2003-01-10,22066500.0
2003-01-11,8011500.0
2003-01-12,6424500.0
2003-02-01,7426000.0
2003-03-01,8707500.0
2003-04-01,8658500.0
2003-05-01,2275500.0
2003-06-01,1079000.0
2003-07-01,3180000.0
2003-08-01,5986500.0
2003-09-01,9131500.0
2003-10-01,22066500.0
2003-11-01,8011500.0
2003-12-01,6424500.0
2004-01-01,2768500.0
2004-01-02,7811500.0
2004-01-03,7586000.0
2004-01-04,12035500.0
2004-01-05,14402500.0
2004-01-06,5998500.0
2004-01-07,2941500.0
2004-01-08,4305500.0
2004-01-09,4351000.0
2004-01-10,3862000.0
2004-01-11,4513500.0
2004-01-12,508500.0
2004-02-01,7811500.0
2004-03-01,7586000.0
2004-04-01,12035500.0
2004-05-01,14402500.0
2004-06-01,5998500.0
2004-07-01,2941500.0
2004-08-01,4305500.0
2004-09-01,4351000.0
2004-10-01,3862000.0
2004-11-01,4513500.0
2004-12-01,508500.0
2005-01-01,55000.0
2005-01-02,373000.0
2005-01-03,3403500.0
2005-01-04,2273500.0
2005-01-05,1247500.0
2005-01-06,2176000.0
2005-01-07,16500.0
2005-01-08,420500.0
2005-01-09,
2005-01-10,2523500.0
2005-01-11,1742000.0
2005-01-12,466500.0
2005-02-01,373000.0
2005-03-01,3403500.0
2005-04-01,2273500.0
2005-05-01,1247500.0
2005-06-01,2176000.0
2005-07-01,16500.0
2005-08-01,420500.0
2005-09-01,
2005-10-01,2523500.0
2005-11-01,1742000.0
2005-12-01,466500.0
2006-01-01,4563000.0
2006-01-02,7163500.0
2006-01-03,24439000.0
2006-01-04,27388500.0
2006-01-05,26664000.0
2006-01-06,18735000.0
2006-01-07,65000.0
2006-01-08,989500.0
2006-01-09,336500.0
2006-01-10,1605000.0
2006-01-11,
2006-01-12,2000.0
2006-02-01,7163500.0
2006-03-01,24439000.0
2006-04-01,27388500.0
2006-05-01,26664000.0
2006-06-01,18735000.0
2006-07-01,65000.0
2006-08-01,989500.0
2006-09-01,336500.0
2006-10-01,1605000.0
2006-11-01,
2006-12-01,2000.0
2007-01-01,1654500.0
2007-01-02,2083500.0
2007-01-03,
2007-01-04,1324000.0
2007-01-05,3716500.0
2007-01-06,
2007-01-07,7179500.0
2007-01-08,6257000.0
2007-01-09,979500.0
2007-01-10,5622500.0
2007-01-11,206000.0
2007-01-12,63500.0
2007-02-01,2083500.0
2007-03-01,
2007-04-01,1324000.0
2007-05-01,3716500.0
2007-06-01,
2007-07-01,7179500.0
2007-08-01,6257000.0
2007-09-01,979500.0
2007-10-01,5622500.0
2007-11-01,206000.0
2007-12-01,63500.0
2008-01-01,
2008-01-02,
2008-01-03,
2008-01-04,49500.0
2008-01-05,
2008-01-06,
2008-01-07,2311000.0
2008-01-08,
2008-01-09,5798500.0
2008-01-10,5171000.0
2008-01-11,12746500.0
2008-01-12,11754000.0
2008-02-01,
2008-03-01,
2008-04-01,49500.0
2008-05-01,
2008-06-01,
2008-07-01,2311000.0
2008-08-01,
2008-09-01,5798500.0
2008-10-01,5171000.0
2008-11-01,12746500.0
2008-12-01,11754000.0
2009-01-01,13667000.0
2009-01-02,9970500.0
2009-01-03,5014000.0
2009-01-04,18294500.0
2009-01-05,4998000.0
2009-01-06,91000.0
2009-01-07,3861500.0
2009-01-08,1643500.0
2009-01-09,5040000.0
2009-01-10,5820500.0
2009-01-11,7239000.0
2009-01-12,5322500.0
2009-02-01,9970500.0
2009-03-01,5014000.0
2009-04-01,18294500.0
2009-05-01,4998000.0
2009-06-01,91000.0
2009-07-01,3861500.0
2009-08-01,1643500.0
2009-09-01,5040000.0
2009-10-01,5820500.0
2009-11-01,7239000.0
2009-12-01,5322500.0
2010-01-01,1378500.0
2010-01-02,1000.0
2010-01-03,1390500.0
2010-01-04,2461000.0
2010-01-05,1083500.0
2010-01-06,
2010-01-07,84500.0
2010-01-08,
2010-01-09,1455000.0
2010-01-10,
2010-01-11,
2010-01-12,
2010-02-01,1000.0
2010-03-01,1390500.0
2010-04-01,2461000.0
2010-05-01,1083500.0
2010-06-01,
2010-07-01,84500.0
2010-08-01,
2010-09-01,1455000.0
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-01-02,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-08,
2011-01-09,14000.0
2011-01-10,
2011-01-11,
2011-01-12,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,14000.0
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-01-02,
2012-01-03,
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-07,
2012-01-08,5045000.0
2012-01-09,10000.0
2012-01-10,6297000.0
2012-01-11,8456000.0
2012-01-12,3960500.0
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,5045000.0
2012-09-01,10000.0
2012-10-01,6297000.0
2012-11-01,8456000.0
2012-12-01,3960500.0
2013-01-01,2058000.0
2013-01-02,367000.0
2013-01-03,
2013-01-04,
2013-01-05,5000.0
2013-01-06,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-12,
2013-02-01,367000.0
2013-03-01,
2013-04-01,
2013-05-01,5000.0
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,475500.0
2014-01-08,301000.0
2014-01-09,581500.0
2014-01-10,
2014-01-11,
2014-01-12,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,475500.0
2014-08-01,301000.0
2014-09-01,581500.0
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-10,
2015-01-11,
2015-01-12,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,14500.0
2016-01-08,
2016-01-09,115000.0
2016-01-10,
2016-01-11,
2016-01-12,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,14500.0
2016-08-01,
2016-09-01,115000.0
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,1029000.0
2018-01-07,541500.0
2018-01-08,1530000.0
2018-01-09,67000.0
2018-01-10,816500.0
2018-01-11,
2018-01-12,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,1029000.0
2018-07-01,541500.0
2018-08-01,1530000.0
2018-09-01,67000.0
2018-10-01,816500.0
2018-11-01,
2018-12-01,
2019-01-01,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-05,
2019-01-06,
2019-01-07,1115000.0
2019-01-08,2917000.0
2019-01-09,1740000.0
2019-01-10,2075000.0
2019-01-11,2355000.0
2019-01-12,2370000.0
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,1115000.0
2019-08-01,2917000.0
2019-09-01,1740000.0
2019-10-01,2075000.0
2019-11-01,2355000.0
2019-12-01,2370000.0
2020-01-01,1733300.0
2020-01-02,951350.0
2020-01-03,885840.0
2020-01-04,2553150.0
2020-01-05,376790.0
2020-01-06,
2020-01-07,720.0
2020-01-08,1030.0
2020-01-09,
2020-01-10,17100.0
2020-01-11,30000.0
2020-01-12,43620.0
2020-02-01,951350.0
2020-03-01,885840.0
2020-04-01,2553150.0
2020-05-01,376790.0
2020-06-01,
2020-07-01,720.0
2020-08-01,1030.0
2020-09-01,
2020-10-01,17100.0
2020-11-01,30000.0
2020-12-01,43620.0
2021-01-01,2000.0
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,6602350.0
2021-01-06,12440.0
2021-01-07,
2021-01-08,
2021-01-09,12800.0
2021-01-10,50910.0
2021-01-11,39520.0
2021-01-12,13770.0
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,6602350.0
2021-06-01,12440.0
2021-07-01,
2021-08-01,
2021-09-01,12800.0
2021-10-01,50910.0
2021-11-01,39520.0
2021-12-01,13770.0
2022-01-01,37820.0
2022-01-02,56370.0
2022-01-03,95420.0
2022-01-04,40230.0
2022-01-05,38900.0
2022-01-06,46110.0
2022-01-07,315270.0
2022-01-08,940810.0
2022-01-09,206320.0
2022-01-10,123120.0
2022-01-11,1231450.0
2022-01-12,1220000.0
2022-02-01,56370.0
2022-03-01,95420.0
2022-04-01,40230.0
2022-05-01,38900.0
2022-06-01,46110.0
2022-07-01,315270.0
2022-08-01,940810.0
2022-09-01,206320.0
2022-10-01,123120.0
2022-11-01,1231450.0
2022-12-01,1220000.0
2023-01-01,14920.0
2023-01-02,118530.0
2023-01-03,51080.0
2023-01-04,279360.0
2023-01-05,3350.0
2023-01-06,1759820.0
2023-01-07,1525710.0
2023-01-08,1250000.0
2023-01-09,43212970.0
2023-01-10,4389000.0
2023-01-11,749950.0
2023-01-12,622220.0
2023-02-01,118530.0
2023-03-01,51080.0
2023-04-01,279360.0
2023-05-01,3350.0
2023-06-01,1759820.0
2023-07-01,1525710.0
2023-08-01,1250000.0
2023-09-01,43212970.0
2023-10-01,4389000.0
2023-11-01,749950.0
2023-12-01,622220.0
2024-01-01,79289220.0
2024-01-02,720000.0
2024-01-03,363900.0
2024-01-04,7900000.0
2024-01-05,2150000.0
2024-01-06,10018850.0
2024-01-07,13570000.0
2024-01-08,9472350.0
2024-01-09,6752650.0
2024-01-10,11557830.0
2024-01-11,7373710.0
2024-01-12,2218000.0
2024-02-01,720000.0
2024-03-01,363900.0
2024-04-01,7900000.0
2024-05-01,2150000.0
2024-06-01,10018850.0
2024-07-01,13570000.0
2024-08-01,9472350.0
2024-09-01,6752650.0
2024-10-01,11557830.0
2024-11-01,7373710.0
2024-12-01,2218000.0
2025-01-01,16507330.0
2025-01-02,5452700.0
2025-01-03,8070860.0
2025-01-04,93000.0
2025-01-05,4840000.0
2025-01-06,4345010.0
2025-01-07,16773330.0
2025-01-08,826840.0
2025-01-09,745760.0
2025-02-01,5452700.0
2025-03-01,8070860.0
2025-04-01,93000.0
2025-05-01,4840000.0
2025-06-01,4345010.0
2025-07-01,16773330.0
2025-08-01,826840.0
2025-09-01,745760.0
