Tarih,TP_API_TREP_ORT_G1
2000-01-01,
2000-01-02,
2000-01-03,
2000-01-04,
2000-01-05,
2000-01-06,
2000-01-07,
2000-01-08,
2000-01-09,
2000-01-10,
2000-01-11,
2000-01-12,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-01-02,100.01
2001-01-03,81.29
2001-01-04,80.34
2001-01-05,70.4
2001-01-06,63.0
2001-01-07,65.3
2001-01-08,63.03
2001-01-09,59.02
2001-01-10,59.0
2001-01-11,59.0
2001-01-12,59.0
2001-02-01,100.01
2001-03-01,81.29
2001-04-01,80.34
2001-05-01,70.4
2001-06-01,63.0
2001-07-01,65.3
2001-08-01,63.03
2001-09-01,59.02
2001-10-01,59.0
2001-11-01,59.0
2001-12-01,59.0
2002-01-01,59.0
2002-01-02,58.0
2002-01-03,54.36
2002-01-04,51.76
2002-01-05,48.0
2002-01-06,48.0
2002-01-07,48.0
2002-01-08,46.07
2002-01-09,46.0
2002-01-10,46.0
2002-01-11,44.46
2002-01-12,44.0
2002-02-01,58.0
2002-03-01,54.36
2002-04-01,51.76
2002-05-01,48.0
2002-06-01,48.0
2002-07-01,48.0
2002-08-01,46.07
2002-09-01,46.0
2002-10-01,46.0
2002-11-01,44.46
2002-12-01,44.0
2003-01-01,44.0
2003-01-02,44.0
2003-01-03,44.0
2003-01-04,43.67
2003-01-05,41.0
2003-01-06,38.24
2003-01-07,35.36
2003-01-08,32.28
2003-01-09,30.49
2003-01-10,27.22
2003-01-11,26.0
2003-01-12,26.0
2003-02-01,44.0
2003-03-01,44.0
2003-04-01,43.67
2003-05-01,41.0
2003-06-01,38.24
2003-07-01,35.36
2003-08-01,32.28
2003-09-01,30.49
2003-10-01,27.22
2003-11-01,26.0
2003-12-01,26.0
2004-01-01,26.0
2004-01-02,24.0
2004-01-03,22.92
2004-01-04,22.0
2004-01-05,22.0
2004-01-06,22.0
2004-01-07,22.0
2004-01-08,22.0
2004-01-09,20.16
2004-01-10,20.0
2004-01-11,20.0
2004-01-12,18.61
2004-02-01,24.0
2004-03-01,22.92
2004-04-01,22.0
2004-05-01,22.0
2004-06-01,22.0
2004-07-01,22.0
2004-08-01,22.0
2004-09-01,20.16
2004-10-01,20.0
2004-11-01,20.0
2004-12-01,18.61
2005-01-01,17.29
2005-01-02,16.51
2005-01-03,15.5
2005-01-04,15.14
2005-01-05,14.6
2005-01-06,14.28
2005-01-07,14.25
2005-01-08,14.25
2005-01-09,
2005-01-10,14.05
2005-01-11,13.76
2005-01-12,13.53
2005-02-01,16.51
2005-03-01,15.5
2005-04-01,15.14
2005-05-01,14.6
2005-06-01,14.28
2005-07-01,14.25
2005-08-01,14.25
2005-09-01,
2005-10-01,14.05
2005-11-01,13.76
2005-12-01,13.53
2006-01-01,13.5
2006-01-02,13.5
2006-01-03,13.5
2006-01-04,13.5
2006-01-05,13.25
2006-01-06,15.34
2006-01-07,17.39
2006-01-08,17.5
2006-01-09,17.5
2006-01-10,17.5
2006-01-11,17.5
2006-01-12,17.5
2006-02-01,13.5
2006-03-01,13.5
2006-04-01,13.5
2006-05-01,13.25
2006-06-01,15.34
2006-07-01,17.39
2006-08-01,17.5
2006-09-01,17.5
2006-10-01,17.5
2006-11-01,17.5
2006-12-01,17.5
2007-01-01,17.5
2007-01-02,17.5
2007-01-03,17.5
2007-01-04,17.5
2007-01-05,17.5
2007-01-06,17.5
2007-01-07,17.5
2007-01-08,17.5
2007-01-09,17.25
2007-01-10,16.99
2007-01-11,16.5
2007-01-12,15.87
2007-02-01,17.5
2007-03-01,17.5
2007-04-01,17.5
2007-05-01,17.5
2007-06-01,17.5
2007-07-01,17.5
2007-08-01,17.5
2007-09-01,17.25
2007-10-01,16.99
2007-11-01,16.5
2007-12-01,15.87
2008-01-01,15.65
2008-01-02,15.48
2008-01-03,15.25
2008-01-04,15.25
2008-01-05,15.41
2008-01-06,16.07
2008-01-07,16.58
2008-01-08,16.75
2008-01-09,16.75
2008-01-10,16.75
2008-01-11,16.56
2008-01-12,15.76
2008-02-01,15.48
2008-03-01,15.25
2008-04-01,15.25
2008-05-01,15.41
2008-06-01,16.07
2008-07-01,16.58
2008-08-01,16.75
2008-09-01,16.75
2008-10-01,16.75
2008-11-01,16.56
2008-12-01,15.76
2009-01-01,13.89
2009-01-02,12.64
2009-01-03,11.27
2009-01-04,10.21
2009-01-05,9.5
2009-01-06,9.05
2009-01-07,8.6
2009-01-08,8.11
2009-01-09,7.67
2009-01-10,7.21
2009-01-11,6.74
2009-01-12,6.5
2009-02-01,12.64
2009-03-01,11.27
2009-04-01,10.21
2009-05-01,9.5
2009-06-01,9.05
2009-07-01,8.6
2009-08-01,8.11
2009-09-01,7.67
2009-10-01,7.21
2009-11-01,6.74
2009-12-01,6.5
2010-01-01,6.5
2010-01-02,6.5
2010-01-03,6.5
2010-01-04,6.5
2010-01-05,6.5
2010-01-06,6.5
2010-01-07,6.5
2010-01-08,6.5
2010-01-09,6.44
2010-01-10,5.76
2010-01-11,5.75
2010-01-12,
2010-02-01,6.5
2010-03-01,6.5
2010-04-01,6.5
2010-05-01,6.5
2010-06-01,6.5
2010-07-01,6.5
2010-08-01,6.5
2010-09-01,6.44
2010-10-01,5.76
2010-11-01,5.75
2010-12-01,
2011-01-01,
2011-01-02,
2011-01-03,
2011-01-04,1.5
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-08,
2011-01-09,5.0
2011-01-10,
2011-01-11,5.0
2011-01-12,
2011-02-01,
2011-03-01,
2011-04-01,1.5
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,5.0
2011-10-01,
2011-11-01,5.0
2011-12-01,
2012-01-01,
2012-01-02,5.0
2012-01-03,5.0
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-07,5.0
2012-01-08,5.0
2012-01-09,5.0
2012-01-10,5.0
2012-01-11,5.0
2012-01-12,5.0
2012-02-01,5.0
2012-03-01,5.0
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,5.0
2012-08-01,5.0
2012-09-01,5.0
2012-10-01,5.0
2012-11-01,5.0
2012-12-01,5.0
2013-01-01,4.9
2013-01-02,4.69
2013-01-03,4.5
2013-01-04,4.0
2013-01-05,4.0
2013-01-06,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-12,
2013-02-01,4.69
2013-03-01,4.5
2013-04-01,4.0
2013-05-01,4.0
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-01-02,8.0
2014-01-03,
2014-01-04,8.0
2014-01-05,8.0
2014-01-06,8.0
2014-01-07,7.97
2014-01-08,7.5
2014-01-09,7.5
2014-01-10,
2014-01-11,
2014-01-12,
2014-02-01,8.0
2014-03-01,
2014-04-01,8.0
2014-05-01,8.0
2014-06-01,8.0
2014-07-01,7.97
2014-08-01,7.5
2014-09-01,7.5
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-10,7.25
2015-01-11,
2015-01-12,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,7.25
2015-11-01,
2015-12-01,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,7.25
2016-01-08,7.25
2016-01-09,7.25
2016-01-10,7.25
2016-01-11,7.25
2016-01-12,7.25
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,7.25
2016-08-01,7.25
2016-09-01,7.25
2016-10-01,7.25
2016-11-01,7.25
2016-12-01,7.25
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,16.05
2018-01-07,16.25
2018-01-08,16.25
2018-01-09,22.5
2018-01-10,22.5
2018-01-11,22.5
2018-01-12,22.5
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,16.05
2018-07-01,16.25
2018-08-01,16.25
2018-09-01,22.5
2018-10-01,22.5
2018-11-01,22.5
2018-12-01,22.5
2019-01-01,22.5
2019-01-02,
2019-01-03,22.5
2019-01-04,
2019-01-05,
2019-01-06,22.5
2019-01-07,21.53
2019-01-08,18.25
2019-01-09,16.41
2019-01-10,14.75
2019-01-11,12.5
2019-01-12,11.01
2019-02-01,
2019-03-01,22.5
2019-04-01,
2019-05-01,
2019-06-01,22.5
2019-07-01,21.53
2019-08-01,18.25
2019-09-01,16.41
2019-10-01,14.75
2019-11-01,12.5
2019-12-01,11.01
2020-01-01,10.1
2020-01-02,9.59
2020-01-03,8.56
2020-01-04,7.83
2020-01-05,7.25
2020-01-06,6.75
2020-01-07,6.75
2020-01-08,6.75
2020-01-09,6.75
2020-01-10,
2020-01-11,8.75
2020-01-12,14.22
2020-02-01,9.59
2020-03-01,8.56
2020-04-01,7.83
2020-05-01,7.25
2020-06-01,6.75
2020-07-01,6.75
2020-08-01,6.75
2020-09-01,6.75
2020-10-01,
2020-11-01,8.75
2020-12-01,14.22
2021-01-01,15.5
2021-01-02,15.5
2021-01-03,17.5
2021-01-04,17.5
2021-01-05,17.5
2021-01-06,17.5
2021-01-07,17.5
2021-01-08,17.5
2021-01-09,17.5
2021-01-10,16.5
2021-01-11,14.35
2021-01-12,12.5
2021-02-01,15.5
2021-03-01,17.5
2021-04-01,17.5
2021-05-01,17.5
2021-06-01,17.5
2021-07-01,17.5
2021-08-01,17.5
2021-09-01,17.5
2021-10-01,16.5
2021-11-01,14.35
2021-12-01,12.5
2022-01-01,
2022-01-02,12.5
2022-01-03,12.5
2022-01-04,12.5
2022-01-05,12.5
2022-01-06,12.5
2022-01-07,12.5
2022-01-08,12.33
2022-01-09,11.27
2022-01-10,10.46
2022-01-11,8.56
2022-01-12,7.5
2022-02-01,12.5
2022-03-01,12.5
2022-04-01,12.5
2022-05-01,12.5
2022-06-01,12.5
2022-07-01,12.5
2022-08-01,12.33
2022-09-01,11.27
2022-10-01,10.46
2022-11-01,8.56
2022-12-01,7.5
2023-01-01,7.5
2023-01-02,7.33
2023-01-03,7.0
2023-01-04,7.0
2023-01-05,7.0
2023-01-06,7.11
2023-01-07,13.52
2023-01-08,16.12
2023-01-09,28.48
2023-01-10,29.15
2023-01-11,34.39
2023-01-12,39.78
2023-02-01,7.33
2023-03-01,7.0
2023-04-01,7.0
2023-05-01,7.0
2023-06-01,7.11
2023-07-01,13.52
2023-08-01,16.12
2023-09-01,28.48
2023-10-01,29.15
2023-11-01,34.39
2023-12-01,39.78
2024-01-01,43.45
2024-01-02,43.5
2024-01-03,44.9
2024-01-04,47.0
2024-01-05,47.0
2024-01-06,47.0
2024-01-07,47.0
2024-01-08,47.0
2024-01-09,47.0
2024-01-10,47.0
2024-01-11,47.0
2024-01-12,47.0
2024-02-01,43.5
2024-03-01,44.9
2024-04-01,47.0
2024-05-01,47.0
2024-06-01,47.0
2024-07-01,47.0
2024-08-01,47.0
2024-09-01,47.0
2024-10-01,47.0
2024-11-01,47.0
2024-12-01,47.0
2025-01-01,45.31
2025-01-02,43.5
2025-01-03,41.93
2025-01-04,43.99
2025-01-05,44.5
2025-01-06,44.5
2025-01-07,44.49
2025-01-08,41.5
2025-01-09,40.28
2025-02-01,43.5
2025-03-01,41.93
2025-04-01,43.99
2025-05-01,44.5
2025-06-01,44.5
2025-07-01,44.49
2025-08-01,41.5
2025-09-01,40.28
