Tarih,TP_API_REP_TL_G214
2000-01-01,9953499.9
2000-01-02,8730008.8
2000-01-03,7949997.1
2000-01-04,8379000.6
2000-01-05,
2000-01-06,9005003.6
2000-01-07,10504500.3
2000-01-08,14960000.0
2000-01-09,9770000.3
2000-01-10,10890000.0
2000-01-11,15960001.4
2000-01-12,20311675.2
2000-02-01,8730008.8
2000-03-01,7949997.1
2000-04-01,8379000.6
2000-05-01,
2000-06-01,9005003.6
2000-07-01,10504500.3
2000-08-01,14960000.0
2000-09-01,9770000.3
2000-10-01,10890000.0
2000-11-01,15960001.4
2000-12-01,20311675.2
2001-01-01,14716000.0
2001-01-02,13875197.5
2001-01-03,35880851.1
2001-01-04,37606099.8
2001-01-05,32223068.0
2001-01-06,15862000.0
2001-01-07,19336300.0
2001-01-08,15560637.6
2001-01-09,20424021.1
2001-01-10,20325683.0
2001-01-11,20110101.4
2001-01-12,20043599.8
2001-02-01,13875197.5
2001-03-01,35880851.1
2001-04-01,37606099.8
2001-05-01,32223068.0
2001-06-01,15862000.0
2001-07-01,19336300.0
2001-08-01,15560637.6
2001-09-01,20424021.1
2001-10-01,20325683.0
2001-11-01,20110101.4
2001-12-01,20043599.8
2002-01-01,24745000.0
2002-01-02,10762500.0
2002-01-03,3130413.4
2002-01-04,581000.0
2002-01-05,
2002-01-06,
2002-01-07,
2002-01-08,
2002-01-09,
2002-01-10,
2002-01-11,
2002-01-12,
2002-02-01,10762500.0
2002-03-01,3130413.4
2002-04-01,581000.0
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-01-02,
2003-01-03,
2003-01-04,
2003-01-05,
2003-01-06,60000.0
2003-01-07,310176.0
2003-01-08,
2003-01-09,
2003-01-10,
2003-01-11,
2003-01-12,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,60000.0
2003-07-01,310176.0
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-01-02,
2004-01-03,
2004-01-04,
2004-01-05,
2004-01-06,
2004-01-07,
2004-01-08,
2004-01-09,
2004-01-10,
2004-01-11,
2004-01-12,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,200000.0
2005-01-02,800000.0
2005-01-03,2300000.0
2005-01-04,2500.0
2005-01-05,1500000.0
2005-01-06,500000.0
2005-01-07,
2005-01-08,
2005-01-09,3000000.0
2005-01-10,
2005-01-11,
2005-01-12,1025000.0
2005-02-01,800000.0
2005-03-01,2300000.0
2005-04-01,2500.0
2005-05-01,1500000.0
2005-06-01,500000.0
2005-07-01,
2005-08-01,
2005-09-01,3000000.0
2005-10-01,
2005-11-01,
2005-12-01,1025000.0
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,8850000.0
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,8850000.0
2007-01-01,
2007-01-02,
2007-01-03,
2007-01-04,
2007-01-05,
2007-01-06,
2007-01-07,
2007-01-08,
2007-01-09,
2007-01-10,
2007-01-11,
2007-01-12,750000.0
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,750000.0
2008-01-01,
2008-01-02,2500000.0
2008-01-03,1999999.0
2008-01-04,
2008-01-05,18750000.0
2008-01-06,25502501.0
2008-01-07,27499997.0
2008-01-08,33499997.0
2008-01-09,49500001.0
2008-01-10,59634999.0
2008-01-11,70495000.0
2008-01-12,56375001.0
2008-02-01,2500000.0
2008-03-01,1999999.0
2008-04-01,
2008-05-01,18750000.0
2008-06-01,25502501.0
2008-07-01,27499997.0
2008-08-01,33499997.0
2008-09-01,49500001.0
2008-10-01,59634999.0
2008-11-01,70495000.0
2008-12-01,56375001.0
2009-01-01,54000000.0
2009-01-02,46945000.0
2009-01-03,47999998.0
2009-01-04,62929994.0
2009-01-05,75000000.0
2009-01-06,77749996.0
2009-01-07,42000000.0
2009-01-08,41999997.0
2009-01-09,43999999.0
2009-01-10,44999998.0
2009-01-11,35235001.0
2009-01-12,69999999.0
2009-02-01,46945000.0
2009-03-01,47999998.0
2009-04-01,62929994.0
2009-05-01,75000000.0
2009-06-01,77749996.0
2009-07-01,42000000.0
2009-08-01,41999997.0
2009-09-01,43999999.0
2009-10-01,44999998.0
2009-11-01,35235001.0
2009-12-01,69999999.0
2010-01-01,35999998.0
2010-01-02,50999997.0
2010-01-03,46999995.0
2010-01-04,23499995.0
2010-01-05,37465003.0
2010-01-06,54950001.0
2010-01-07,50409996.0
2010-01-08,51249998.0
2010-01-09,56250487.0
2010-01-10,47000010.0
2010-01-11,55999978.0
2010-01-12,78050000.0
2010-02-01,50999997.0
2010-03-01,46999995.0
2010-04-01,23499995.0
2010-05-01,37465003.0
2010-06-01,54950001.0
2010-07-01,50409996.0
2010-08-01,51249998.0
2010-09-01,56250487.0
2010-10-01,47000010.0
2010-11-01,55999978.0
2010-12-01,78050000.0
2011-01-01,48000001.0
2011-01-02,86000012.0
2011-01-03,129999981.0
2011-01-04,171188935.0
2011-01-05,220000030.0
2011-01-06,243999972.0
2011-01-07,250000062.0
2011-01-08,264999990.0
2011-01-09,290000006.0
2011-01-10,295803467.0
2011-01-11,144628014.0
2011-01-12,191073494.0
2011-02-01,86000012.0
2011-03-01,129999981.0
2011-04-01,171188935.0
2011-05-01,220000030.0
2011-06-01,243999972.0
2011-07-01,250000062.0
2011-08-01,264999990.0
2011-09-01,290000006.0
2011-10-01,295803467.0
2011-11-01,144628014.0
2011-12-01,191073494.0
2012-01-01,149796999.0
2012-01-02,123000006.0
2012-01-03,106869982.0
2012-01-04,61010000.0
2012-01-05,72254989.0
2012-01-06,70054000.0
2012-01-07,45000017.0
2012-01-08,68000021.0
2012-01-09,55129982.0
2012-01-10,73509001.0
2012-01-11,52198995.0
2012-01-12,41175015.0
2012-02-01,123000006.0
2012-03-01,106869982.0
2012-04-01,61010000.0
2012-05-01,72254989.0
2012-06-01,70054000.0
2012-07-01,45000017.0
2012-08-01,68000021.0
2012-09-01,55129982.0
2012-10-01,73509001.0
2012-11-01,52198995.0
2012-12-01,41175015.0
2013-01-01,24500012.0
2013-01-02,36001998.0
2013-01-03,64268006.0
2013-01-04,46999989.0
2013-01-05,82699989.0
2013-01-06,117519977.0
2013-01-07,149027995.0
2013-01-08,130674234.0
2013-01-09,118788989.0
2013-01-10,115117069.0
2013-01-11,150867028.0
2013-01-12,180381952.0
2013-02-01,36001998.0
2013-03-01,64268006.0
2013-04-01,46999989.0
2013-05-01,82699989.0
2013-06-01,117519977.0
2013-07-01,149027995.0
2013-08-01,130674234.0
2013-09-01,118788989.0
2013-10-01,115117069.0
2013-11-01,150867028.0
2013-12-01,180381952.0
2014-01-01,213558529.0
2014-01-02,201098999.0
2014-01-03,211380499.0
2014-01-04,203466999.0
2014-01-05,207179999.0
2014-01-06,180863869.0
2014-01-07,159876580.0
2014-01-08,194946999.0
2014-01-09,186096999.0
2014-01-10,144117999.0
2014-01-11,157154999.0
2014-01-12,183751999.0
2014-02-01,201098999.0
2014-03-01,211380499.0
2014-04-01,203466999.0
2014-05-01,207179999.0
2014-06-01,180863869.0
2014-07-01,159876580.0
2014-08-01,194946999.0
2014-09-01,186096999.0
2014-10-01,144117999.0
2014-11-01,157154999.0
2014-12-01,183751999.0
2015-01-01,190303999.0
2015-01-02,208630999.0
2015-01-03,247645199.0
2015-01-04,261574999.0
2015-01-05,261180899.0
2015-01-06,290751999.0
2015-01-07,313087099.0
2015-01-08,313639075.2
2015-01-09,329417999.0
2015-01-10,401231399.0
2015-01-11,355648499.0
2015-01-12,391732561.6
2015-02-01,208630999.0
2015-03-01,247645199.0
2015-04-01,261574999.0
2015-05-01,261180899.0
2015-06-01,290751999.0
2015-07-01,313087099.0
2015-08-01,313639075.2
2015-09-01,329417999.0
2015-10-01,401231399.0
2015-11-01,355648499.0
2015-12-01,391732561.6
2016-01-01,348800599.0
2016-01-02,380748399.0
2016-01-03,409306999.0
2016-01-04,423478499.0
2016-01-05,410587999.0
2016-01-06,390555999.0
2016-01-07,412374499.0
2016-01-08,403649999.0
2016-01-09,320275499.0
2016-01-10,307384499.0
2016-01-11,312501899.0
2016-01-12,353569299.0
2016-02-01,380748399.0
2016-03-01,409306999.0
2016-04-01,423478499.0
2016-05-01,410587999.0
2016-06-01,390555999.0
2016-07-01,412374499.0
2016-08-01,403649999.0
2016-09-01,320275499.0
2016-10-01,307384499.0
2016-11-01,312501899.0
2016-12-01,353569299.0
2017-01-01,195287999.8
2017-01-02,124764999.9
2017-01-03,135473999.9
2017-01-04,96170999.9
2017-01-05,87569999.9
2017-01-06,128724000.0
2017-01-07,100125999.9
2017-01-08,146472000.0
2017-01-09,118469999.9
2017-01-10,115189999.9
2017-01-11,124032999.9
2017-01-12,161545000.0
2017-02-01,124764999.9
2017-03-01,135473999.9
2017-04-01,96170999.9
2017-05-01,87569999.9
2017-06-01,128724000.0
2017-07-01,100125999.9
2017-08-01,146472000.0
2017-09-01,118469999.9
2017-10-01,115189999.9
2017-11-01,124032999.9
2017-12-01,161545000.0
2018-01-01,123150999.9
2018-01-02,135129999.9
2018-01-03,171904999.9
2018-01-04,138939999.9
2018-01-05,111379999.9
2018-01-06,551033999.3
2018-01-07,535179999.49
2018-01-08,509239999.79
2018-01-09,446363550.55
2018-01-10,296905683.01
2018-01-11,253549134.6
2018-01-12,161414393.03
2018-02-01,135129999.9
2018-03-01,171904999.9
2018-04-01,138939999.9
2018-05-01,111379999.9
2018-06-01,551033999.3
2018-07-01,535179999.49
2018-08-01,509239999.79
2018-09-01,446363550.55
2018-10-01,296905683.01
2018-11-01,253549134.6
2018-12-01,161414393.03
2019-01-01,130156075.53
2019-01-02,107473988.6
2019-01-03,178588423.95
2019-01-04,170843985.65
2019-01-05,216526412.01
2019-01-06,139946382.61
2019-01-07,113789429.94
2019-01-08,63240117.68
2019-01-09,78106874.55
2019-01-10,84035216.63
2019-01-11,89049043.23
2019-01-12,57029666.56
2019-02-01,107473988.6
2019-03-01,178588423.95
2019-04-01,170843985.65
2019-05-01,216526412.01
2019-06-01,139946382.61
2019-07-01,113789429.94
2019-08-01,63240117.68
2019-09-01,78106874.55
2019-10-01,84035216.63
2019-11-01,89049043.23
2019-12-01,57029666.56
2020-01-01,71519999.88
2020-01-02,167102294.74
2020-01-03,317231911.53
2020-01-04,267723993.91
2020-01-05,369933345.57
2020-01-06,296651899.8
2020-01-07,473125018.36
2020-01-08,455849255.1
2020-01-09,256625213.67
2020-01-10,287809999.91
2020-01-11,137305404.7
2020-01-12,442822837.22
2020-02-01,167102294.74
2020-03-01,317231911.53
2020-04-01,267723993.91
2020-05-01,369933345.57
2020-06-01,296651899.8
2020-07-01,473125018.36
2020-08-01,455849255.1
2020-09-01,256625213.67
2020-10-01,287809999.91
2020-11-01,137305404.7
2020-12-01,442822837.22
2021-01-01,437695106.89
2021-01-02,542734900.76
2021-01-03,773946073.44
2021-01-04,832154956.98
2021-01-05,716259639.94
2021-01-06,893437024.84
2021-01-07,643126983.21
2021-01-08,957838865.11
2021-01-09,1058605111.76
2021-01-10,995877616.71
2021-01-11,1162931365.92
2021-01-12,1477290978.71
2021-02-01,542734900.76
2021-03-01,773946073.44
2021-04-01,832154956.98
2021-05-01,716259639.94
2021-06-01,893437024.84
2021-07-01,643126983.21
2021-08-01,957838865.11
2021-09-01,1058605111.76
2021-10-01,995877616.71
2021-11-01,1162931365.92
2021-12-01,1477290978.71
2022-01-01,1152642230.45
2022-01-02,998493098.84
2022-01-03,1077807843.8
2022-01-04,987496517.42
2022-01-05,1194013129.11
2022-01-06,2016236751.96
2022-01-07,1249469620.9
2022-01-08,853545370.34
2022-01-09,904597923.34
2022-01-10,692196671.94
2022-01-11,689256193.25
2022-01-12,695263947.26
2022-02-01,998493098.84
2022-03-01,1077807843.8
2022-04-01,987496517.42
2022-05-01,1194013129.11
2022-06-01,2016236751.96
2022-07-01,1249469620.9
2022-08-01,853545370.34
2022-09-01,904597923.34
2022-10-01,692196671.94
2022-11-01,689256193.25
2022-12-01,695263947.26
2023-01-01,600460914.04
2023-01-02,481934804.67
2023-01-03,682120895.05
2023-01-04,798815732.07
2023-01-05,1224478431.44
2023-01-06,1021341890.23
2023-01-07,106298497.33
2023-01-08,271352408.14
2023-01-09,611623084.39
2023-01-10,44355810.29
2023-01-11,125283818.83893
2023-01-12,33449260.45073
2023-02-01,481934804.67
2023-03-01,682120895.05
2023-04-01,798815732.07
2023-05-01,1224478431.44
2023-06-01,1021341890.23
2023-07-01,106298497.33
2023-08-01,271352408.14
2023-09-01,611623084.39
2023-10-01,44355810.29
2023-11-01,125283818.83893
2023-12-01,33449260.45073
2024-01-01,14146536.75362
2024-01-02,65836280.58731
2024-01-03,713855261.65592
2024-01-04,586888707.32866
2024-01-05,454578762.61493
2024-01-06,577935598.57715
2024-01-07,251258519.66191
2024-01-08,143478167.44392
2024-01-09,322784638.99576
2024-01-10,17461993.1224
2024-01-11,14584178.81228
2024-01-12,14962251.61582
2024-02-01,65836280.58731
2024-03-01,713855261.65592
2024-04-01,586888707.32866
2024-05-01,454578762.61493
2024-06-01,577935598.57715
2024-07-01,251258519.66191
2024-08-01,143478167.44392
2024-09-01,322784638.99576
2024-10-01,17461993.1224
2024-11-01,14584178.81228
2024-12-01,14962251.61582
2025-01-01,10166666.64811
2025-01-02,10666666.64718
2025-01-03,406944666.64955
2025-01-04,3262555691.70552
2025-01-05,2315166336.02061
2025-01-06,2137254963.19352
2025-01-07,1260964850.56939
2025-01-08,1991449110.01204
2025-01-09,3109260912.85135
2025-02-01,10666666.64718
2025-03-01,406944666.64955
2025-04-01,3262555691.70552
2025-05-01,2315166336.02061
2025-06-01,2137254963.19352
2025-07-01,1260964850.56939
2025-08-01,1991449110.01204
2025-09-01,3109260912.85135
