Tarih,TP_API_REP_TL_G1
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-01-02,
2007-01-03,
2007-01-04,
2007-01-05,
2007-01-06,
2007-01-07,
2007-01-08,
2007-01-09,
2007-01-10,
2007-01-11,
2007-01-12,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-01-02,
2008-01-03,
2008-01-04,
2008-01-05,
2008-01-06,2107000.0
2008-01-07,
2008-01-08,
2008-01-09,
2008-01-10,
2008-01-11,
2008-01-12,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,2107000.0
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-01-02,
2009-01-03,
2009-01-04,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-10,
2009-01-11,
2009-01-12,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-01-02,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-08,2000000.0
2011-01-09,
2011-01-10,38864000.0
2011-01-11,84773500.0
2011-01-12,209607300.0
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,2000000.0
2011-09-01,
2011-10-01,38864000.0
2011-11-01,84773500.0
2011-12-01,209607300.0
2012-01-01,49954000.0
2012-01-02,
2012-01-03,12725000.0
2012-01-04,11050000.0
2012-01-05,29070000.0
2012-01-06,13850000.0
2012-01-07,1750000.0
2012-01-08,1100000.0
2012-01-09,
2012-01-10,
2012-01-11,24000.0
2012-01-12,
2012-02-01,
2012-03-01,12725000.0
2012-04-01,11050000.0
2012-05-01,29070000.0
2012-06-01,13850000.0
2012-07-01,1750000.0
2012-08-01,1100000.0
2012-09-01,
2012-10-01,
2012-11-01,24000.0
2012-12-01,
2013-01-01,
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-05,
2013-01-06,124089500.0
2013-01-07,242200500.0
2013-01-08,245906000.0
2013-01-09,193203000.0
2013-01-10,118878000.0
2013-01-11,283634300.0
2013-01-12,446176100.0
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,124089500.0
2013-07-01,242200500.0
2013-08-01,245906000.0
2013-09-01,193203000.0
2013-10-01,118878000.0
2013-11-01,283634300.0
2013-12-01,446176100.0
2014-01-01,492103100.0
2014-01-02,35735000.0
2014-01-03,105295000.0
2014-01-04,23159000.0
2014-01-05,3575000.0
2014-01-06,
2014-01-07,450000.0
2014-01-08,5861000.0
2014-01-09,23489000.0
2014-01-10,28489000.0
2014-01-11,8704000.0
2014-01-12,68432000.0
2014-02-01,35735000.0
2014-03-01,105295000.0
2014-04-01,23159000.0
2014-05-01,3575000.0
2014-06-01,
2014-07-01,450000.0
2014-08-01,5861000.0
2014-09-01,23489000.0
2014-10-01,28489000.0
2014-11-01,8704000.0
2014-12-01,68432000.0
2015-01-01,30619000.0
2015-01-02,52393800.0
2015-01-03,104249000.0
2015-01-04,151689400.0
2015-01-05,217971000.0
2015-01-06,359563400.0
2015-01-07,357095900.0
2015-01-08,462211300.0
2015-01-09,571009100.0
2015-01-10,458562100.0
2015-01-11,517322100.0
2015-01-12,606928700.0
2015-02-01,52393800.0
2015-03-01,104249000.0
2015-04-01,151689400.0
2015-05-01,217971000.0
2015-06-01,359563400.0
2015-07-01,357095900.0
2015-08-01,462211300.0
2015-09-01,571009100.0
2015-10-01,458562100.0
2015-11-01,517322100.0
2015-12-01,606928700.0
2016-01-01,574033300.0
2016-01-02,749958600.0
2016-01-03,781369200.0
2016-01-04,517045300.0
2016-01-05,569857300.0
2016-01-06,668992400.0
2016-01-07,380874000.0
2016-01-08,427494200.0
2016-01-09,213317900.0
2016-01-10,201588000.0
2016-01-11,327164000.0
2016-01-12,492974900.0
2016-02-01,749958600.0
2016-03-01,781369200.0
2016-04-01,517045300.0
2016-05-01,569857300.0
2016-06-01,668992400.0
2016-07-01,380874000.0
2016-08-01,427494200.0
2016-09-01,213317900.0
2016-10-01,201588000.0
2016-11-01,327164000.0
2016-12-01,492974900.0
2017-01-01,603673999.9
2017-01-02,498662999.9
2017-01-03,478305999.9
2017-01-04,342073999.9
2017-01-05,384461999.9
2017-01-06,368166000.0
2017-01-07,412627999.9
2017-01-08,410527000.0
2017-01-09,424478999.9
2017-01-10,515641999.9
2017-01-11,533996999.9
2017-01-12,497487000.0
2017-02-01,498662999.9
2017-03-01,478305999.9
2017-04-01,342073999.9
2017-05-01,384461999.9
2017-06-01,368166000.0
2017-07-01,412627999.9
2017-08-01,410527000.0
2017-09-01,424478999.9
2017-10-01,515641999.9
2017-11-01,533996999.9
2017-12-01,497487000.0
2018-01-01,548837999.8
2018-01-02,532384999.8
2018-01-03,555764999.9
2018-01-04,453013999.9
2018-01-05,479374999.9
2018-01-06,61117399.9
2018-01-07,59999.99
2018-01-08,20971000.0
2018-01-09,1242384199.98
2018-01-10,40000.0
2018-01-11,
2018-01-12,100.0
2018-02-01,532384999.8
2018-03-01,555764999.9
2018-04-01,453013999.9
2018-05-01,479374999.9
2018-06-01,61117399.9
2018-07-01,59999.99
2018-08-01,20971000.0
2018-09-01,1242384199.98
2018-10-01,40000.0
2018-11-01,
2018-12-01,100.0
2019-01-01,231999.99
2019-01-02,
2019-01-03,134615000.0
2019-01-04,436916499.99
2019-01-05,398716999.99
2019-01-06,104052999.81
2019-01-07,167993999.77
2019-01-08,109092999.86
2019-01-09,155276999.71
2019-01-10,146776999.74
2019-01-11,129096999.81
2019-01-12,107303999.81
2019-02-01,
2019-03-01,134615000.0
2019-04-01,436916499.99
2019-05-01,398716999.99
2019-06-01,104052999.81
2019-07-01,167993999.77
2019-08-01,109092999.86
2019-09-01,155276999.71
2019-10-01,146776999.74
2019-11-01,129096999.81
2019-12-01,107303999.81
2020-01-01,166994999.65
2020-01-02,233809499.58
2020-01-03,317803999.42
2020-01-04,331359999.53
2020-01-05,351434999.44
2020-01-06,587853499.12
2020-01-07,533270499.33
2020-01-08,1443069499.74
2020-01-09,1293026999.77
2020-01-10,952474999.83
2020-01-11,340005999.83
2020-01-12,3564000.0
2020-02-01,233809499.58
2020-03-01,317803999.42
2020-04-01,331359999.53
2020-05-01,351434999.44
2020-06-01,587853499.12
2020-07-01,533270499.33
2020-08-01,1443069499.74
2020-09-01,1293026999.77
2020-10-01,952474999.83
2020-11-01,340005999.83
2020-12-01,3564000.0
2021-01-01,
2021-01-02,5510000.0
2021-01-03,
2021-01-04,699000.0
2021-01-05,
2021-01-06,10.0
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,7988999.99
2021-02-01,5510000.0
2021-03-01,
2021-04-01,699000.0
2021-05-01,
2021-06-01,10.0
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,7988999.99
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,3892000.0
2022-01-05,
2022-01-06,34822000.0
2022-01-07,3615000.0
2022-01-08,3755000.0
2022-01-09,
2022-01-10,7789000.0
2022-01-11,8590000.0
2022-01-12,2705000.0
2022-02-01,
2022-03-01,
2022-04-01,3892000.0
2022-05-01,
2022-06-01,34822000.0
2022-07-01,3615000.0
2022-08-01,3755000.0
2022-09-01,
2022-10-01,7789000.0
2022-11-01,8590000.0
2022-12-01,2705000.0
2023-01-01,13176000.0
2023-01-02,
2023-01-03,13158000.0
2023-01-04,234568000.0
2023-01-05,2299613000.0
2023-01-06,1741699000.0
2023-01-07,12118000.0
2023-01-08,239610000.0
2023-01-09,721094000.0
2023-01-10,1248000.0
2023-01-11,16933000.0
2023-01-12,
2023-02-01,
2023-03-01,13158000.0
2023-04-01,234568000.0
2023-05-01,2299613000.0
2023-06-01,1741699000.0
2023-07-01,12118000.0
2023-08-01,239610000.0
2023-09-01,721094000.0
2023-10-01,1248000.0
2023-11-01,16933000.0
2023-12-01,
2024-01-01,100000.0
2024-01-02,68902000.0
2024-01-03,2106515999.99705
2024-01-04,459180000.0
2024-01-05,70952000.0
2024-01-06,35942000.0
2024-01-07,
2024-01-08,129355000.0
2024-01-09,925277000.0
2024-01-10,
2024-01-11,
2024-01-12,
2024-02-01,68902000.0
2024-03-01,2106515999.99705
2024-04-01,459180000.0
2024-05-01,70952000.0
2024-06-01,35942000.0
2024-07-01,
2024-08-01,129355000.0
2024-09-01,925277000.0
2024-10-01,
2024-11-01,
2024-12-01,
2025-01-01,
2025-01-02,
2025-01-03,436207000.0
2025-01-04,8907288510.0
2025-01-05,5743782000.0
2025-01-06,3208001000.0
2025-02-01,
2025-03-01,436207000.0
2025-04-01,8907288510.0
2025-05-01,5743782000.0
2025-06-01,3208001000.0
