Tarih,TP_API_TREP_ORT_G214
2000-01-01,
2000-01-02,
2000-01-03,
2000-01-04,
2000-01-05,
2000-01-06,
2000-01-07,
2000-01-08,
2000-01-09,
2000-01-10,
2000-01-11,
2000-01-12,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-01-02,
2001-01-03,81.84
2001-01-04,81.56
2001-01-05,71.66
2001-01-06,64.34
2001-01-07,66.02
2001-01-08,65.09
2001-01-09,60.15
2001-01-10,60.24
2001-01-11,60.93
2001-01-12,60.22
2001-02-01,
2001-03-01,81.84
2001-04-01,81.56
2001-05-01,71.66
2001-06-01,64.34
2001-07-01,66.02
2001-08-01,65.09
2001-09-01,60.15
2001-10-01,60.24
2001-11-01,60.93
2001-12-01,60.22
2002-01-01,61.16
2002-01-02,60.55
2002-01-03,56.63
2002-01-04,52.42
2002-01-05,48.21
2002-01-06,48.12
2002-01-07,48.33
2002-01-08,46.25
2002-01-09,46.0
2002-01-10,46.0
2002-01-11,44.74
2002-01-12,44.0
2002-02-01,60.55
2002-03-01,56.63
2002-04-01,52.42
2002-05-01,48.21
2002-06-01,48.12
2002-07-01,48.33
2002-08-01,46.25
2002-09-01,46.0
2002-10-01,46.0
2002-11-01,44.74
2002-12-01,44.0
2003-01-01,44.0
2003-01-02,44.0
2003-01-03,44.0
2003-01-04,43.5
2003-01-05,41.0
2003-01-06,38.01
2003-01-07,35.53
2003-01-08,32.45
2003-01-09,30.23
2003-01-10,26.8
2003-01-11,26.0
2003-01-12,26.0
2003-02-01,44.0
2003-03-01,44.0
2003-04-01,43.5
2003-05-01,41.0
2003-06-01,38.01
2003-07-01,35.53
2003-08-01,32.45
2003-09-01,30.23
2003-10-01,26.8
2003-11-01,26.0
2003-12-01,26.0
2004-01-01,26.0
2004-01-02,24.0
2004-01-03,22.89
2004-01-04,22.0
2004-01-05,22.0
2004-01-06,22.0
2004-01-07,22.0
2004-01-08,22.0
2004-01-09,20.15
2004-01-10,20.0
2004-01-11,20.0
2004-01-12,18.0
2004-02-01,24.0
2004-03-01,22.89
2004-04-01,22.0
2004-05-01,22.0
2004-06-01,22.0
2004-07-01,22.0
2004-08-01,22.0
2004-09-01,20.15
2004-10-01,20.0
2004-11-01,20.0
2004-12-01,18.0
2005-01-01,17.0
2005-01-02,16.51
2005-01-03,15.5
2005-01-04,15.4
2005-01-05,14.53
2005-01-06,14.33
2005-01-07,14.25
2005-01-08,14.25
2005-01-09,
2005-01-10,14.07
2005-01-11,13.8
2005-01-12,13.54
2005-02-01,16.51
2005-03-01,15.5
2005-04-01,15.4
2005-05-01,14.53
2005-06-01,14.33
2005-07-01,14.25
2005-08-01,14.25
2005-09-01,
2005-10-01,14.07
2005-11-01,13.8
2005-12-01,13.54
2006-01-01,13.5
2006-01-02,13.5
2006-01-03,13.5
2006-01-04,13.45
2006-01-05,13.25
2006-01-06,14.62
2006-01-07,17.5
2006-01-08,17.5
2006-01-09,17.5
2006-01-10,17.5
2006-01-11,
2006-01-12,17.5
2006-02-01,13.5
2006-03-01,13.5
2006-04-01,13.45
2006-05-01,13.25
2006-06-01,14.62
2006-07-01,17.5
2006-08-01,17.5
2006-09-01,17.5
2006-10-01,17.5
2006-11-01,
2006-12-01,17.5
2007-01-01,17.5
2007-01-02,17.5
2007-01-03,
2007-01-04,17.5
2007-01-05,17.5
2007-01-06,
2007-01-07,17.5
2007-01-08,17.5
2007-01-09,17.25
2007-01-10,16.98
2007-01-11,16.62
2007-01-12,15.75
2007-02-01,17.5
2007-03-01,
2007-04-01,17.5
2007-05-01,17.5
2007-06-01,
2007-07-01,17.5
2007-08-01,17.5
2007-09-01,17.25
2007-10-01,16.98
2007-11-01,16.62
2007-12-01,15.75
2008-01-01,
2008-01-02,
2008-01-03,
2008-01-04,15.25
2008-01-05,
2008-01-06,
2008-01-07,16.75
2008-01-08,
2008-01-09,16.75
2008-01-10,16.75
2008-01-11,16.48
2008-01-12,15.93
2008-02-01,
2008-03-01,
2008-04-01,15.25
2008-05-01,
2008-06-01,
2008-07-01,16.75
2008-08-01,
2008-09-01,16.75
2008-10-01,16.75
2008-11-01,16.48
2008-12-01,15.93
2009-01-01,14.39
2009-01-02,12.42
2009-01-03,10.92
2009-01-04,9.86
2009-01-05,9.4
2009-01-06,9.25
2009-01-07,8.75
2009-01-08,8.25
2009-01-09,7.44
2009-01-10,6.92
2009-01-11,6.57
2009-01-12,6.5
2009-02-01,12.42
2009-03-01,10.92
2009-04-01,9.86
2009-05-01,9.4
2009-06-01,9.25
2009-07-01,8.75
2009-08-01,8.25
2009-09-01,7.44
2009-10-01,6.92
2009-11-01,6.57
2009-12-01,6.5
2010-01-01,6.5
2010-01-02,6.5
2010-01-03,6.5
2010-01-04,6.5
2010-01-05,6.5
2010-01-06,
2010-01-07,6.5
2010-01-08,
2010-01-09,6.5
2010-01-10,
2010-01-11,
2010-01-12,
2010-02-01,6.5
2010-03-01,6.5
2010-04-01,6.5
2010-05-01,6.5
2010-06-01,
2010-07-01,6.5
2010-08-01,
2010-09-01,6.5
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-01-02,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-08,
2011-01-09,5.0
2011-01-10,
2011-01-11,
2011-01-12,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,5.0
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-01-02,
2012-01-03,
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-07,
2012-01-08,5.0
2012-01-09,5.0
2012-01-10,5.0
2012-01-11,5.0
2012-01-12,5.0
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,5.0
2012-09-01,5.0
2012-10-01,5.0
2012-11-01,5.0
2012-12-01,5.0
2013-01-01,4.96
2013-01-02,4.75
2013-01-03,
2013-01-04,
2013-01-05,4.0
2013-01-06,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-12,
2013-02-01,4.75
2013-03-01,
2013-04-01,
2013-05-01,4.0
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,7.89
2014-01-08,7.5
2014-01-09,7.5
2014-01-10,
2014-01-11,
2014-01-12,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,7.89
2014-08-01,7.5
2014-09-01,7.5
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-10,
2015-01-11,
2015-01-12,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,7.25
2016-01-08,
2016-01-09,7.25
2016-01-10,
2016-01-11,
2016-01-12,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,7.25
2016-08-01,
2016-09-01,7.25
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,16.25
2018-01-07,16.25
2018-01-08,16.25
2018-01-09,22.5
2018-01-10,22.5
2018-01-11,
2018-01-12,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,16.25
2018-07-01,16.25
2018-08-01,16.25
2018-09-01,22.5
2018-10-01,22.5
2018-11-01,
2018-12-01,
2019-01-01,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-05,
2019-01-06,
2019-01-07,21.13
2019-01-08,18.25
2019-01-09,15.77
2019-01-10,13.96
2019-01-11,12.5
2019-01-12,10.89
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,21.13
2019-08-01,18.25
2019-09-01,15.77
2019-10-01,13.96
2019-11-01,12.5
2019-12-01,10.89
2020-01-01,10.02
2020-01-02,9.58
2020-01-03,8.77
2020-01-04,7.55
2020-01-05,7.25
2020-01-06,
2020-01-07,6.75
2020-01-08,6.75
2020-01-09,
2020-01-10,8.75
2020-01-11,13.5
2020-01-12,14.99
2020-02-01,9.58
2020-03-01,8.77
2020-04-01,7.55
2020-05-01,7.25
2020-06-01,
2020-07-01,6.75
2020-08-01,6.75
2020-09-01,
2020-10-01,8.75
2020-11-01,13.5
2020-12-01,14.99
2021-01-01,15.5
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,17.5
2021-01-06,17.5
2021-01-07,
2021-01-08,
2021-01-09,17.5
2021-01-10,14.5
2021-01-11,14.08
2021-01-12,12.5
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,17.5
2021-06-01,17.5
2021-07-01,
2021-08-01,
2021-09-01,17.5
2021-10-01,14.5
2021-11-01,14.08
2021-12-01,12.5
2022-01-01,12.5
2022-01-02,12.5
2022-01-03,12.5
2022-01-04,12.5
2022-01-05,12.5
2022-01-06,12.5
2022-01-07,12.5
2022-01-08,11.95
2022-01-09,10.78
2022-01-10,9.63
2022-01-11,9.0
2022-01-12,7.5
2022-02-01,12.5
2022-03-01,12.5
2022-04-01,12.5
2022-05-01,12.5
2022-06-01,12.5
2022-07-01,12.5
2022-08-01,11.95
2022-09-01,10.78
2022-10-01,9.63
2022-11-01,9.0
2022-12-01,7.5
2023-01-01,7.5
2023-01-02,7.28
2023-01-03,7.0
2023-01-04,7.0
2023-01-05,7.0
2023-01-06,11.9
2023-01-07,14.32
2023-01-08,19.0
2023-01-09,28.45
2023-01-10,32.93
2023-01-11,35.17
2023-01-12,39.56
2023-02-01,7.28
2023-03-01,7.0
2023-04-01,7.0
2023-05-01,7.0
2023-06-01,11.9
2023-07-01,14.32
2023-08-01,19.0
2023-09-01,28.45
2023-10-01,32.93
2023-11-01,35.17
2023-12-01,39.56
2024-01-01,43.49
2024-01-02,43.5
2024-01-03,44.96
2024-01-04,47.0
2024-01-05,47.0
2024-01-06,47.0
2024-01-07,47.0
2024-01-08,47.0
2024-01-09,47.0
2024-01-10,47.0
2024-01-11,47.0
2024-01-12,47.0
2024-02-01,43.5
2024-03-01,44.96
2024-04-01,47.0
2024-05-01,47.0
2024-06-01,47.0
2024-07-01,47.0
2024-08-01,47.0
2024-09-01,47.0
2024-10-01,47.0
2024-11-01,47.0
2024-12-01,47.0
2025-01-01,44.92
2025-01-02,43.5
2025-01-03,41.0
2025-01-04,44.5
2025-01-05,44.5
2025-01-06,44.5
2025-01-07,44.23
2025-01-08,41.5
2025-01-09,39.0
2025-02-01,43.5
2025-03-01,41.0
2025-04-01,44.5
2025-05-01,44.5
2025-06-01,44.5
2025-07-01,44.23
2025-08-01,41.5
2025-09-01,39.0
