Tarih,TP_API_REP_ORT_G214
2000-01-01,34.76
2000-01-02,44.74
2000-01-03,42.58
2000-01-04,35.08
2000-01-05,
2000-01-06,43.26
2000-01-07,26.54
2000-01-08,29.92
2000-01-09,54.89
2000-01-10,40.63
2000-01-11,74.94
2000-01-12,140.83
2000-02-01,44.74
2000-03-01,42.58
2000-04-01,35.08
2000-05-01,
2000-06-01,43.26
2000-07-01,26.54
2000-08-01,29.92
2000-09-01,54.89
2000-10-01,40.63
2000-11-01,74.94
2000-12-01,140.83
2001-01-01,63.65
2001-01-02,242.89
2001-01-03,92.06
2001-01-04,85.97
2001-01-05,76.62
2001-01-06,69.48
2001-01-07,70.65
2001-01-08,67.83
2001-01-09,62.31
2001-01-10,62.0
2001-01-11,62.0
2001-01-12,62.0
2001-02-01,242.89
2001-03-01,92.06
2001-04-01,85.97
2001-05-01,76.62
2001-06-01,69.48
2001-07-01,70.65
2001-08-01,67.83
2001-09-01,62.31
2001-10-01,62.0
2001-11-01,62.0
2001-12-01,62.0
2002-01-01,62.0
2002-01-02,61.25
2002-01-03,57.56
2002-01-04,53.5
2002-01-05,
2002-01-06,
2002-01-07,
2002-01-08,
2002-01-09,
2002-01-10,
2002-01-11,
2002-01-12,
2002-02-01,61.25
2002-03-01,57.56
2002-04-01,53.5
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-01-02,
2003-01-03,
2003-01-04,
2003-01-05,
2003-01-06,41.0
2003-01-07,41.39
2003-01-08,
2003-01-09,
2003-01-10,
2003-01-11,
2003-01-12,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,41.0
2003-07-01,41.39
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-01-02,
2004-01-03,
2004-01-04,
2004-01-05,
2004-01-06,
2004-01-07,
2004-01-08,
2004-01-09,
2004-01-10,
2004-01-11,
2004-01-12,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,19.0
2005-01-02,17.38
2005-01-03,17.07
2005-01-04,19.0
2005-01-05,15.43
2005-01-06,15.01
2005-01-07,
2005-01-08,
2005-01-09,15.65
2005-01-10,
2005-01-11,
2005-01-12,15.5
2005-02-01,17.38
