Tarih,TP_IHRISICREV4_J
2016-10-01,6789.436
2016-11-01,7613.023
2016-12-01,8019.933
2017-01-01,4347.387
2017-02-01,4567.513
2017-03-01,5347.327
2017-04-01,6928.492
2017-05-01,5931.214
2017-06-01,6157.321
2017-07-01,6982.202
2017-08-01,11461.471
2017-09-01,7546.292
2017-10-01,9266.799
2017-11-01,9456.804
2017-12-01,11413.718
2018-01-01,5519.356
2018-02-01,5048.238
2018-03-01,8097.481
2018-04-01,5339.947
2018-05-01,5679.536
2018-06-01,6081.255
2018-07-01,8244.719
2018-08-01,10982.331
2018-09-01,10162.836
2018-10-01,8219.41
2018-11-01,8947.233
2018-12-01,8352.526
2019-01-01,6383.607
2019-02-01,8265.939
2019-03-01,8964.653
2019-04-01,9050.779
2019-05-01,9002.991
2019-06-01,7474.027
2019-07-01,14171.405
2019-08-01,17635.103
2019-09-01,9696.948
2019-10-01,9587.411
2019-11-01,9519.061
2019-12-01,11582.188
2020-01-01,7200.964
2020-02-01,7959.422
2020-03-01,8357.823
2020-04-01,7548.829
2020-05-01,9759.819
2020-06-01,9807.78
2020-07-01,11400.717
2020-08-01,13741.82
2020-09-01,21663.582
2020-10-01,10140.237
2020-11-01,11536.696
2020-12-01,11699.615
2021-01-01,10482.0
2021-02-01,9114.0
2021-03-01,12566.0
2021-04-01,11726.0
2021-05-01,9399.0
2021-06-01,11379.0
2021-07-01,13121.0
2021-08-01,13829.0
2021-09-01,13847.0
2021-10-01,14655.0
2021-11-01,14645.0
2021-12-01,13726.0
2022-01-01,18391.0
2022-02-01,15305.0
2022-03-01,15796.0
2022-04-01,15302.0
2022-05-01,11517.0
2022-06-01,29109.0
2022-07-01,16644.0
2022-08-01,17758.0
2022-09-01,18034.0
2022-10-01,23603.0
2022-11-01,16911.0
2022-12-01,16814.0
2023-01-01,10983.0
2023-02-01,12740.0
2023-03-01,16654.0
2023-04-01,13371.0
2023-05-01,14868.0
2023-06-01,17174.0
2023-07-01,18046.0
2023-08-01,17175.0
2023-09-01,15552.0
2023-10-01,14438.0
2023-11-01,16346.0
2023-12-01,19865.0
2024-01-01,12531.0
2024-02-01,16019.0
2024-03-01,15316.0
2024-04-01,12559.0
2024-05-01,15865.0
2024-06-01,12591.0
2024-07-01,25338.0
2024-08-01,26782.0
2024-09-01,18019.0
2024-10-01,16565.0
2024-11-01,15448.0
2024-12-01,14777.0
2025-01-01,16830.0
2025-02-01,14936.0
2025-03-01,15736.0
2025-04-01,16287.0
2025-05-01,14528.0
2025-06-01,14028.0
2025-07-01,23383.0
2025-08-01,18540.0
