Tarih,TP_IHRISICREV4_D
2016-11-01,1335.371
2016-12-01,1021.505
2017-01-01,655.001
2017-02-01,5750.172
2017-03-01,4137.747
2017-04-01,2008.673
2017-05-01,7784.323
2017-06-01,8819.074
2017-07-01,8955.768
2017-08-01,8096.489
2017-09-01,8881.294
2017-10-01,3925.684
2017-11-01,9121.254
2017-12-01,13744.486
2018-01-01,10986.904
2018-02-01,10040.162
2018-03-01,4273.348
2018-04-01,6761.946
2018-05-01,6369.773
2018-06-01,2536.105
2018-07-01,11633.897
2018-08-01,8213.005
2018-09-01,9273.724
2018-10-01,6392.968
2018-11-01,12623.594
2018-12-01,10573.004
2019-01-01,18632.44
2019-02-01,8217.575
2019-03-01,11118.895
2019-04-01,7085.924
2019-05-01,7706.639
2019-06-01,10106.944
2019-07-01,6140.535
2019-08-01,5671.347
2019-09-01,7350.042
2019-10-01,6673.519
2019-11-01,10002.242
2019-12-01,5744.445
2020-01-01,4548.076
2020-02-01,10508.916
2020-03-01,3982.403
2020-04-01,3867.97
2020-05-01,5339.02
2020-06-01,4245.64
2020-07-01,1226.178
2020-08-01,5545.063
2020-09-01,4383.449
2020-10-01,8615.146
2020-11-01,13501.361
2020-12-01,16047.124
2021-01-01,17728.0
2021-02-01,7660.0
2021-03-01,6257.0
2021-04-01,9703.0
2021-05-01,12641.0
2021-06-01,12470.0
2021-07-01,12845.0
2021-08-01,40895.0
2021-09-01,24123.0
2021-10-01,24017.0
2021-11-01,47175.0
2021-12-01,32860.0
2022-01-01,17998.0
2022-02-01,21780.0
2022-03-01,19658.0
2022-04-01,23454.0
2022-05-01,19203.0
2022-06-01,23611.0
2022-07-01,21253.0
2022-08-01,26513.0
2022-09-01,38405.0
2022-10-01,31331.0
2022-11-01,23121.0
2022-12-01,26948.0
2023-01-01,23086.0
2023-02-01,18399.0
2023-03-01,20007.0
2023-04-01,11169.0
2023-05-01,14768.0
2023-06-01,18350.0
2023-07-01,15953.0
2023-08-01,18088.0
2023-09-01,18322.0
2023-10-01,13673.0
2023-11-01,19806.0
2023-12-01,15809.0
2024-01-01,18538.0
2024-02-01,12922.0
2024-03-01,12063.0
2024-04-01,6233.0
2024-05-01,10188.0
2024-06-01,8936.0
2024-07-01,18406.0
2024-08-01,17402.0
2024-09-01,24470.0
2024-10-01,52096.0
2024-11-01,41466.0
2024-12-01,42164.0
2025-01-01,38327.0
2025-02-01,43008.0
2025-03-01,39120.0
2025-04-01,29651.0
2025-05-01,21514.0
2025-06-01,17466.0
2025-07-01,25695.0
2025-08-01,40405.0
