Tarih,TP_PB_SKV341
2022-02-01,413220.0
2022-03-01,374762.0
2022-04-01,390085.0
2022-05-01,364632.0
2022-06-01,481840.0
2022-07-01,456231.0
2022-08-01,519433.0
2022-09-01,586789.0
2022-10-01,453072.0
2022-11-01,277844.0
2022-12-01,218292.0
2023-01-01,277988.0
2023-02-01,490772.0
2023-03-01,364353.0
2023-04-01,406190.0
2023-05-01,471780.0
2023-06-01,231739.0
2023-07-01,332835.0
2023-08-01,190720.0
2023-09-01,173813.0
2023-10-01,161729.0
2023-11-01,103016.0
2023-12-01,103501.0
2024-01-01,177492.0
2024-02-01,342517.0
2024-03-01,1075903.0
2024-04-01,781134.0
2024-05-01,2261472.0
2024-06-01,1960033.0
2024-07-01,3265412.0
2024-08-01,4683804.0
2024-09-01,8569760.0
2024-10-01,8520797.0
2024-11-01,6918293.0
2024-12-01,6394401.0
2025-01-01,9217197.0
2025-02-01,6878474.0
2025-03-01,8504185.0
2025-04-01,9556305.0
2025-05-01,5278964.0
2025-06-01,4795177.0
2025-07-01,4634683.0
2025-08-01,5911280.0
