Tarih,TP_IYA_INVE2_S06_A
2015-06-01,24.5
2015-07-01,28.4
2015-08-01,38.1
2015-09-01,55.8
2015-10-01,39.1
2015-11-01,30.1
2015-12-01,33.0
2016-01-01,32.3
2016-02-01,29.6
2016-03-01,21.8
2016-04-01,23.6
2016-05-01,34.2
2016-06-01,28.2
2016-07-01,13.6
2016-08-01,40.0
2016-09-01,38.9
2016-10-01,45.9
2016-11-01,43.6
2016-12-01,49.1
2017-01-01,49.3
2017-02-01,46.7
2017-03-01,39.3
2017-04-01,30.1
2017-05-01,30.6
2017-06-01,18.6
2017-07-01,31.5
2017-08-01,40.0
2017-09-01,28.9
2017-10-01,39.4
2017-11-01,47.8
2017-12-01,37.8
2018-01-01,39.3
2018-02-01,26.3
2018-03-01,33.4
2018-04-01,43.8
2018-05-01,41.6
2018-06-01,42.3
2018-07-01,43.0
2018-08-01,42.7
2018-09-01,41.8
2018-10-01,32.4
2018-11-01,26.4
2018-12-01,32.4
2019-01-01,38.6
2019-02-01,29.3
2019-03-01,30.3
2019-04-01,37.8
2019-05-01,36.1
2019-06-01,26.5
2019-07-01,31.9
2019-08-01,33.6
2019-09-01,25.8
2019-10-01,34.2
2019-11-01,34.9
2019-12-01,39.4
2020-01-01,41.8
2020-02-01,22.7
2020-03-01,34.2
2020-04-01,36.6
2020-05-01,36.1
2020-06-01,26.7
2020-07-01,35.8
2020-08-01,46.1
2020-09-01,42.6
2020-10-01,48.3
2020-11-01,42.0
2020-12-01,46.5
2021-01-01,38.5
2021-02-01,27.0
2021-03-01,31.6
2021-04-01,39.7
2021-05-01,46.0
2021-06-01,43.4
2021-07-01,44.9
2021-08-01,33.0
2021-09-01,37.4
2021-10-01,48.1
2021-11-01,53.1
2021-12-01,66.1
2022-01-01,54.4
2022-02-01,45.7
2022-03-01,61.6
2022-04-01,48.9
2022-05-01,56.6
2022-06-01,52.7
2022-07-01,52.4
2022-08-01,49.7
2022-09-01,54.3
2022-10-01,57.7
2022-11-01,63.9
2022-12-01,56.8
2023-01-01,67.2
2023-02-01,48.8
2023-03-01,55.0
2023-04-01,60.6
2023-05-01,59.4
2023-06-01,57.6
2023-07-01,64.1
2023-08-01,60.7
2023-09-01,52.7
2023-10-01,48.0
2023-11-01,48.8
2023-12-01,60.1
2024-01-01,59.5
2024-02-01,56.6
2024-03-01,53.4
2024-04-01,50.7
2024-05-01,50.8
2024-06-01,34.9
2024-07-01,39.1
2024-08-01,40.6
2024-09-01,49.8
2024-10-01,42.5
2024-11-01,52.0
2024-12-01,51.8
2025-01-01,51.6
2025-02-01,42.3
2025-03-01,45.5
2025-04-01,44.9
2025-05-01,48.6
2025-06-01,45.9
2025-07-01,50.9
2025-08-01,50.2
2025-09-01,47.7
