Tarih,TP_FG_B02_95
2022-02-01,45711.8
2022-03-01,48529.4
2022-04-01,54105.9
2022-05-01,56797.1
2022-06-01,58949.0
2022-07-01,61793.8
2022-08-01,63463.5
2022-09-01,65775.5
2022-10-01,69419.1
2022-11-01,72556.8
2022-12-01,74779.2
2023-01-01,79319.3
2023-02-01,83577.2
2023-03-01,86892.9
2023-04-01,90256.9
2023-05-01,91608.3
2023-06-01,94693.8
2023-07-01,102845.3
2023-08-01,112896.0
2023-09-01,117760.1
2023-10-01,122800.5
2023-11-01,128742.7
2023-12-01,135047.4
2024-01-01,142495.1
2024-02-01,149593.4
2024-03-01,155013.2
2024-04-01,162521.8
2024-05-01,166343.3
2024-06-01,170763.8
2024-07-01,178342.7
2024-08-01,179257.6
2024-09-01,183980.5
2024-10-01,190238.5
2024-11-01,196477.0
2024-12-01,198314.0
2025-01-01,207697.7
2025-02-01,212075.1
2025-03-01,220248.9
2025-04-01,226011.0
2025-05-01,225818.1
2025-06-01,232907.6
2025-07-01,235078.9
2025-08-01,239699.7
2025-09-01,246929.1
