Tarih,TP_DB_B33
2000-01-01,26799.0
2000-04-01,28075.0
2000-07-01,28005.0
2000-10-01,29243.0
2001-01-01,29967.0
2001-04-01,29710.0
2001-07-01,29989.0
2001-10-01,27480.0
2002-01-01,25831.0
2002-04-01,28601.0
2002-07-01,28473.0
2002-10-01,29145.0
2003-01-01,28276.0
2003-04-01,28873.0
2003-07-01,29196.0
2003-10-01,30057.0
2004-01-01,31368.0
2004-04-01,32432.0
2004-07-01,33780.0
2004-10-01,37043.0
2005-01-01,37257.0
2005-04-01,42382.0
2005-07-01,45115.0
2005-10-01,50897.0
2006-01-01,62140.0
2006-04-01,68881.0
2006-07-01,73178.0
2006-10-01,82781.0
2007-01-01,92464.0
2007-04-01,101566.0
2007-07-01,111798.0
2007-10-01,122464.0
2008-01-01,133136.0
2008-04-01,144422.0
2008-07-01,147034.0
2008-10-01,141021.0
2009-01-01,134242.0
2009-04-01,134572.0
2009-07-01,131951.0
2009-10-01,128437.0
2010-01-01,122307.0
2010-04-01,116150.0
2010-07-01,120970.0
2010-10-01,119430.0
2011-01-01,125953.0
2011-04-01,129578.0
2011-07-01,128339.0
2011-10-01,126914.0
2012-01-01,130162.0
2012-04-01,129254.0
2012-07-01,132441.0
2012-10-01,140867.0
2013-01-01,141231.0
2013-04-01,146114.0
2013-07-01,149974.0
2013-10-01,157035.0
2014-01-01,159938.0
2014-04-01,166875.0
2014-07-01,164474.0
2014-10-01,168070.0
2015-01-01,166462.0
2015-04-01,177492.0
2015-07-01,186398.0
2015-10-01,194107.0
2016-01-01,201753.0
2016-04-01,206939.0
2016-07-01,207170.0
2016-10-01,205979.0
2017-01-01,203876.0
2017-04-01,211122.0
2017-07-01,213753.0
2017-10-01,219880.0
2018-01-01,224383.0
2018-04-01,218675.0
2018-07-01,211866.0
2018-10-01,207156.0
2019-01-01,207612.0
2019-04-01,199254.0
2019-07-01,193283.0
2019-10-01,176728.0
2020-01-01,164499.0
2020-04-01,159311.0
2020-07-01,158445.0
2020-10-01,159535.0
2021-01-01,156220.0
2021-04-01,156696.0
2021-07-01,155633.0
2021-10-01,153608.0
2022-01-01,151378.0
2022-04-01,146536.0
2022-07-01,146917.0
2022-10-01,145824.0
2023-01-01,144057.0
2023-04-01,141140.0
2023-07-01,143427.0
2023-10-01,149623.0
2024-01-01,150966.0
2024-04-01,154140.0
2024-07-01,160535.0
2024-10-01,160881.0
2025-01-01,171696.0
2025-04-01,188921.0
