Tarih,TP_DB_B56
2000-01-01,2864.0
2000-04-01,2789.0
2000-07-01,2741.0
2000-10-01,2689.0
2001-01-01,2573.0
2001-04-01,2423.0
2001-07-01,2672.0
2001-10-01,2536.0
2002-01-01,2415.0
2002-04-01,2440.0
2002-07-01,2490.0
2002-10-01,2446.0
2003-01-01,2346.0
2003-04-01,2305.0
2003-07-01,2192.0
2003-10-01,2177.0
2004-01-01,2043.0
2004-04-01,1942.0
2004-07-01,1842.0
2004-10-01,1831.0
2005-01-01,1677.0
2005-04-01,1554.0
2005-07-01,1445.0
2005-10-01,1369.0
2006-01-01,1276.0
2006-04-01,1245.0
2006-07-01,1194.0
2006-10-01,1138.0
2007-01-01,913.0
2007-04-01,844.0
2007-07-01,854.0
2007-10-01,812.0
2008-01-01,838.0
2008-04-01,775.0
2008-07-01,711.0
2008-10-01,634.0
2009-01-01,584.0
2009-04-01,562.0
2009-07-01,560.0
2009-10-01,497.0
2010-01-01,459.0
2010-04-01,393.0
2010-07-01,409.0
2010-10-01,364.0
2011-01-01,366.0
2011-04-01,345.0
2011-07-01,315.0
2011-10-01,276.0
2012-01-01,267.0
2012-04-01,238.0
2012-07-01,229.0
2012-10-01,213.0
2013-01-01,195.0
2013-04-01,185.0
2013-07-01,175.0
2013-10-01,162.0
2014-01-01,148.0
2014-04-01,137.0
2014-07-01,125.0
2014-10-01,109.0
2015-01-01,97.0
2015-04-01,92.0
2015-07-01,93.0
2015-10-01,81.0
2016-01-01,84.0
2016-04-01,75.0
2016-07-01,76.0
2016-10-01,63.0
2017-01-01,64.0
2017-04-01,61.0
2017-07-01,63.0
2017-10-01,56.0
2018-01-01,57.0
2018-04-01,48.0
2018-07-01,48.0
2018-10-01,40.0
2019-01-01,39.0
2019-04-01,35.0
2019-07-01,34.0
2019-10-01,29.0
2020-01-01,29.0
2020-04-01,25.0
2020-07-01,26.0
2020-10-01,22.0
2021-01-01,21.0
2021-04-01,18.0
2021-07-01,18.0
2021-10-01,14.0
2022-01-01,14.0
2022-04-01,11.0
2022-07-01,10.0
2022-10-01,10.0
2023-01-01,10.0
2023-04-01,9.0
2023-07-01,8.0
2023-10-01,8.0
2024-01-01,7.0
2024-04-01,7.0
2024-07-01,7.0
2024-10-01,6.0
2025-01-01,7.0
2025-04-01,7.0
