Tarih,TP_DB_B62
2000-01-01,4038.0
2000-04-01,3744.0
2000-07-01,3764.0
2000-10-01,3744.0
2001-01-01,3644.0
2001-04-01,3684.0
2001-07-01,3918.0
2001-10-01,3333.0
2002-01-01,3489.0
2002-04-01,3517.0
2002-07-01,3335.0
2002-10-01,3645.0
2003-01-01,3717.0
2003-04-01,3873.0
2003-07-01,3961.0
2003-10-01,4312.0
2004-01-01,4356.0
2004-04-01,4433.0
2004-07-01,4555.0
2004-10-01,5060.0
2005-01-01,4847.0
2005-04-01,4955.0
2005-07-01,5056.0
2005-10-01,4910.0
2006-01-01,5001.0
2006-04-01,5051.0
2006-07-01,5316.0
2006-10-01,5512.0
2007-01-01,5927.0
2007-04-01,6238.0
2007-07-01,6780.0
2007-10-01,8269.0
2008-01-01,8881.0
2008-04-01,9189.0
2008-07-01,9686.0
2008-10-01,10118.0
2009-01-01,9774.0
2009-04-01,10695.0
2009-07-01,11283.0
2009-10-01,12022.0
2010-01-01,11654.0
2010-04-01,11798.0
2010-07-01,13617.0
2010-10-01,14446.0
2011-01-01,16034.0
2011-04-01,17063.0
2011-07-01,17168.0
2011-10-01,18119.0
2012-01-01,18973.0
2012-04-01,18253.0
2012-07-01,19647.0
2012-10-01,20925.0
2013-01-01,20920.0
2013-04-01,21523.0
2013-07-01,22590.0
2013-10-01,23895.0
2014-01-01,23920.0
2014-04-01,23990.0
2014-07-01,23641.0
2014-10-01,24073.0
2015-01-01,22716.0
2015-04-01,23573.0
2015-07-01,24364.0
2015-10-01,24698.0
2016-01-01,25709.0
2016-04-01,26108.0
2016-07-01,27345.0
2016-10-01,26202.0
2017-01-01,27315.0
2017-04-01,28712.0
2017-07-01,29183.0
2017-10-01,28993.0
2018-01-01,29426.0
2018-04-01,28064.0
2018-07-01,27950.0
2018-10-01,27555.0
2019-01-01,27039.0
2019-04-01,26697.0
2019-07-01,25350.0
2019-10-01,25587.0
2020-01-01,25087.0
2020-04-01,24985.0
2020-07-01,25063.0
2020-10-01,25691.0
2021-01-01,24847.0
2021-04-01,24210.0
2021-07-01,24244.0
2021-10-01,23530.0
2022-01-01,23169.0
2022-04-01,21791.0
2022-07-01,20552.0
2022-10-01,22278.0
2023-01-01,22262.0
2023-04-01,21805.0
2023-07-01,21865.0
2023-10-01,22380.0
2024-01-01,22011.0
2024-04-01,21752.0
2024-07-01,21614.0
2024-10-01,20544.0
2025-01-01,21270.0
2025-04-01,22248.0
