Tarih,TP_URALTIN_ALTINKG
2024-10-01,2488.819
2024-11-01,2340.161
2024-12-01,2420.92
2025-01-01,3058.693
2025-02-01,2010.157
2025-03-01,2128.619
2025-04-01,2220.523
2025-05-01,2441.155
2025-06-01,2490.464
2025-07-01,2653.299
