Tarih,TP_KKO2_IS_10
2023-03-01,72.11048996
2023-04-01,73.56757127
2023-05-01,73.17078173
2023-06-01,73.61200259
2023-07-01,71.73795711
2023-08-01,71.84845361
2023-09-01,73.11641002
2023-10-01,73.7021673
2023-11-01,75.22773093
2023-12-01,75.50632055
2024-01-01,75.07376874
2024-02-01,74.94223871
2024-03-01,73.73913778
2024-04-01,72.94985981
2024-05-01,72.40916043
2024-06-01,73.37664106
2024-07-01,72.73696977
2024-08-01,72.62168149
2024-09-01,73.28738838
2024-10-01,74.35744681
2024-11-01,75.08629742
2024-12-01,74.92361125
2025-01-01,73.8742145
2025-02-01,74.68116721
2025-03-01,74.16668837
2025-04-01,73.71077369
2025-05-01,74.15461595
2025-06-01,73.28498426
2025-07-01,72.4533378
2025-08-01,72.38053363
2025-09-01,71.72907407
