Tarih,TP_KKO2_IS_24
2023-03-01,68.52754351
2023-04-01,72.10360524
2023-05-01,74.76659214
2023-06-01,77.01772144
2023-07-01,77.22526291
2023-08-01,76.73828924
2023-09-01,75.2152573
2023-10-01,76.02667796
2023-11-01,76.55308182
2023-12-01,76.49302772
2024-01-01,77.11153575
2024-02-01,77.00866233
2024-03-01,75.9221381
2024-04-01,76.3170646
2024-05-01,74.48928492
2024-06-01,74.43497228
2024-07-01,75.24774264
2024-08-01,75.39058434
2024-09-01,74.39824218
2024-10-01,73.90088875
2024-11-01,75.08516865
2024-12-01,75.72440397
2025-01-01,76.08043651
2025-02-01,75.01145049
2025-03-01,73.55663518
2025-04-01,72.74349776
2025-05-01,73.88570428
2025-06-01,74.73364801
2025-07-01,74.6455702
2025-08-01,73.73101445
2025-09-01,75.62306869
