Tarih,TP_KKO2_IS_S3
2014-10-01,76.82084
2014-11-01,77.34585
2014-12-01,77.11451
2015-01-01,75.67358
2015-02-01,74.71146
2015-03-01,73.655
2015-04-01,75.98695
2015-05-01,76.99831
2015-06-01,75.82321
2015-07-01,76.1382
2015-08-01,75.26147
2015-09-01,76.7088
2015-10-01,76.33779
2015-11-01,77.6751
2015-12-01,76.4951
2016-01-01,75.69257
2016-02-01,74.24363
2016-03-01,73.86998
2016-04-01,75.28736
2016-05-01,76.38809
2016-06-01,76.79859
2016-07-01,74.28356
2016-08-01,74.18067
2016-09-01,75.41762
2016-10-01,75.04576
2016-11-01,75.54671
2016-12-01,75.88563
2017-01-01,74.86964
2017-02-01,74.76942
2017-03-01,74.87572
2017-04-01,72.56146
2017-05-01,74.13368
2017-06-01,73.46989
2017-07-01,73.22472
2017-08-01,74.39822
2017-09-01,73.66165
2017-10-01,74.48562
2017-11-01,75.19181
2017-12-01,75.31847
2018-01-01,75.21931
2018-02-01,75.37402
2018-03-01,75.13192
2018-04-01,76.07984
2018-05-01,73.02209
2018-06-01,73.61289
2018-07-01,72.28459
2018-08-01,72.44375
2018-09-01,70.65127
2018-10-01,69.24625
2018-11-01,69.08945
2018-12-01,68.59662
2019-01-01,69.21576
2019-02-01,67.71582
2019-03-01,69.24285
2019-04-01,70.26291
2019-05-01,72.91547
2019-06-01,73.80641
2019-07-01,72.36061
2019-08-01,72.4952
2019-09-01,71.81252
2019-10-01,72.7456
2019-11-01,73.48527
2019-12-01,72.95291
2020-01-01,72.26179
2020-02-01,72.20419
2020-03-01,73.35854
2020-04-01,59.29761
2020-05-01,56.06383
2020-06-01,60.22525
2020-07-01,65.14292
2020-08-01,67.11228
2020-09-01,69.1543
2020-10-01,69.01606
2020-11-01,70.04197
2020-12-01,69.33904
2021-01-01,68.88556
2021-02-01,69.49403
2021-03-01,69.51117
2021-04-01,71.47935
2021-05-01,73.0621
2021-06-01,72.44788
2021-07-01,73.18187
2021-08-01,73.92263
2021-09-01,73.5711
2021-10-01,74.89821
2021-11-01,75.7514
2021-12-01,76.44308
2022-01-01,75.51006
2022-02-01,75.08106
2022-03-01,74.51591
2022-04-01,75.27172
2022-05-01,74.50784
2022-06-01,73.88364
2022-07-01,74.29804
2022-08-01,74.02724
2022-09-01,73.46856
2022-10-01,74.07425
2022-11-01,73.5133
2022-12-01,74.74548
2023-01-01,73.93129
2023-02-01,73.28429
2023-03-01,71.96582
2023-04-01,73.67366
2023-05-01,70.52206
2023-06-01,71.54972
2023-07-01,70.57277
2023-08-01,71.05081
2023-09-01,70.76852
2023-10-01,71.73382
2023-11-01,71.77058
2023-12-01,71.73462
2024-01-01,70.24089
2024-02-01,71.37027
2024-03-01,70.66129
2024-04-01,70.77649
2024-05-01,69.99571
2024-06-01,70.71546
2024-07-01,70.49651
2024-08-01,69.79785
2024-09-01,70.94624
2024-10-01,71.28412
2024-11-01,70.71441
2024-12-01,71.52118
2025-01-01,69.82533
2025-02-01,70.92552
2025-03-01,70.23185
2025-04-01,69.7677
2025-05-01,70.466
2025-06-01,70.31637
2025-07-01,70.37744
2025-08-01,69.73139
2025-09-01,71.22635
