Tarih,TP_KKO2_IS_S4
2014-10-01,76.87148
2014-11-01,76.09006
2014-12-01,77.15011
2015-01-01,76.0485
2015-02-01,76.09936
2015-03-01,76.41163
2015-04-01,80.33798
2015-05-01,80.69349
2015-06-01,81.20662
2015-07-01,81.89079
2015-08-01,80.09432
2015-09-01,81.41081
2015-10-01,81.53169
2015-11-01,82.09234
2015-12-01,81.85668
2016-01-01,81.05322
2016-02-01,80.0555
2016-03-01,79.84247
2016-04-01,79.53604
2016-05-01,79.71256
2016-06-01,80.60554
2016-07-01,80.71819
2016-08-01,78.8627
2016-09-01,80.7532
2016-10-01,81.05281
2016-11-01,80.78183
2016-12-01,80.75932
2017-01-01,79.99274
2017-02-01,79.81917
2017-03-01,79.51278
2017-04-01,81.9496
2017-05-01,82.26467
2017-06-01,82.07882
2017-07-01,81.94008
2017-08-01,81.60285
2017-09-01,81.69119
2017-10-01,82.88139
2017-11-01,82.76311
2017-12-01,81.56281
2018-01-01,80.5008
2018-02-01,79.94435
2018-03-01,79.83328
2018-04-01,79.8693
2018-05-01,82.49203
2018-06-01,84.04735
2018-07-01,82.74039
2018-08-01,82.93856
2018-09-01,82.04684
2018-10-01,80.95237
2018-11-01,78.41739
2018-12-01,78.96076
2019-01-01,79.13652
2019-02-01,78.74254
2019-03-01,78.89008
2019-04-01,79.3864
2019-05-01,80.73168
2019-06-01,81.462
2019-07-01,80.64712
2019-08-01,81.44708
2019-09-01,80.89929
2019-10-01,80.77205
2019-11-01,81.65989
2019-12-01,81.37146
2020-01-01,79.11415
2020-02-01,80.03831
2020-03-01,78.71737
2020-04-01,65.26088
2020-05-01,67.84396
2020-06-01,70.6053
2020-07-01,75.43234
2020-08-01,78.53009
2020-09-01,79.02192
2020-10-01,79.69913
2020-11-01,79.90822
2020-12-01,79.77692
2021-01-01,79.56626
2021-02-01,78.59075
2021-03-01,77.94488
2021-04-01,80.21796
2021-05-01,78.27853
2021-06-01,80.37674
2021-07-01,79.73803
2021-08-01,81.19058
2021-09-01,82.87396
2021-10-01,81.7453
2021-11-01,81.25055
2021-12-01,82.24618
2022-01-01,81.13146
2022-02-01,79.42477
2022-03-01,80.70122
2022-04-01,81.29674
2022-05-01,80.84025
2022-06-01,80.51043
2022-07-01,82.06141
2022-08-01,79.58566
2022-09-01,81.35809
