Tarih,TP_UNDNAKLIYE_TIH_GB_ADET
2016-05-01,1824.0
2016-06-01,1791.0
2016-07-01,1644.0
2016-08-01,1735.0
2016-09-01,1563.0
2016-10-01,2070.0
2016-11-01,1897.0
2016-12-01,1657.0
2017-01-01,1584.0
2017-02-01,1467.0
2017-03-01,1805.0
2017-04-01,1759.0
2017-05-01,1818.0
2017-06-01,1656.0
2017-07-01,1732.0
2017-08-01,1737.0
2017-09-01,1657.0
2017-10-01,1954.0
2017-11-01,1946.0
2017-12-01,1728.0
2018-01-01,1514.0
2018-02-01,1503.0
2018-03-01,1748.0
2018-04-01,1662.0
2018-05-01,1719.0
2018-06-01,1629.0
2018-07-01,1910.0
2018-08-01,1554.0
2018-09-01,1996.0
2018-10-01,1872.0
2018-11-01,1898.0
2018-12-01,1797.0
2019-01-01,1517.0
2019-02-01,1485.0
2019-03-01,1743.0
2019-04-01,1407.0
2019-05-01,1542.0
2019-06-01,1392.0
2019-07-01,1603.0
2019-08-01,1490.0
2019-09-01,1805.0
2019-10-01,1755.0
2019-11-01,1680.0
2019-12-01,1540.0
2020-01-01,1176.0
2020-02-01,1372.0
2020-03-01,1223.0
2020-04-01,675.0
2020-05-01,1036.0
2020-06-01,1258.0
2020-07-01,1528.0
2020-08-01,1392.0
2020-09-01,1766.0
2020-10-01,1881.0
2020-11-01,1856.0
2020-12-01,1851.0
2021-01-01,1368.0
2021-02-01,1314.0
2021-03-01,1668.0
2021-04-01,1579.0
2021-05-01,1604.0
2021-06-01,1736.0
2021-07-01,1511.0
2021-08-01,1811.0
2021-09-01,1850.0
2021-10-01,1953.0
2021-11-01,1912.0
2021-12-01,1810.0
2022-01-01,1589.0
2022-02-01,1719.0
2022-03-01,1835.0
2022-04-01,1813.0
2022-05-01,1691.0
2022-06-01,1908.0
2022-07-01,1782.0
2022-08-01,2001.0
2022-09-01,1953.0
2022-10-01,2135.0
2022-11-01,1886.0
2022-12-01,1688.0
2023-01-01,1863.0
2023-02-01,1558.0
2023-03-01,1858.0
2023-04-01,1787.0
2023-05-01,1729.0
2023-06-01,1817.0
2023-07-01,1582.0
2023-08-01,1868.0
2023-09-01,2039.0
2023-10-01,2109.0
2023-11-01,1827.0
2023-12-01,1660.0
2024-01-01,1541.0
2024-02-01,1687.0
2024-03-01,1784.0
2024-04-01,1528.0
2024-05-01,1771.0
2024-06-01,1513.0
2024-07-01,1787.0
2024-08-01,1835.0
2024-09-01,1778.0
2024-10-01,1850.0
2024-11-01,1656.0
2024-12-01,1594.0
2025-01-01,1400.0
2025-02-01,1614.0
2025-03-01,1838.0
2025-04-01,1549.0
2025-05-01,1861.0
2025-06-01,1750.0
2025-07-01,1935.0
2025-08-01,1946.0
2025-09-01,1856.0
