Tarih,TP_UNDNAKLIYE_TIH_DE_ADET
2016-05-01,8072.0
2016-06-01,8509.0
2016-07-01,7144.0
2016-08-01,7733.0
2016-09-01,7277.0
2016-10-01,8818.0
2016-11-01,8021.0
2016-12-01,7465.0
2017-01-01,7806.0
2017-02-01,7472.0
2017-03-01,8426.0
2017-04-01,7794.0
2017-05-01,7757.0
2017-06-01,7947.0
2017-07-01,8112.0
2017-08-01,8379.0
2017-09-01,7702.0
2017-10-01,8639.0
2017-11-01,8519.0
2017-12-01,7865.0
2018-01-01,7877.0
2018-02-01,7567.0
2018-03-01,8595.0
2018-04-01,7922.0
2018-05-01,8334.0
2018-06-01,8160.0
2018-07-01,8253.0
2018-08-01,6861.0
2018-09-01,8512.0
2018-10-01,8534.0
2018-11-01,8063.0
2018-12-01,7448.0
2019-01-01,7361.0
2019-02-01,7372.0
2019-03-01,8469.0
2019-04-01,7155.0
2019-05-01,8098.0
2019-06-01,7524.0
2019-07-01,7997.0
2019-08-01,6800.0
2019-09-01,7917.0
2019-10-01,7849.0
2019-11-01,7775.0
2019-12-01,6922.0
2020-01-01,6763.0
2020-02-01,7830.0
2020-03-01,7326.0
2020-04-01,5493.0
2020-05-01,6826.0
2020-06-01,7535.0
2020-07-01,8280.0
2020-08-01,7338.0
2020-09-01,8658.0
2020-10-01,8928.0
2020-11-01,8963.0
2020-12-01,8233.0
2021-01-01,8479.0
2021-02-01,8556.0
2021-03-01,10247.0
2021-04-01,9065.0
2021-05-01,8875.0
2021-06-01,10078.0
2021-07-01,8879.0
2021-08-01,9795.0
2021-09-01,10157.0
2021-10-01,10867.0
2021-11-01,10319.0
2021-12-01,9574.0
2022-01-01,9603.0
2022-02-01,9506.0
2022-03-01,10713.0
2022-04-01,10593.0
2022-05-01,9763.0
2022-06-01,11285.0
2022-07-01,9404.0
2022-08-01,10826.0
2022-09-01,11066.0
2022-10-01,11729.0
2022-11-01,10867.0
2022-12-01,9986.0
2023-01-01,10878.0
2023-02-01,10192.0
2023-03-01,11945.0
2023-04-01,10127.0
2023-05-01,10592.0
2023-06-01,11245.0
2023-07-01,10482.0
2023-08-01,10269.0
2023-09-01,11200.0
2023-10-01,11839.0
2023-11-01,11057.0
2023-12-01,10279.0
2024-01-01,10113.0
2024-02-01,10281.0
2024-03-01,10761.0
2024-04-01,8534.0
2024-05-01,10895.0
2024-06-01,9784.0
2024-07-01,10721.0
2024-08-01,10802.0
2024-09-01,10109.0
2024-10-01,10596.0
2024-11-01,9846.0
2024-12-01,8926.0
2025-01-01,9776.0
2025-02-01,9706.0
2025-03-01,11023.0
2025-04-01,9751.0
2025-05-01,10886.0
2025-06-01,10145.0
2025-07-01,10650.0
2025-08-01,10336.0
2025-09-01,10520.0
