Tarih,TP_OSUVAG14
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,13191137228.0
2002-02-01,14257240523.0
2002-03-01,14785993551.0
2002-04-01,15076568471.0
2002-05-01,15311662378.0
2002-06-01,16150258593.0
2002-07-01,15467088565.0
2002-08-01,15353346752.0
2002-09-01,15357583390.0
2002-10-01,15129041536.0
2002-11-01,15192683490.0
2002-12-01,15249643044.0
2003-01-01,15647335505.0
2003-02-01,15606399621.0
2003-03-01,15182703607.0
2003-04-01,15337815285.0
2003-05-01,15772587232.0
2003-06-01,15393788450.0
2003-07-01,15387900370.0
2003-08-01,14885552885.0
2003-09-01,15327887708.0
2003-10-01,15407988233.0
2003-11-01,15442986700.0
2003-12-01,15923584537.0
2004-01-01,16083042804.0
2004-02-01,16386167368.0
2004-03-01,16078211973.0
2004-04-01,15952402647.0
2004-05-01,16210022818.0
2004-06-01,16788402946.0
2004-07-01,16885066502.0
2004-08-01,17106172623.0
2004-09-01,17550128698.0
2004-10-01,18177721339.0
2004-11-01,18806870599.0
2004-12-01,19323216251.0
2005-01-01,18886209804.0
2005-02-01,19043880695.0
2005-03-01,18498935239.0
2005-04-01,18780225038.0
2005-05-01,19040341302.0
2005-06-01,22005836469.0
2005-07-01,23068597972.0
2005-08-01,23429804325.0
2005-09-01,24089613771.0
2005-10-01,23735415759.0
2005-11-01,24777488259.0
2005-12-01,26740496980.0
2006-01-01,29535510121.0
2006-02-01,32604405879.0
2006-03-01,33560665459.0
2006-04-01,34798913306.0
2006-05-01,37123219045.0
2006-06-01,37745948235.0
2006-07-01,38488700764.0
2006-08-01,39277343911.0
2006-09-01,40042316087.0
2006-10-01,40514305556.0
2006-11-01,41562907686.0
2006-12-01,46507661802.0
2007-01-01,46320491127.0
2007-02-01,48101890755.0
2007-03-01,53220413446.0
2007-04-01,54690164402.0
2007-05-01,57559633458.0
2007-06-01,59185697588.0
2007-07-01,59888476465.0
2007-08-01,61975127277.0
2007-09-01,64877297435.0
2007-10-01,66737679428.0
2007-11-01,68676423765.0
2007-12-01,68850332998.0
2008-01-01,70421954689.0
2008-02-01,72057043259.0
2008-03-01,73964097631.0
2008-04-01,74459150113.0
2008-05-01,76496722699.0
2008-06-01,78674651322.0
2008-07-01,78595473293.0
2008-08-01,78892782230.0
2008-09-01,77723741013.0
2008-10-01,74792874609.0
2008-11-01,72828604034.0
2008-12-01,72854555903.0
2009-01-01,71088307946.0
2009-02-01,69486657541.0
2009-03-01,69001995501.0
2009-04-01,67877608842.0
2009-05-01,68017792655.0
2009-06-01,67971990624.0
2009-07-01,67882153954.0
2009-08-01,67522484046.0
2009-09-01,67501441252.0
2009-10-01,67421463992.0
2009-11-01,66828205340.0
2009-12-01,64897622968.0
2010-01-01,63520134200.0
2010-02-01,61789587106.0
2010-03-01,61235961173.0
2010-04-01,60847451960.0
2010-05-01,59703986034.0
2010-06-01,58784830044.0
2010-07-01,60442180842.0
2010-08-01,60227835997.0
2010-09-01,60628234194.0
2010-10-01,61856688146.0
2010-11-01,61930618488.0
2010-12-01,59091985844.0
2011-01-01,60133828296.0
2011-02-01,60332531862.0
2011-03-01,62161396799.0
2011-04-01,63901320404.0
2011-05-01,63748819952.0
2011-06-01,63725565155.0
