Tarih,TP_OSUVAG13
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,21596922342.0
2002-02-01,22928297309.0
2002-03-01,23951638707.0
2002-04-01,24634524844.0
2002-05-01,25398230148.0
2002-06-01,26592929834.0
2002-07-01,25738330105.0
2002-08-01,25603157452.0
2002-09-01,25719465971.0
2002-10-01,25534307331.0
2002-11-01,25828576061.0
2002-12-01,26178828077.0
2003-01-01,26668167183.0
2003-02-01,26672654217.0
2003-03-01,25262467852.0
2003-04-01,25471467779.0
2003-05-01,26093404905.0
2003-06-01,25717645518.0
2003-07-01,25787654778.0
2003-08-01,25338510920.0
2003-09-01,25962887508.0
2003-10-01,26203140500.0
2003-11-01,26021963329.0
2003-12-01,26635941792.0
2004-01-01,26958230171.0
2004-02-01,27442366699.0
2004-03-01,27690721271.0
2004-04-01,27761553305.0
2004-05-01,28235470835.0
2004-06-01,28684879073.0
2004-07-01,29013601945.0
2004-08-01,29251113650.0
2004-09-01,29829499201.0
2004-10-01,30646017291.0
2004-11-01,32025890152.0
2004-12-01,32830105566.0
2005-01-01,32425747897.0
2005-02-01,32996676318.0
2005-03-01,33244136027.0
2005-04-01,33939963778.0
2005-05-01,35108294048.0
2005-06-01,38270667614.0
2005-07-01,39709909777.0
2005-08-01,39980416677.0
2005-09-01,40909298163.0
2005-10-01,40407848889.0
2005-11-01,43316310724.0
2005-12-01,46719618938.0
2006-01-01,52023411608.0
2006-02-01,55729861837.0
2006-03-01,57764758126.0
2006-04-01,59576231178.0
2006-05-01,62818359013.0
2006-06-01,64527861883.0
2006-07-01,65866304242.0
2006-08-01,67284344901.0
2006-09-01,68532667079.0
2006-10-01,69732515490.0
2006-11-01,71009657300.0
2006-12-01,77871729921.0
2007-01-01,77799350472.0
2007-02-01,80202037560.0
2007-03-01,87258957593.0
2007-04-01,89652343181.0
2007-05-01,93287066239.0
2007-06-01,96002037417.0
2007-07-01,97903694494.0
2007-08-01,101280099519.0
2007-09-01,105781013090.0
2007-10-01,109017267411.0
2007-11-01,112704081354.0
2007-12-01,115505433128.0
2008-01-01,118910096289.0
2008-02-01,122496413727.0
2008-03-01,125717147231.0
2008-04-01,127596613621.0
2008-05-01,132583618970.0
2008-06-01,136692559079.0
2008-07-01,137700979935.0
2008-08-01,138441575017.0
2008-09-01,138394354035.0
2008-10-01,132949923357.0
2008-11-01,130607826154.0
2008-12-01,132282124192.0
2009-01-01,128365830560.0
2009-02-01,125991210140.0
2009-03-01,125687861120.0
2009-04-01,124899169172.0
2009-05-01,125476276370.0
2009-06-01,125164078730.0
2009-07-01,124709074210.0
2009-08-01,123008427011.0
2009-09-01,122513671410.0
2009-10-01,122405224805.0
2009-11-01,121573883304.0
2009-12-01,118318503640.0
2010-01-01,115908239439.0
2010-02-01,113246574337.0
2010-03-01,112261608017.0
2010-04-01,110893008263.0
2010-05-01,108024779892.0
2010-06-01,105715339815.0
2010-07-01,107973939505.0
2010-08-01,106932313392.0
2010-09-01,108066435716.0
2010-10-01,109947134804.0
2010-11-01,108836174481.0
2010-12-01,106368441571.0
2011-01-01,107664273624.0
2011-02-01,107728069541.0
2011-03-01,110628613784.0
2011-04-01,112777074907.0
2011-05-01,111816648111.0
2011-06-01,112084169100.0
