Tarih,TP_OSUVAG17
2017-06-01,10708936056.0
2017-07-01,10871710060.0
2017-08-01,11227572461.0
2017-09-01,11175360637.0
2017-10-01,11060532570.0
2017-11-01,11011162484.0
2017-12-01,10934851115.0
2018-01-01,11065808265.0
2018-02-01,11314099506.0
2018-03-01,10478173260.0
2018-04-01,10420423595.0
2018-05-01,10346169761.0
2018-06-01,10295868471.0
2018-07-01,10336845001.0
2018-08-01,9746760240.0
2018-09-01,9901063537.0
2018-10-01,10001352204.0
2018-11-01,10041063063.0
2018-12-01,9859619152.0
2019-01-01,9860314169.0
2019-02-01,9836708732.0
2019-03-01,9881412889.0
2019-04-01,9554729535.0
2019-05-01,9597881406.0
2019-06-01,9630439918.0
2019-07-01,9645116021.0
2019-08-01,9600735324.0
2019-09-01,9344200403.0
2019-10-01,9326975431.0
2019-11-01,9281435870.0
2019-12-01,9213756972.0
2020-01-01,9046321723.0
2020-02-01,9026715522.0
2020-03-01,9099604196.0
2020-04-01,8708754784.0
2020-05-01,8866955388.0
2020-06-01,8846787861.0
2020-07-01,8901151521.0
2020-08-01,8852215828.0
2020-09-01,8661901740.0
2020-10-01,8616335203.0
2020-11-01,8577063222.0
2020-12-01,8684619237.0
2021-01-01,8688663070.0
2021-02-01,8805233454.0
2021-03-01,8011342451.0
2021-04-01,8042798555.0
2021-05-01,7862954275.0
2021-06-01,7745908853.0
2021-07-01,7749866881.0
2021-08-01,8033216958.0
2021-09-01,7583980972.0
2021-10-01,7459946488.0
2021-11-01,7188391212.0
2021-12-01,7607663542.0
2022-01-01,7542680364.0
2022-02-01,7484233268.0
2022-03-01,7838970105.0
2022-04-01,7869441680.0
2022-05-01,7977105632.0
2022-06-01,8816486935.0
2022-07-01,8559552877.0
2022-08-01,8517706998.0
2022-09-01,8591982569.0
2022-10-01,8841440048.0
2022-11-01,9020814423.0
2022-12-01,8837889961.0
2023-01-01,8889998410.0
2023-02-01,8824788027.0
2023-03-01,9010066042.0
2023-04-01,9139724102.0
2023-05-01,9013002461.0
2023-06-01,8887809787.0
2023-07-01,8887556245.0
2023-08-01,8753197968.0
2023-09-01,8559175000.0
2023-10-01,8785676749.0
2023-11-01,9048885290.0
2023-12-01,9005160247.0
2024-01-01,8846568469.0
2024-02-01,8821629796.0
2024-03-01,8669009343.0
2024-04-01,8563152568.0
2024-05-01,8901144097.0
2024-06-01,8888367492.0
2024-07-01,9433503503.0
2024-08-01,9426439378.0
2024-09-01,9620450646.0
2024-10-01,9538914285.0
2024-11-01,9424083685.0
2024-12-01,9969687217.0
2025-01-01,10298792669.0
2025-02-01,10398651121.0
2025-03-01,11064851292.0
2025-04-01,11675357091.0
2025-05-01,12013276239.0
2025-06-01,12373568774.0
2025-07-01,12469787505.0
2025-08-01,12697544866.0
