Tarih,TP_OSUVAG02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,1971255533.0
2002-02-01,1961483709.0
2002-03-01,1841065739.0
2002-04-01,1827492921.0
2002-05-01,1877781915.0
2002-06-01,1966192389.0
2002-07-01,2386614862.0
2002-08-01,2419932577.0
2002-09-01,2712579982.0
2002-10-01,2701741794.0
2002-11-01,2871864376.0
2002-12-01,2951612807.0
2003-01-01,2988722555.0
2003-02-01,3003592109.0
2003-03-01,2999108105.0
2003-04-01,3035341735.0
2003-05-01,3151804845.0
2003-06-01,3140544801.0
2003-07-01,3171636564.0
2003-08-01,3142071503.0
2003-09-01,3233834872.0
2003-10-01,3317561150.0
2003-11-01,3362951200.0
2003-12-01,3421464033.0
2004-01-01,3412706925.0
2004-02-01,3470584677.0
2004-03-01,3533206575.0
2004-04-01,3512496988.0
2004-05-01,3570494027.0
2004-06-01,3603470158.0
2004-07-01,3670226353.0
2004-08-01,3755261020.0
2004-09-01,3796916189.0
2004-10-01,3875365373.0
2004-11-01,3959173760.0
2004-12-01,4051682992.0
2005-01-01,3971338010.0
2005-02-01,3857711633.0
2005-03-01,3848844613.0
2005-04-01,4022839305.0
2005-05-01,3915091986.0
2005-06-01,3947354954.0
2005-07-01,3978300358.0
2005-08-01,4078126875.0
2005-09-01,4023024967.0
2005-10-01,4037870197.0
2005-11-01,3995416440.0
2005-12-01,4001801622.0
2006-01-01,4045607577.0
2006-02-01,4022084110.0
2006-03-01,4197136717.0
2006-04-01,4253263210.0
2006-05-01,4276944144.0
2006-06-01,4169990056.0
2006-07-01,4297391874.0
2006-08-01,4380653606.0
2006-09-01,4445400854.0
2006-10-01,4470018230.0
2006-11-01,4504753495.0
2006-12-01,4679486084.0
2007-01-01,4740475578.0
2007-02-01,4836389021.0
2007-03-01,4968239457.0
2007-04-01,5054006427.0
2007-05-01,5225919006.0
2007-06-01,5314432620.0
2007-07-01,5532478600.0
2007-08-01,5564915541.0
2007-09-01,5733609754.0
2007-10-01,5789024116.0
2007-11-01,6009687886.0
2007-12-01,6658059126.0
2008-01-01,6836985780.0
2008-02-01,6989533727.0
2008-03-01,7098642596.0
2008-04-01,7143408381.0
2008-05-01,7181029035.0
2008-06-01,7410958143.0
2008-07-01,7574306060.0
2008-08-01,8092612832.0
2008-09-01,8106885996.0
2008-10-01,7606507570.0
2008-11-01,7544682285.0
2008-12-01,8249988872.0
2009-01-01,7924459666.0
2009-02-01,7911430968.0
2009-03-01,8107072392.0
2009-04-01,8101910422.0
2009-05-01,8415970041.0
2009-06-01,8907894482.0
2009-07-01,9123591831.0
2009-08-01,9222602256.0
2009-09-01,8833301721.0
2009-10-01,9018969649.0
2009-11-01,9222359358.0
2009-12-01,9523870745.0
2010-01-01,9831536309.0
2010-02-01,9646594384.0
2010-03-01,9489136280.0
2010-04-01,9767043903.0
2010-05-01,9572774056.0
2010-06-01,9891927899.0
2010-07-01,10525162841.0
2010-08-01,10562837147.0
2010-09-01,11135769193.0
2010-10-01,11392285874.0
2010-11-01,11256637111.0
2010-12-01,11303002764.0
2011-01-01,11906240946.0
2011-02-01,12113475227.0
2011-03-01,12449070485.0
2011-04-01,13232599340.0
2011-05-01,12979496307.0
2011-06-01,13189852584.0
