Tarih,TP_TODEDFAIZ_A313
2015-12-01,771.0
2016-01-01,575.0
2016-02-01,673.0
2016-03-01,1011.0
2016-04-01,900.0
2016-05-01,803.0
2016-06-01,836.0
2016-07-01,616.0
2016-08-01,683.0
2016-09-01,1001.0
2016-10-01,813.0
2016-11-01,665.0
2016-12-01,866.0
2017-01-01,598.0
2017-02-01,694.0
2017-03-01,1120.0
2017-04-01,1046.0
2017-05-01,896.0
2017-06-01,863.0
2017-07-01,640.0
2017-08-01,653.0
2017-09-01,1021.0
2017-10-01,1084.0
2017-11-01,1049.0
2017-12-01,989.0
2018-01-01,565.0
2018-02-01,655.0
2018-03-01,1257.0
2018-04-01,1231.0
2018-05-01,1168.0
2018-06-01,958.0
2018-07-01,668.0
2018-08-01,765.0
2018-09-01,1039.0
2018-10-01,1179.0
2018-11-01,1284.0
2018-12-01,859.0
2019-01-01,725.0
2019-02-01,781.0
2019-03-01,1099.0
2019-04-01,1218.0
2019-05-01,1305.0
2019-06-01,1121.0
2019-07-01,751.0
2019-08-01,912.0
2019-09-01,1188.0
2019-10-01,1180.0
2019-11-01,1064.0
2019-12-01,1114.0
2020-01-01,612.0
2020-02-01,955.0
2020-03-01,1171.0
2020-04-01,1299.0
2020-05-01,1197.0
2020-06-01,922.0
2020-07-01,600.0
2020-08-01,799.0
2020-09-01,1212.0
2020-10-01,937.0
2020-11-01,1007.0
2020-12-01,801.0
2021-01-01,600.0
2021-02-01,1008.0
2021-03-01,1222.0
2021-04-01,1230.0
2021-05-01,1112.0
2021-06-01,825.0
2021-07-01,831.0
2021-08-01,811.0
2021-09-01,1174.0
2021-10-01,1026.0
2021-11-01,1077.0
2021-12-01,706.0
2022-01-01,762.0
2022-02-01,835.0
2022-03-01,1184.0
2022-04-01,1030.0
2022-05-01,1029.0
2022-06-01,696.0
2022-07-01,745.0
2022-08-01,793.0
2022-09-01,1135.0
2022-10-01,982.0
2022-11-01,1092.0
2022-12-01,846.0
2023-01-01,871.0
2023-02-01,993.0
2023-03-01,1306.0
2023-04-01,1289.0
2023-05-01,1559.0
2023-06-01,1005.0
2023-07-01,1469.0
2023-08-01,1116.0
2023-09-01,1420.0
2023-10-01,1282.0
2023-11-01,1612.0
2023-12-01,1256.0
2024-01-01,1448.0
2024-02-01,1293.0
2024-03-01,1662.0
2024-04-01,1414.0
2024-05-01,1684.0
2024-06-01,1226.0
2024-07-01,1826.0
2024-08-01,1264.0
2024-09-01,1670.0
2024-10-01,1495.0
2024-11-01,1627.0
2024-12-01,1683.0
2025-01-01,1792.0
2025-02-01,1262.0
2025-03-01,1968.0
2025-04-01,1568.0
2025-05-01,1767.0
2025-06-01,1694.0
2025-07-01,2153.0
2025-08-01,1246.0
