Tarih,TP_TODEDFAIZ_A212
2015-12-01,651.0
2016-01-01,518.0
2016-02-01,629.0
2016-03-01,946.0
2016-04-01,791.0
2016-05-01,710.0
2016-06-01,674.0
2016-07-01,577.0
2016-08-01,601.0
2016-09-01,914.0
2016-10-01,726.0
2016-11-01,542.0
2016-12-01,730.0
2017-01-01,552.0
2017-02-01,621.0
2017-03-01,976.0
2017-04-01,935.0
2017-05-01,785.0
2017-06-01,734.0
2017-07-01,565.0
2017-08-01,561.0
2017-09-01,938.0
2017-10-01,970.0
2017-11-01,892.0
2017-12-01,870.0
2018-01-01,489.0
2018-02-01,565.0
2018-03-01,1052.0
2018-04-01,1055.0
2018-05-01,1063.0
2018-06-01,823.0
2018-07-01,584.0
2018-08-01,668.0
2018-09-01,940.0
2018-10-01,1015.0
2018-11-01,1173.0
2018-12-01,710.0
2019-01-01,615.0
2019-02-01,666.0
2019-03-01,948.0
2019-04-01,1067.0
2019-05-01,1181.0
2019-06-01,965.0
2019-07-01,630.0
2019-08-01,723.0
2019-09-01,1089.0
2019-10-01,1012.0
2019-11-01,991.0
2019-12-01,934.0
2020-01-01,522.0
2020-02-01,841.0
2020-03-01,1065.0
2020-04-01,1060.0
2020-05-01,1126.0
2020-06-01,830.0
2020-07-01,516.0
2020-08-01,709.0
2020-09-01,1076.0
2020-10-01,789.0
2020-11-01,920.0
2020-12-01,622.0
2021-01-01,523.0
2021-02-01,862.0
2021-03-01,1094.0
2021-04-01,1042.0
2021-05-01,1012.0
2021-06-01,705.0
2021-07-01,798.0
2021-08-01,751.0
2021-09-01,1051.0
2021-10-01,900.0
2021-11-01,1029.0
2021-12-01,605.0
2022-01-01,656.0
2022-02-01,786.0
2022-03-01,1064.0
2022-04-01,946.0
2022-05-01,997.0
2022-06-01,612.0
2022-07-01,718.0
2022-08-01,736.0
2022-09-01,1037.0
2022-10-01,899.0
2022-11-01,1037.0
2022-12-01,722.0
2023-01-01,810.0
2023-02-01,895.0
2023-03-01,1166.0
2023-04-01,1149.0
2023-05-01,1424.0
2023-06-01,885.0
2023-07-01,1371.0
2023-08-01,992.0
2023-09-01,1272.0
2023-10-01,1040.0
2023-11-01,1370.0
2023-12-01,1058.0
2024-01-01,1310.0
2024-02-01,1116.0
2024-03-01,1435.0
2024-04-01,1179.0
2024-05-01,1473.0
2024-06-01,988.0
2024-07-01,1647.0
2024-08-01,1063.0
2024-09-01,1434.0
2024-10-01,1235.0
2024-11-01,1400.0
2024-12-01,1226.0
2025-01-01,1626.0
2025-02-01,1068.0
2025-03-01,1759.0
2025-04-01,1366.0
2025-05-01,1582.0
2025-06-01,1465.0
2025-07-01,1966.0
2025-08-01,1003.0
