Tarih,TP_TODEDFAIZ_A112
2015-12-01,151.0
2016-01-01,287.0
2016-02-01,358.0
2016-03-01,680.0
2016-04-01,367.0
2016-05-01,294.0
2016-06-01,125.0
2016-07-01,289.0
2016-08-01,314.0
2016-09-01,629.0
2016-10-01,279.0
2016-11-01,234.0
2016-12-01,162.0
2017-01-01,311.0
2017-02-01,399.0
2017-03-01,545.0
2017-04-01,425.0
2017-05-01,321.0
2017-06-01,141.0
2017-07-01,285.0
2017-08-01,315.0
2017-09-01,630.0
2017-10-01,399.0
2017-11-01,343.0
2017-12-01,155.0
2018-01-01,216.0
2018-02-01,314.0
2018-03-01,636.0
2018-04-01,486.0
2018-05-01,401.0
2018-06-01,172.0
2018-07-01,205.0
2018-08-01,380.0
2018-09-01,555.0
2018-10-01,377.0
2018-11-01,365.0
2018-12-01,145.0
2019-01-01,220.0
2019-02-01,388.0
2019-03-01,571.0
2019-04-01,483.0
2019-05-01,394.0
2019-06-01,272.0
2019-07-01,215.0
2019-08-01,428.0
2019-09-01,562.0
2019-10-01,473.0
2019-11-01,276.0
2019-12-01,285.0
2020-01-01,202.0
2020-02-01,632.0
2020-03-01,630.0
2020-04-01,452.0
2020-05-01,333.0
2020-06-01,315.0
2020-07-01,203.0
2020-08-01,494.0
2020-09-01,681.0
2020-10-01,412.0
2020-11-01,354.0
2020-12-01,154.0
2021-01-01,226.0
2021-02-01,587.0
2021-03-01,729.0
2021-04-01,536.0
2021-05-01,222.0
2021-06-01,303.0
2021-07-01,337.0
2021-08-01,492.0
2021-09-01,585.0
2021-10-01,508.0
2021-11-01,350.0
2021-12-01,249.0
2022-01-01,310.0
2022-02-01,580.0
2022-03-01,694.0
2022-04-01,554.0
2022-05-01,286.0
2022-06-01,293.0
2022-07-01,374.0
2022-08-01,540.0
2022-09-01,689.0
2022-10-01,526.0
2022-11-01,299.0
2022-12-01,264.0
2023-01-01,378.0
2023-02-01,642.0
2023-03-01,709.0
2023-04-01,630.0
2023-05-01,461.0
2023-06-01,299.0
2023-07-01,835.0
2023-08-01,601.0
2023-09-01,731.0
2023-10-01,535.0
2023-11-01,451.0
2023-12-01,267.0
2024-01-01,753.0
2024-02-01,750.0
2024-03-01,858.0
2024-04-01,549.0
2024-05-01,510.0
2024-06-01,263.0
2024-07-01,1007.0
2024-08-01,629.0
2024-09-01,704.0
2024-10-01,691.0
2024-11-01,486.0
2024-12-01,319.0
2025-01-01,1009.0
2025-02-01,615.0
2025-03-01,692.0
2025-04-01,689.0
2025-05-01,652.0
2025-06-01,342.0
2025-07-01,1173.0
2025-08-01,543.0
