Tarih,TP_TODEDFAIZ_A1141
2015-12-01,367.0
2016-01-01,176.0
2016-02-01,158.0
2016-03-01,216.0
2016-04-01,252.0
2016-05-01,323.0
2016-06-01,457.0
2016-07-01,169.0
2016-08-01,227.0
2016-09-01,201.0
2016-10-01,214.0
2016-11-01,279.0
2016-12-01,464.0
2017-01-01,153.0
2017-02-01,146.0
2017-03-01,332.0
2017-04-01,242.0
2017-05-01,369.0
2017-06-01,499.0
2017-07-01,204.0
2017-08-01,183.0
2017-09-01,193.0
2017-10-01,252.0
2017-11-01,438.0
2017-12-01,585.0
2018-01-01,212.0
2018-02-01,167.0
2018-03-01,326.0
2018-04-01,236.0
2018-05-01,456.0
2018-06-01,502.0
2018-07-01,226.0
2018-08-01,174.0
2018-09-01,249.0
2018-10-01,286.0
2018-11-01,570.0
2018-12-01,455.0
2019-01-01,298.0
2019-02-01,189.0
2019-03-01,292.0
2019-04-01,247.0
2019-05-01,633.0
2019-06-01,540.0
2019-07-01,232.0
2019-08-01,246.0
2019-09-01,381.0
2019-10-01,234.0
2019-11-01,543.0
2019-12-01,558.0
2020-01-01,201.0
2020-02-01,163.0
2020-03-01,222.0
2020-04-01,277.0
2020-05-01,624.0
2020-06-01,351.0
2020-07-01,158.0
2020-08-01,168.0
2020-09-01,258.0
2020-10-01,179.0
2020-11-01,487.0
2020-12-01,328.0
2021-01-01,170.0
2021-02-01,251.0
2021-03-01,219.0
2021-04-01,188.0
2021-05-01,680.0
2021-06-01,335.0
2021-07-01,223.0
2021-08-01,203.0
2021-09-01,267.0
2021-10-01,190.0
2021-11-01,529.0
2021-12-01,256.0
2022-01-01,214.0
2022-02-01,145.0
2022-03-01,211.0
2022-04-01,167.0
2022-05-01,570.0
2022-06-01,224.0
2022-07-01,156.0
2022-08-01,137.0
2022-09-01,174.0
2022-10-01,183.0
2022-11-01,615.0
2022-12-01,369.0
2023-01-01,220.0
2023-02-01,179.0
2023-03-01,294.0
2023-04-01,214.0
2023-05-01,901.0
2023-06-01,395.0
2023-07-01,326.0
2023-08-01,292.0
2023-09-01,353.0
2023-10-01,376.0
2023-11-01,915.0
2023-12-01,578.0
2024-01-01,367.0
2024-02-01,310.0
2024-03-01,467.0
2024-04-01,404.0
2024-05-01,907.0
2024-06-01,601.0
2024-07-01,399.0
2024-08-01,332.0
2024-09-01,521.0
2024-10-01,433.0
2024-11-01,833.0
2024-12-01,867.0
2025-01-01,325.0
2025-02-01,341.0
2025-03-01,912.0
2025-04-01,512.0
2025-05-01,781.0
2025-06-01,794.0
2025-07-01,427.0
2025-08-01,360.0
