Tarih,TP_TODEDFAIZ_A2
2015-12-01,845.0
2016-01-01,634.0
2016-02-01,737.0
2016-03-01,1087.0
2016-04-01,958.0
2016-05-01,866.0
2016-06-01,905.0
2016-07-01,678.0
2016-08-01,744.0
2016-09-01,1067.0
2016-10-01,862.0
2016-11-01,710.0
2016-12-01,915.0
2017-01-01,634.0
2017-02-01,727.0
2017-03-01,1179.0
2017-04-01,1139.0
2017-05-01,1009.0
2017-06-01,1043.0
2017-07-01,723.0
2017-08-01,781.0
2017-09-01,1170.0
2017-10-01,1174.0
2017-11-01,1223.0
2017-12-01,1208.0
2018-01-01,683.0
2018-02-01,795.0
2018-03-01,1449.0
2018-04-01,1360.0
2018-05-01,1343.0
2018-06-01,1166.0
2018-07-01,800.0
2018-08-01,967.0
2018-09-01,1264.0
2018-10-01,1370.0
2018-11-01,1553.0
2018-12-01,1149.0
2019-01-01,887.0
2019-02-01,915.0
2019-03-01,1247.0
2019-04-01,1345.0
2019-05-01,1544.0
2019-06-01,1348.0
2019-07-01,880.0
2019-08-01,1189.0
2019-09-01,1384.0
2019-10-01,1319.0
2019-11-01,1303.0
2019-12-01,1311.0
2020-01-01,678.0
2020-02-01,1036.0
2020-03-01,1315.0
2020-04-01,1359.0
2020-05-01,1377.0
2020-06-01,1047.0
2020-07-01,662.0
2020-08-01,979.0
2020-09-01,1327.0
2020-10-01,987.0
2020-11-01,1188.0
2020-12-01,913.0
2021-01-01,638.0
2021-02-01,1188.0
2021-03-01,1394.0
2021-04-01,1301.0
2021-05-01,1265.0
2021-06-01,945.0
2021-07-01,886.0
2021-08-01,976.0
2021-09-01,1316.0
2021-10-01,1083.0
2021-11-01,1228.0
2021-12-01,843.0
2022-01-01,818.0
2022-02-01,985.0
2022-03-01,1311.0
2022-04-01,1074.0
2022-05-01,1180.0
2022-06-01,837.0
2022-07-01,808.0
2022-08-01,939.0
2022-09-01,1273.0
2022-10-01,1032.0
2022-11-01,1274.0
2022-12-01,1011.0
2023-01-01,997.0
2023-02-01,1218.0
2023-03-01,1534.0
2023-04-01,1415.0
2023-05-01,1833.0
2023-06-01,1272.0
2023-07-01,1619.0
2023-08-01,1483.0
2023-09-01,1718.0
2023-10-01,1475.0
2023-11-01,2017.0
2023-12-01,1621.0
2024-01-01,1638.0
2024-02-01,1599.0
2024-03-01,1980.0
2024-04-01,1620.0
2024-05-01,2246.0
2024-06-01,1637.0
2024-07-01,2140.0
2024-08-01,1728.0
2024-09-01,2066.0
2024-10-01,1793.0
2024-11-01,2133.0
2024-12-01,2081.0
2025-01-01,2203.0
2025-02-01,1733.0
2025-03-01,2403.0
2025-04-01,2035.0
2025-05-01,2144.0
2025-06-01,2009.0
2025-07-01,2353.0
2025-08-01,1614.0
