Tarih,TP_KM_G04
2017-11-01,52984849.0
2017-12-01,64999365.0
2018-01-01,51264347.0
2018-02-01,53803509.0
2018-03-01,61945487.0
2018-04-01,56042599.0
2018-05-01,58662665.0
2018-06-01,66400213.0
2018-07-01,58808061.0
2018-08-01,58265894.0
2018-09-01,60490677.0
2018-10-01,51328252.0
2018-11-01,48013267.0
2018-12-01,55412078.0
2019-01-01,54017559.0
2019-02-01,54272797.0
2019-03-01,64607060.0
2019-04-01,52978489.0
2019-05-01,55421426.0
2019-06-01,62774027.0
2019-07-01,56903152.0
2019-08-01,68595954.0
2019-09-01,64637909.0
2019-10-01,65363232.0
2019-11-01,75090979.0
2019-12-01,80286543.0
2020-01-01,77703577.0
2020-02-01,84560921.0
2020-03-01,82130595.0
2020-04-01,125348440.0
2020-05-01,123083882.0
2020-06-01,121312337.0
2020-07-01,120829860.0
2020-08-01,107484316.0
2020-09-01,106966860.0
2020-10-01,111953064.0
2020-11-01,97002696.0
2020-12-01,99764903.0
2021-01-01,101000493.0
2021-02-01,103617144.0
2021-03-01,103767549.0
2021-04-01,102223675.0
2021-05-01,101951402.0
2021-06-01,114022010.0
2021-07-01,121317122.0
2021-08-01,114586531.0
2021-09-01,122941656.0
2021-10-01,144796828.0
2021-11-01,138660339.0
2021-12-01,141371320.0
2022-01-01,141326613.0
2022-02-01,148857754.0
2022-03-01,173756542.0
2022-04-01,205192555.0
2022-05-01,201669037.0
2022-06-01,218863102.0
2022-07-01,260632890.0
2022-08-01,251505099.0
2022-09-01,274128161.0
2022-10-01,305504261.0
2022-11-01,313220195.0
2022-12-01,416960908.0
2023-01-01,352604242.0
2023-02-01,357743041.0
2023-03-01,420487900.0
2023-04-01,477103914.0
2023-05-01,365406106.0
2023-06-01,425880831.0
2023-07-01,424877030.0
2023-08-01,434182078.0
2023-09-01,495424019.0
2023-10-01,448712977.0
2023-11-01,415264082.0
2023-12-01,524792977.0
2024-01-01,429592323.0
2024-02-01,442059446.0
2024-03-01,506536763.0
2024-04-01,438882558.0
2024-05-01,444620076.0
2024-06-01,578676640.0
2024-07-01,498460222.0
2024-08-01,596080275.0
2024-09-01,548530021.0
2024-10-01,547119163.0
2024-11-01,588110579.0
2024-12-01,579714107.0
2025-01-01,551057550.0
2025-02-01,565566015.0
2025-03-01,648702525.0
2025-04-01,600712237.0
2025-05-01,667663006.0
2025-06-01,646683428.0
2025-07-01,646442686.0
2025-08-01,754948730.0
