Tarih,TP_KM_G33
2022-04-01,116686.0
2022-05-01,120278.0
2022-06-01,121789.0
2022-07-01,2992456.0
2022-08-01,2274455.0
2022-09-01,2034283.0
2022-10-01,3533144.0
2022-11-01,4827267.0
2022-12-01,4911951.0
2023-01-01,3638985.0
2023-02-01,538588.0
2023-03-01,445212.0
2023-04-01,31138.0
2023-05-01,30215.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,954141.0
2023-10-01,5532208.0
2023-11-01,11337840.0
2023-12-01,14679845.0
2024-01-01,15486206.0
2024-02-01,15307527.0
2024-03-01,20456316.0
2024-04-01,30759733.0
2024-05-01,30840654.0
2024-06-01,37186403.0
2024-07-01,39571758.0
2024-08-01,38757056.0
2024-09-01,34384971.0
2024-10-01,30787969.0
2024-11-01,39902001.0
2024-12-01,23808324.0
2025-01-01,9861237.0
2025-02-01,8734224.0
2025-03-01,532494.0
2025-04-01,14612829.0
2025-05-01,19177611.0
2025-06-01,26787206.0
2025-07-01,18189225.0
2025-08-01,13425345.0
