Tarih,TP_IYA_INTM2_S05_X
2022-07-01,829.0
2022-08-01,848.0
2022-09-01,829.0
2022-10-01,840.0
2022-11-01,834.0
2022-12-01,829.0
2023-01-01,840.0
2023-02-01,806.0
2023-03-01,828.0
2023-04-01,822.0
2023-05-01,819.0
2023-06-01,839.0
2023-07-01,824.0
2023-08-01,817.0
2023-09-01,818.0
2023-10-01,808.0
2023-11-01,834.0
2023-12-01,828.0
2024-01-01,819.0
2024-02-01,822.0
2024-03-01,821.0
2024-04-01,818.0
2024-05-01,818.0
2024-06-01,802.0
2024-07-01,822.0
2024-08-01,814.0
2024-09-01,815.0
2024-10-01,822.0
2024-11-01,814.0
2024-12-01,816.0
2025-01-01,807.0
2025-02-01,809.0
2025-03-01,812.0
2025-04-01,810.0
2025-05-01,879.0
2025-06-01,863.0
2025-07-01,864.0
2025-08-01,866.0
2025-09-01,854.0
