Tarih,TP_TOP_V02
2017-11-01,361989495.0
2017-12-01,374727983.0
2018-01-01,362804001.0
2018-02-01,380759999.0
2018-03-01,381435987.0
2018-04-01,406492222.0
2018-05-01,429345300.0
2018-06-01,440549046.0
2018-07-01,441925828.0
2018-08-01,523586225.0
2018-09-01,492362466.0
2018-10-01,463347338.0
2018-11-01,444483913.0
2018-12-01,467829374.0
2019-01-01,461334438.0
2019-02-01,486917175.0
2019-03-01,533529253.0
2019-04-01,525094658.0
2019-05-01,547873471.0
2019-06-01,554388966.0
2019-07-01,545608983.0
2019-08-01,572812955.0
2019-09-01,587643967.0
2019-10-01,595027258.0
2019-11-01,606710477.0
2019-12-01,650273552.0
2020-01-01,670109286.0
2020-02-01,723817373.0
2020-03-01,774733422.0
2020-04-01,893181236.0
2020-05-01,929371692.0
2020-06-01,988087439.0
2020-07-01,1059928389.0
2020-08-01,1105344774.0
2020-09-01,1143423192.0
2020-10-01,1198176347.0
2020-11-01,1158242416.0
2020-12-01,1145766283.0
2021-01-01,1126045783.0
2021-02-01,1145084755.0
2021-03-01,1189573344.0
2021-04-01,1208490240.0
2021-05-01,1278608510.0
2021-06-01,1303222283.0
2021-07-01,1343153212.0
2021-08-01,1327665978.0
2021-09-01,1402904696.0
2021-10-01,1498492336.0
2021-11-01,1927617408.0
2021-12-01,2080568262.0
2022-01-01,2107240107.0
2022-02-01,2109283861.0
2022-03-01,2262942049.0
2022-04-01,2337508564.0
2022-05-01,2545246329.0
2022-06-01,2590031802.0
2022-07-01,2797675149.0
2022-08-01,2813871527.0
2022-09-01,2922855578.0
2022-10-01,3018415585.0
2022-11-01,3065395549.0
2022-12-01,3231753494.0
2023-01-01,3357436725.0
2023-02-01,3446393337.0
2023-03-01,3645247903.0
2023-04-01,3882037550.0
2023-05-01,3753697226.0
2023-06-01,4358268019.0
2023-07-01,4725035057.0
2023-08-01,4832574653.0
2023-09-01,4736473967.0
2023-10-01,4885658740.0
2023-11-01,4901082079.0
2023-12-01,5071261613.0
2024-01-01,5225857388.0
2024-02-01,5478316608.0
2024-03-01,5857562397.0
2024-04-01,5735537756.0
2024-05-01,5602537164.0
2024-06-01,5811371467.0
2024-07-01,5845130365.0
2024-08-01,6188224937.0
2024-09-01,6466486346.0
2024-10-01,6385703096.0
2024-11-01,6282883175.0
2024-12-01,6529408730.0
2025-01-01,6538645099.0
2025-02-01,6914717528.0
2025-03-01,7498505089.0
2025-04-01,7799906984.0
2025-05-01,7833774562.0
2025-06-01,8328512945.0
2025-07-01,8295764954.0
2025-08-01,8480347439.0
