Tarih,TP_TOP_V29
2017-11-01,84468495.0
2017-12-01,84871931.0
2018-01-01,85181536.0
2018-02-01,85295359.0
2018-03-01,85707499.0
2018-04-01,86252158.0
2018-05-01,89351442.0
2018-06-01,94166323.0
2018-07-01,94338541.0
2018-08-01,94516241.0
2018-09-01,94649869.0
2018-10-01,94780510.0
2018-11-01,95895429.0
2018-12-01,96190513.0
2019-01-01,96324508.0
2019-02-01,97641997.0
2019-03-01,98797786.0
2019-04-01,99411915.0
2019-05-01,99574569.0
2019-06-01,100841218.0
2019-07-01,100963810.0
2019-08-01,101890561.0
2019-09-01,102035051.0
2019-10-01,102173876.0
2019-11-01,102297618.0
2019-12-01,102525633.0
2020-01-01,103132184.0
2020-02-01,107861044.0
2020-03-01,109282166.0
2020-04-01,109410761.0
2020-05-01,119138564.0
2020-06-01,119659796.0
2020-07-01,120326499.0
2020-08-01,120476842.0
2020-09-01,120678835.0
2020-10-01,120876357.0
2020-11-01,121044384.0
2020-12-01,125088621.0
2021-01-01,125299324.0
2021-02-01,127989310.0
2021-03-01,129351369.0
2021-04-01,129662974.0
2021-05-01,129846168.0
2021-06-01,130047617.0
2021-07-01,130246864.0
2021-08-01,130634430.0
2021-09-01,130889795.0
2021-10-01,131164487.0
2021-11-01,131395830.0
2021-12-01,134118602.0
2022-01-01,134436662.0
2022-02-01,141959661.0
2022-03-01,175458779.0
2022-04-01,178122122.0
2022-05-01,180345091.0
2022-06-01,180854811.0
2022-07-01,181396058.0
2022-08-01,181777416.0
2022-09-01,182297811.0
2022-10-01,182839154.0
2022-11-01,183261243.0
2022-12-01,184347665.0
2023-01-01,185317076.0
2023-02-01,186833032.0
2023-03-01,247080409.0
2023-04-01,252233929.0
2023-05-01,252748921.0
2023-06-01,255187661.0
2023-07-01,262852832.0
2023-08-01,263646871.0
2023-09-01,264776420.0
2023-10-01,267853620.0
2023-11-01,270774627.0
2023-12-01,275418757.0
2024-01-01,292338048.0
2024-02-01,299672838.0
2024-03-01,312669525.0
2024-04-01,316645898.0
2024-05-01,335413366.0
2024-06-01,339579978.0
2024-07-01,344678330.0
2024-08-01,347346262.0
2024-09-01,349747395.0
2024-10-01,371599311.0
2024-11-01,373979738.0
2024-12-01,387250447.0
2025-01-01,389814053.0
2025-02-01,393725981.0
2025-03-01,395383863.0
2025-04-01,406279479.0
2025-05-01,437608806.0
2025-06-01,448526795.0
2025-07-01,450895639.0
2025-08-01,458194203.0
