Tarih,TP_TOP_T14Y
2000-01-01,12905863.0
2000-02-01,13496806.0
2000-03-01,13168783.0
2000-04-01,14305890.0
2000-05-01,14039818.0
2000-06-01,14313445.0
2000-07-01,13634610.0
2000-08-01,14367452.0
2000-09-01,14416256.0
2000-10-01,14110145.0
2000-11-01,13623244.0
2000-12-01,17094213.0
2001-01-01,22947862.0
2001-02-01,21447358.0
2001-03-01,24387339.0
2001-04-01,33747978.0
2001-05-01,46137265.0
2001-06-01,48250875.0
2001-07-01,48492720.0
2001-08-01,52390173.0
2001-09-01,56689187.0
2001-10-01,60022511.0
2001-11-01,58093309.0
2001-12-01,58399700.0
2002-01-01,58887321.0
2002-02-01,67123365.0
2002-03-01,67502614.0
2002-04-01,68265179.0
2002-05-01,69771548.0
2002-06-01,74509710.0
2002-07-01,76474233.0
2002-08-01,77854973.0
2002-09-01,78391275.0
2002-10-01,81301686.0
2002-11-01,79443157.0
2002-12-01,83419699.0
2003-01-01,85709649.0
2003-02-01,86211622.0
2003-03-01,87457139.0
2003-04-01,86610376.0
2003-05-01,86566909.0
2003-06-01,89024187.0
2003-07-01,90270067.0
2003-08-01,90121893.0
2003-09-01,91664616.0
2003-10-01,96024505.0
2003-11-01,98797107.0
2003-12-01,101015765.0
2004-01-01,107456079.0
2004-02-01,106992732.0
2004-03-01,106921098.0
2004-04-01,109032577.0
2004-05-01,110637423.0
2004-06-01,106706619.0
2004-07-01,106201794.0
2004-08-01,109612187.0
2004-09-01,112469790.0
2004-10-01,118001705.0
2004-11-01,119594792.0
2004-12-01,115796868.0
2005-01-01,116911343.0
2005-02-01,117456161.0
2005-03-01,120746103.0
2005-04-01,124402610.0
2005-05-01,123253954.0
2005-06-01,123112263.0
2005-07-01,123481283.0
2005-08-01,129146194.0
2005-09-01,133764004.0
2005-10-01,133878758.0
2005-11-01,133878003.0
2005-12-01,132410709.0
2006-01-01,131938263.0
2006-02-01,135122148.0
2006-03-01,136504851.0
2006-04-01,138218014.0
2006-05-01,147233780.0
2006-06-01,144971575.0
2006-07-01,142403419.0
2006-08-01,141033631.0
2006-09-01,143539129.0
2006-10-01,140658634.0
2006-11-01,143317365.0
2006-12-01,143364142.0
2007-01-01,144898054.0
2007-02-01,148292872.0
2007-03-01,151387374.0
2007-04-01,147386698.0
2007-05-01,146275809.0
2007-06-01,149786023.0
2007-07-01,148853617.0
2007-08-01,154191950.0
2007-09-01,152475394.0
2007-10-01,150527311.0
2007-11-01,152395060.0
2007-12-01,150781179.0
2008-01-01,152389970.0
2008-02-01,153733007.0
2008-03-01,161610615.0
2008-04-01,163115194.0
2008-05-01,154915415.0
2008-06-01,155327367.0
2008-07-01,155760570.0
2008-08-01,156096587.0
2008-09-01,159947266.0
2008-10-01,169498202.0
2008-11-01,175203077.0
2008-12-01,175207887.0
2009-01-01,180915329.0
2009-02-01,191225929.0
2009-03-01,192775535.0
2009-04-01,195567988.0
2009-05-01,200785050.0
2009-06-01,202307558.0
2009-07-01,206504044.0
2009-08-01,216031554.0
2009-09-01,221130536.0
2009-10-01,230634442.0
2009-11-01,234657133.0
2009-12-01,240022128.0
2010-01-01,244566441.0
2010-02-01,251012520.0
2010-03-01,251423344.0
2010-04-01,248512268.0
2010-05-01,249407719.0
2010-06-01,251224918.0
2010-07-01,248513151.0
2010-08-01,247405998.0
2010-09-01,249447859.0
2010-10-01,248039520.0
2010-11-01,254949304.0
2010-12-01,259109059.0
2011-01-01,254859458.0
2011-02-01,254788366.0
2011-03-01,250644918.0
2011-04-01,247902276.0
2011-05-01,249718315.0
2011-06-01,246858263.0
2011-07-01,246171062.0
2011-08-01,251223869.0
2011-09-01,254446026.0
2011-10-01,250397004.0
2011-11-01,249278327.0
2011-12-01,244651191.0
2012-01-01,247222535.0
2012-02-01,250725278.0
2012-03-01,246360042.0
2012-04-01,246049475.0
2012-05-01,246767662.0
2012-06-01,246559982.0
2012-07-01,239276084.0
2012-08-01,240653926.0
2012-09-01,239703544.0
2012-10-01,237868347.0
2012-11-01,234836975.0
2012-12-01,231100824.0
2013-01-01,231452031.0
2013-02-01,233416930.0
2013-03-01,232092034.0
2013-04-01,226866364.0
2013-05-01,230056619.0
2013-06-01,229347474.0
2013-07-01,236059728.0
2013-08-01,234531716.0
2013-09-01,237774216.0
2013-10-01,237554811.0
2013-11-01,237966223.0
2013-12-01,240142309.0
2014-01-01,241814271.0
2014-02-01,243287623.0
2014-03-01,249228054.0
2014-04-01,249208651.0
2014-05-01,247319929.0
2014-06-01,239963195.0
2014-07-01,237239199.0
2014-08-01,239182653.0
2014-09-01,243039884.0
2014-10-01,242914723.0
2014-11-01,243356840.0
2014-12-01,244531514.0
2015-01-01,249395361.0
2015-02-01,251545474.0
2015-03-01,254728047.0
2015-04-01,257069092.0
2015-05-01,263523763.0
2015-06-01,264016244.0
2015-07-01,266636573.0
2015-08-01,269521492.0
2015-09-01,271490640.0
2015-10-01,276189568.0
2015-11-01,278808781.0
2015-12-01,279789889.0
2016-01-01,285593438.0
2016-02-01,286450747.0
2016-03-01,284954843.0
2016-04-01,280271167.0
2016-05-01,282554080.0
2016-06-01,282519934.0
2016-07-01,283352748.0
2016-08-01,281085665.0
2016-09-01,283230411.0
2016-10-01,287492483.0
2016-11-01,297687765.0
2016-12-01,299998004.0
2017-01-01,309984366.0
2017-02-01,306637051.0
2017-03-01,311457535.0
2017-04-01,309712393.0
2017-05-01,309822373.0
2017-06-01,313004408.0
2017-07-01,312831087.0
2017-08-01,312996530.0
2017-09-01,317908267.0
2017-10-01,326444561.0
2017-11-01,332928778.0
2017-12-01,342730295.0
2018-01-01,344135049.0
2018-02-01,347418773.0
2018-03-01,353381640.0
2018-04-01,353507823.0
2018-05-01,362624658.0
2018-06-01,374812778.0
2018-07-01,389476221.0
2018-08-01,410728125.0
2018-09-01,430033719.0
2018-10-01,420098205.0
2018-11-01,417563078.0
2018-12-01,433286836.0
2019-01-01,449373420.0
2019-02-01,463330947.0
2019-03-01,478781843.0
2019-04-01,516970458.0
2019-05-01,528274053.0
2019-06-01,541982108.0
2019-07-01,541994717.0
2019-08-01,557370285.0
2019-09-01,561889227.0
2019-10-01,574372848.0
2019-11-01,583693440.0
2019-12-01,614189999.0
2020-01-01,628670412.0
2020-02-01,666055586.0
2020-03-01,708778019.0
2020-04-01,792115145.0
2020-05-01,858508017.0
2020-06-01,849671617.0
2020-07-01,907397318.0
2020-08-01,975574633.0
2020-09-01,988442917.0
2020-10-01,1003757143.0
2020-11-01,982613185.0
2020-12-01,965277871.0
2021-01-01,959946821.0
2021-02-01,982590182.0
2021-03-01,1015888271.0
2021-04-01,1035944939.0
2021-05-01,1060213091.0
2021-06-01,1073187903.0
2021-07-01,1079417885.0
2021-08-01,1089874234.0
2021-09-01,1124957547.0
2021-10-01,1173148520.0
2021-11-01,1356242427.0
2021-12-01,1388904382.0
2022-01-01,1430850457.0
2022-02-01,1479997812.0
2022-03-01,1611384369.0
2022-04-01,1636349932.0
2022-05-01,1727359919.0
2022-06-01,1777441943.0
2022-07-01,1903417224.0
2022-08-01,1939034262.0
2022-09-01,1993284320.0
2022-10-01,2078022092.0
2022-11-01,2159005448.0
2022-12-01,2234667510.0
2023-01-01,2334215778.0
2023-02-01,2394183973.0
2023-03-01,2597293118.0
2023-04-01,2636434733.0
2023-05-01,2695273119.0
2023-06-01,2998011181.0
2023-07-01,3135563051.0
2023-08-01,3219520929.0
2023-09-01,3300573831.0
2023-10-01,3426083349.0
2023-11-01,3521769504.0
2023-12-01,3669729882.0
2024-01-01,3816054839.0
2024-02-01,3945234145.0
2024-03-01,4103044196.0
2024-04-01,4023191471.0
2024-05-01,3989365217.0
2024-06-01,4109838242.0
2024-07-01,4229988091.0
2024-08-01,4345114861.0
2024-09-01,4425367341.0
2024-10-01,4529799254.0
2024-11-01,4589831457.0
2024-12-01,4738444267.0
2025-01-01,4831361929.0
2025-02-01,4933541173.0
2025-03-01,5252567580.0
2025-04-01,5615543363.0
2025-05-01,5687845779.0
2025-06-01,5854011721.0
2025-07-01,6055173769.0
2025-08-01,6268746137.0
