Tarih,TP_TOP_T36
2000-01-01,11664143.0
2000-02-01,10377064.0
2000-03-01,11462624.0
2000-04-01,11721748.0
2000-05-01,12095607.0
2000-06-01,12321689.0
2000-07-01,12594477.0
2000-08-01,12874026.0
2000-09-01,13008911.0
2000-10-01,13227345.0
2000-11-01,13593461.0
2000-12-01,16836100.0
2001-01-01,12664047.0
2001-02-01,14523482.0
2001-03-01,13288829.0
2001-04-01,6649310.0
2001-05-01,2344503.0
2001-06-01,2223421.0
2001-07-01,3973448.0
2001-08-01,2714008.0
2001-09-01,1817703.0
2001-10-01,2535093.0
2001-11-01,2130755.0
2001-12-01,2856936.0
2002-01-01,2326581.0
2002-02-01,2219809.0
2002-03-01,2339902.0
2002-04-01,2670214.0
2002-05-01,2831398.0
2002-06-01,3389375.0
2002-07-01,3657990.0
2002-08-01,4080808.0
2002-09-01,3843975.0
2002-10-01,3620515.0
2002-11-01,3338821.0
2002-12-01,2553353.0
2003-01-01,2569325.0
2003-02-01,3850468.0
2003-03-01,2719691.0
2003-04-01,2653690.0
2003-05-01,2732257.0
2003-06-01,2109652.0
2003-07-01,2231519.0
2003-08-01,2234821.0
2003-09-01,2141845.0
2003-10-01,2194982.0
2003-11-01,2651642.0
2003-12-01,2109648.0
2004-01-01,1985873.0
2004-02-01,1724724.0
2004-03-01,2707021.0
2004-04-01,2075212.0
2004-05-01,1829541.0
2004-06-01,1646007.0
2004-07-01,1634267.0
2004-08-01,1635652.0
2004-09-01,1561667.0
2004-10-01,1742361.0
2004-11-01,2077669.0
2004-12-01,1417363.0
2005-01-01,1577675.0
2005-02-01,1915390.0
2005-03-01,1607768.0
2005-04-01,1517558.0
2005-05-01,1524010.0
2005-06-01,1520939.0
2005-07-01,1549817.0
2005-08-01,1584482.0
2005-09-01,1440387.0
2005-10-01,2344413.0
2005-11-01,2273825.0
2005-12-01,2081710.0
2006-01-01,2416620.0
2006-02-01,2751151.0
2006-03-01,2434307.0
2006-04-01,2432741.0
2006-05-01,2109740.0
2006-06-01,2357212.0
2006-07-01,2651603.0
2006-08-01,2717912.0
2006-09-01,2093878.0
2006-10-01,2303027.0
2006-11-01,2670361.0
2006-12-01,2245340.0
2007-01-01,2583421.0
2007-02-01,3089120.0
2007-03-01,2760702.0
2007-04-01,3420087.0
2007-05-01,3208013.0
2007-06-01,3229339.0
2007-07-01,4356758.0
2007-08-01,5720961.0
2007-09-01,3467379.0
2007-10-01,4420237.0
2007-11-01,5442763.0
2007-12-01,5210702.0
