Tarih,TP_TOP_T22
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,13667.0
2002-11-01,7328.0
2002-12-01,127795.0
2003-01-01,130587.0
2003-02-01,124582.0
2003-03-01,132189.0
2003-04-01,130470.0
2003-05-01,128047.0
2003-06-01,129210.0
2003-07-01,135735.0
2003-08-01,131404.0
2003-09-01,131889.0
2003-10-01,144964.0
2003-11-01,153029.0
2003-12-01,166026.0
2004-01-01,165027.0
2004-02-01,160516.0
2004-03-01,157806.0
2004-04-01,181503.0
2004-05-01,200076.0
2004-06-01,202375.0
2004-07-01,203713.0
2004-08-01,217413.0
2004-09-01,221850.0
2004-10-01,233946.0
2004-11-01,236857.0
2004-12-01,238683.0
2005-01-01,241205.0
2005-02-01,233807.0
2005-03-01,250046.0
2005-04-01,264829.0
2005-05-01,251080.0
2005-06-01,259857.0
2005-07-01,269601.0
2005-08-01,288246.0
2005-09-01,283778.0
2005-10-01,288211.0
2005-11-01,292151.0
2005-12-01,1116568.0
2006-01-01,1110254.0
2006-02-01,1084690.0
2006-03-01,1124908.0
2006-04-01,1128402.0
2006-05-01,1301658.0
2006-06-01,1316760.0
2006-07-01,1231669.0
2006-08-01,1198326.0
2006-09-01,1186967.0
2006-10-01,1143524.0
2006-11-01,1159335.0
2006-12-01,1132649.0
2007-01-01,1112300.0
2007-02-01,1100814.0
2007-03-01,1073195.0
2007-04-01,1076781.0
2007-05-01,1067327.0
2007-06-01,1074714.0
2007-07-01,1084255.0
2007-08-01,1098932.0
2007-09-01,1044795.0
2007-10-01,1016879.0
2007-11-01,1081094.0
2007-12-01,1092101.0
2008-01-01,1074865.0
2008-02-01,1072582.0
2008-03-01,1121003.0
2008-04-01,1074170.0
2008-05-01,986253.0
2008-06-01,941711.0
2008-07-01,876906.0
2008-08-01,808651.0
2008-09-01,792950.0
2008-10-01,834956.0
2008-11-01,823028.0
2008-12-01,810881.0
2009-01-01,775847.0
2009-02-01,772940.0
2009-03-01,747775.0
2009-04-01,686757.0
2009-05-01,658614.0
2009-06-01,624316.0
2009-07-01,588037.0
2009-08-01,581543.0
2009-09-01,550883.0
2009-10-01,533725.0
2009-11-01,520268.0
2009-12-01,477498.0
2010-01-01,451054.0
2010-02-01,444034.0
2010-03-01,404155.0
2010-04-01,376179.0
2010-05-01,365174.0
2010-06-01,369182.0
2010-07-01,365162.0
2010-08-01,359680.0
2010-09-01,347954.0
2010-10-01,341697.0
2010-11-01,331575.0
2010-12-01,322719.0
2011-01-01,330024.0
2011-02-01,332520.0
2011-03-01,314779.0
2011-04-01,319078.0
2011-05-01,315587.0
2011-06-01,326166.0
2011-07-01,381137.0
2011-08-01,409270.0
2011-09-01,425833.0
2011-10-01,459474.0
2011-11-01,492754.0
2011-12-01,541849.0
2012-01-01,549399.0
2012-02-01,561740.0
2012-03-01,592825.0
2012-04-01,607141.0
2012-05-01,637232.0
2012-06-01,637406.0
2012-07-01,650377.0
2012-08-01,673579.0
2012-09-01,700519.0
2012-10-01,749062.0
2012-11-01,777072.0
2012-12-01,845811.0
2013-01-01,898862.0
2013-02-01,969543.0
2013-03-01,1021915.0
2013-04-01,1093158.0
2013-05-01,1221010.0
2013-06-01,1345425.0
2013-07-01,1472597.0
2013-08-01,1719360.0
2013-09-01,1736172.0
2013-10-01,1750192.0
2013-11-01,1802230.0
2013-12-01,1929108.0
2014-01-01,2032719.0
2014-02-01,1999153.0
2014-03-01,2048842.0
2014-04-01,2123494.0
2014-05-01,2148607.0
2014-06-01,2238376.0
2014-07-01,2413007.0
2014-08-01,2499973.0
2014-09-01,2685423.0
2014-10-01,2710944.0
2014-11-01,2773732.0
2014-12-01,3052642.0
2015-01-01,3114496.0
2015-02-01,3241701.0
2015-03-01,3372404.0
2015-04-01,3554891.0
2015-05-01,3602892.0
2015-06-01,3704547.0
2015-07-01,3823456.0
2015-08-01,4033425.0
2015-09-01,4148642.0
2015-10-01,3962928.0
2015-11-01,3939755.0
2015-12-01,3957766.0
2016-01-01,4006831.0
2016-02-01,3966967.0
2016-03-01,3939304.0
2016-04-01,3902260.0
2016-05-01,4009275.0
2016-06-01,3990723.0
2016-07-01,3939956.0
2016-08-01,3898689.0
2016-09-01,3887348.0
2016-10-01,3922687.0
2016-11-01,4105698.0
2016-12-01,4143252.0
2017-01-01,4373318.0
2017-02-01,4138419.0
2017-03-01,4216914.0
2017-04-01,4118266.0
2017-05-01,4135357.0
2017-06-01,4130038.0
2017-07-01,4167441.0
2017-08-01,4189749.0
