Tarih,TP_TOP_T02
2000-01-01,358242.0
2000-02-01,344495.0
2000-03-01,340665.0
2000-04-01,330748.0
2000-05-01,378610.0
2000-06-01,383014.0
2000-07-01,410698.0
2000-08-01,431513.0
2000-09-01,374637.0
2000-10-01,419304.0
2000-11-01,414792.0
2000-12-01,401636.0
2001-01-01,381010.0
2001-02-01,672456.0
2001-03-01,570425.0
2001-04-01,649231.0
2001-05-01,588237.0
2001-06-01,696694.0
2001-07-01,835318.0
2001-08-01,803185.0
2001-09-01,821572.0
2001-10-01,950456.0
2001-11-01,853334.0
2001-12-01,1564377.0
2002-01-01,650049.0
2002-02-01,722392.0
2002-03-01,596710.0
2002-04-01,672294.0
2002-05-01,697760.0
2002-06-01,869605.0
2002-07-01,972281.0
2002-08-01,788058.0
2002-09-01,953444.0
2002-10-01,850448.0
2002-11-01,743922.0
2002-12-01,1035797.0
2003-01-01,775402.0
2003-02-01,740371.0
2003-03-01,1117677.0
2003-04-01,993098.0
2003-05-01,849313.0
2003-06-01,934279.0
2003-07-01,829536.0
2003-08-01,848688.0
2003-09-01,952875.0
2003-10-01,828943.0
2003-11-01,723703.0
2003-12-01,997054.0
2004-01-01,807296.0
2004-02-01,662584.0
2004-03-01,699062.0
2004-04-01,783068.0
2004-05-01,889592.0
2004-06-01,981600.0
2004-07-01,915423.0
2004-08-01,1115197.0
2004-09-01,954359.0
2004-10-01,858289.0
2004-11-01,959983.0
2004-12-01,1095748.0
2005-01-01,885494.0
2005-02-01,806425.0
2005-03-01,809956.0
2005-04-01,875957.0
2005-05-01,857242.0
2005-06-01,933601.0
2005-07-01,939083.0
2005-08-01,1074708.0
2005-09-01,992413.0
2005-10-01,1003080.0
2005-11-01,914391.0
2005-12-01,1193059.0
2006-01-01,1083290.0
2006-02-01,992071.0
2006-03-01,1062928.0
2006-04-01,986228.0
2006-05-01,1440913.0
2006-06-01,1259715.0
2006-07-01,1354171.0
2006-08-01,1349780.0
2006-09-01,1256685.0
2006-10-01,1186447.0
2006-11-01,1232583.0
2006-12-01,1471812.0
2007-01-01,1125184.0
2007-02-01,1284374.0
2007-03-01,1131994.0
2007-04-01,1193715.0
2007-05-01,1128435.0
2007-06-01,1205411.0
2007-07-01,1564984.0
2007-08-01,1473013.0
2007-09-01,1174822.0
2007-10-01,1198516.0
2007-11-01,1104522.0
2007-12-01,1601803.0
2008-01-01,1166507.0
2008-02-01,1209777.0
2008-03-01,1605952.0
2008-04-01,1251010.0
2008-05-01,1156873.0
2008-06-01,1651621.0
2008-07-01,1452552.0
2008-08-01,1363447.0
2008-09-01,1627501.0
2008-10-01,2138224.0
2008-11-01,1630058.0
2008-12-01,2320865.0
2009-01-01,1498124.0
2009-02-01,1646975.0
2009-03-01,1763050.0
2009-04-01,1460152.0
2009-05-01,1604904.0
2009-06-01,1750862.0
2009-07-01,1775846.0
2009-08-01,1817217.0
2009-09-01,1769148.0
2009-10-01,1792746.0
2009-11-01,1778229.0
2009-12-01,2067509.0
2010-01-01,1405897.0
2010-02-01,1575528.0
2010-03-01,1640413.0
2010-04-01,1576236.0
2010-05-01,1848930.0
2010-06-01,2107536.0
2010-07-01,2036488.0
2010-08-01,2106868.0
2010-09-01,1976487.0
2010-10-01,1751564.0
2010-11-01,2083228.0
2010-12-01,2549931.0
2011-01-01,2180176.0
2011-02-01,2186710.0
2011-03-01,2050696.0
2011-04-01,2173186.0
2011-05-01,2538108.0
2011-06-01,2742719.0
2011-07-01,2709915.0
2011-08-01,2792155.0
