Tarih,TP_TOP_T08
2000-01-01,394548.0
2000-02-01,668808.0
2000-03-01,761408.0
2000-04-01,571929.0
2000-05-01,560648.0
2000-06-01,848471.0
2000-07-01,757078.0
2000-08-01,597519.0
2000-09-01,612954.0
2000-10-01,779098.0
2000-11-01,407658.0
2000-12-01,890028.0
2001-01-01,815327.0
2001-02-01,840261.0
2001-03-01,1033907.0
2001-04-01,1176078.0
2001-05-01,894239.0
2001-06-01,953889.0
2001-07-01,804721.0
2001-08-01,763016.0
2001-09-01,1031178.0
2001-10-01,1012474.0
2001-11-01,802549.0
2001-12-01,772227.0
2002-01-01,1321897.0
2002-02-01,1031887.0
2002-03-01,916617.0
2002-04-01,1183291.0
2002-05-01,1194539.0
2002-06-01,833873.0
2002-07-01,826212.0
2002-08-01,870020.0
2002-09-01,1149264.0
2002-10-01,1231872.0
2002-11-01,1356364.0
2002-12-01,683297.0
2003-01-01,1371093.0
2003-02-01,1228551.0
2003-03-01,1385469.0
2003-04-01,1114327.0
2003-05-01,1150821.0
2003-06-01,1195638.0
2003-07-01,910063.0
2003-08-01,1051603.0
2003-09-01,1161278.0
2003-10-01,1430138.0
2003-11-01,1621973.0
2003-12-01,1713493.0
2004-01-01,1960334.0
2004-02-01,2406754.0
2004-03-01,2377566.0
2004-04-01,2189989.0
2004-05-01,2465663.0
2004-06-01,2983246.0
2004-07-01,2396237.0
2004-08-01,2447566.0
2004-09-01,3559461.0
2004-10-01,2552415.0
2004-11-01,2615581.0
2004-12-01,4033683.0
2005-01-01,3405005.0
2005-02-01,3716410.0
2005-03-01,3334963.0
2005-04-01,3119965.0
2005-05-01,3303312.0
2005-06-01,4303204.0
2005-07-01,3718392.0
2005-08-01,3705988.0
2005-09-01,6577900.0
2005-10-01,4732213.0
2005-11-01,4086945.0
2005-12-01,12158196.0
2006-01-01,8205232.0
2006-02-01,8453807.0
2006-03-01,9560137.0
2006-04-01,10950714.0
2006-05-01,9159119.0
2006-06-01,12212336.0
2006-07-01,9864102.0
2006-08-01,9763170.0
2006-09-01,11108930.0
2006-10-01,11393982.0
2006-11-01,10260452.0
2006-12-01,15722239.0
2007-01-01,13762515.0
2007-02-01,17630884.0
2007-03-01,15426059.0
2007-04-01,15784027.0
2007-05-01,13413517.0
2007-06-01,17369061.0
2007-07-01,15732189.0
2007-08-01,15375578.0
2007-09-01,15359552.0
2007-10-01,13833133.0
2007-11-01,16005242.0
2007-12-01,19900863.0
2008-01-01,18088036.0
2008-02-01,18138156.0
