Tarih,TP_TOP_V06
2022-04-01,24950233.0
2022-05-01,24960101.0
2022-06-01,24959688.0
2022-07-01,24964151.0
2022-08-01,24962008.0
2022-09-01,25051754.0
2022-10-01,25147584.0
2022-11-01,34239556.0
2022-12-01,34249567.0
2023-01-01,34255224.0
2023-02-01,41015354.0
2023-03-01,41040161.0
2023-04-01,55237925.0
2023-05-01,55252106.0
2023-06-01,55359953.0
2023-07-01,55164503.0
2023-08-01,55157761.0
2023-09-01,55159058.0
2023-10-01,59782450.0
2023-11-01,40385530.0
2023-12-01,40351718.0
2024-01-01,40483391.0
2024-02-01,40733335.0
2024-03-01,40938513.0
2024-04-01,40884790.0
2024-05-01,40844211.0
2024-06-01,40953789.0
2024-07-01,41117436.0
2024-08-01,41332132.0
2024-09-01,41360367.0
2024-10-01,41354057.0
2024-11-01,6053857.0
2024-12-01,6502518.0
2025-01-01,60266453.0
2025-02-01,61384243.0
2025-03-01,64135351.0
2025-04-01,65330113.0
2025-05-01,66633319.0
2025-06-01,67627239.0
2025-07-01,68906545.0
2025-08-01,69873362.0
