Tarih,TP_TEDAVULTUT_T200
2014-07-01,21491843700.0
2014-08-01,21859373000.0
2014-09-01,22992508100.0
2014-10-01,22079691000.0
2014-11-01,21115753900.0
2014-12-01,22455698600.0
2015-01-01,24177848700.0
2015-02-01,25540618700.0
2015-03-01,26216306500.0
2015-04-01,27244514000.0
2015-05-01,26725536200.0
2015-06-01,27111139300.0
2015-07-01,27137341000.0
2015-08-01,29281185600.0
2015-09-01,31167767200.0
2015-10-01,29951825200.0
2015-11-01,29404334600.0
2015-12-01,28742042200.0
2016-01-01,28813916800.0
2016-02-01,30126941900.0
2016-03-01,28590954000.0
2016-04-01,28158236300.0
2016-05-01,30397610300.0
2016-06-01,31691428400.0
2016-07-01,33588242300.0
2016-08-01,33219794500.0
2016-09-01,33295534400.0
2016-10-01,32770465900.0
2016-11-01,33021889900.0
2016-12-01,33345120200.0
2017-01-01,33280659200.0
2017-02-01,32439192100.0
2017-03-01,32567558600.0
2017-04-01,32794139100.0
2017-05-01,31506727800.0
2017-06-01,31552505100.0
2017-07-01,31654602200.0
2017-08-01,33641980500.0
2017-09-01,32368443100.0
2017-10-01,34425523500.0
2017-11-01,34822105400.0
2017-12-01,33910866800.0
2018-01-01,32002433800.0
2018-02-01,31902295300.0
2018-03-01,33978678800.0
2018-04-01,34091315200.0
2018-05-01,34692565700.0
2018-06-01,36039338300.0
2018-07-01,37603617400.0
2018-08-01,45531991800.0
2018-09-01,42164755700.0
2018-10-01,40459679600.0
2018-11-01,38322738100.0
2018-12-01,37451975900.0
2019-01-01,34791180800.0
2019-02-01,35212335900.0
2019-03-01,35652688000.0
2019-04-01,37216897400.0
2019-05-01,41306161300.0
2019-06-01,38596431500.0
2019-07-01,40112795200.0
2019-08-01,44804783000.0
2019-09-01,44632257100.0
2019-10-01,45904448200.0
2019-11-01,46449502300.0
2019-12-01,48398537100.0
2020-01-01,49507012400.0
2020-02-01,51428595700.0
2020-03-01,57076752200.0
2020-04-01,69374037800.0
2020-05-01,71391016900.0
2020-06-01,70801138100.0
2020-07-01,78213613000.0
2020-08-01,70738232800.0
2020-09-01,69895132800.0
2020-10-01,71404718300.0
2020-11-01,64637812800.0
2020-12-01,63020435100.0
2021-01-01,61305537000.0
2021-02-01,60714626900.0
2021-03-01,66470168500.0
2021-04-01,70609382400.0
2021-05-01,74615993700.0
2021-06-01,76034647700.0
2021-07-01,78728456500.0
2021-08-01,76558383400.0
2021-09-01,80992708100.0
2021-10-01,89618298900.0
2021-11-01,97313476700.0
2021-12-01,94916136700.0
2022-01-01,96219277800.0
2022-02-01,99453016800.0
2022-03-01,107397780000.0
2022-04-01,127703313400.0
2022-05-01,121427901700.0
2022-06-01,135829329800.0
2022-07-01,151966662100.0
2022-08-01,160650568900.0
2022-09-01,168247888500.0
2022-10-01,176825145200.0
2022-11-01,183079232800.0
2022-12-01,193395600400.0
2023-01-01,194342160500.0
2023-02-01,200851575000.0
2023-03-01,215453979800.0
2023-04-01,239918996500.0
2023-05-01,235966612700.0
2023-06-01,319760515800.0
2023-07-01,276812117600.0
2023-08-01,285969125300.0
2023-09-01,300211438800.0
2023-10-01,300592935600.0
2023-11-01,308354929800.0
2023-12-01,312277418000.0
2024-01-01,305367525000.0
2024-02-01,326623328100.0
2024-03-01,352559099300.0
2024-04-01,380006109800.0
2024-05-01,428383199100.0
2024-06-01,471548715100.0
2024-07-01,485947673400.0
2024-08-01,522991270100.0
2024-09-01,524633788700.0
2024-10-01,533905429300.0
2024-11-01,527142970800.0
2024-12-01,524411266000.0
2025-01-01,541578991100.0
2025-02-01,575123348900.0
2025-03-01,703212308700.0
2025-04-01,649547068100.0
2025-05-01,706776634500.0
2025-06-01,687522185200.0
2025-07-01,700039810600.0
2025-08-01,729630154700.0
2025-09-01,738706506900.0
