Tarih,TP_TEDAVULTUT_T100
2022-10-01,115647501150.0
2022-11-01,115580074850.0
2022-12-01,117672908750.0
2023-01-01,112674561000.0
2023-02-01,117146728650.0
2023-03-01,120542642450.0
2023-04-01,132269649500.0
2023-05-01,121460748800.0
2023-06-01,158852860550.0
2023-07-01,126694725150.0
2023-08-01,120971504400.0
2023-09-01,119481848550.0
2023-10-01,112468406150.0
2023-11-01,109388514900.0
2023-12-01,105818714150.0
2024-01-01,99505904400.0
2024-02-01,104836326900.0
2024-03-01,109113651350.0
2024-04-01,106362304000.0
2024-05-01,105178505150.0
2024-06-01,107738672550.0
2024-07-01,101670120650.0
2024-08-01,103796309600.0
2024-09-01,101049470650.0
2024-10-01,99691894800.0
2024-11-01,95852176050.0
2024-12-01,92011472150.0
2025-01-01,90909099400.0
2025-02-01,93319215250.0
2025-03-01,107374169850.0
2025-04-01,94151216800.0
2025-05-01,95419057650.0
2025-06-01,90003350650.0
2025-07-01,87707982300.0
2025-08-01,90143395000.0
2025-09-01,89108729500.0
