Tarih,TP_TEDAVULTUT_T20
2014-07-01,4201088390.0
2014-08-01,3934927880.0
2014-09-01,4045295130.0
2014-10-01,3946312800.0
2014-11-01,3843705800.0
2014-12-01,3761578830.0
2015-01-01,3730792940.0
2015-02-01,3790344410.0
2015-03-01,3766982960.0
2015-04-01,3941934350.0
2015-05-01,4033617230.0
2015-06-01,4065265530.0
2015-07-01,4330091470.0
2015-08-01,4254771440.0
2015-09-01,4576178120.0
2015-10-01,4327073940.0
2015-11-01,4181591490.0
2015-12-01,4157319880.0
2016-01-01,4119420230.0
2016-02-01,4092827520.0
2016-03-01,4065588810.0
2016-04-01,4191618430.0
2016-05-01,4230431690.0
2016-06-01,4606519030.0
2016-07-01,4670726960.0
2016-08-01,4540805010.0
2016-09-01,4650500580.0
2016-10-01,4532385720.0
2016-11-01,4371867020.0
2016-12-01,4402091780.0
2017-01-01,4260183010.0
2017-02-01,4273236130.0
2017-03-01,4379463000.0
2017-04-01,4558327270.0
2017-05-01,4396398620.0
2017-06-01,4923133820.0
2017-07-01,4684483860.0
2017-08-01,5286077470.0
2017-09-01,4769533660.0
2017-10-01,4658549450.0
2017-11-01,4593569560.0
2017-12-01,4671872910.0
2018-01-01,4419698550.0
2018-02-01,4431145830.0
2018-03-01,4538118670.0
2018-04-01,4656947230.0
2018-05-01,4687810400.0
2018-06-01,5087874700.0
2018-07-01,4877717370.0
2018-08-01,5390291890.0
2018-09-01,4961338980.0
2018-10-01,4704999420.0
2018-11-01,4624303450.0
2018-12-01,4537611340.0
2019-01-01,4411449700.0
2019-02-01,4456633080.0
2019-03-01,4596273640.0
2019-04-01,4582606310.0
2019-05-01,5286587550.0
2019-06-01,4942487340.0
2019-07-01,4771237600.0
2019-08-01,5146672880.0
2019-09-01,4901128070.0
2019-10-01,4828045690.0
2019-11-01,4800986140.0
2019-12-01,4708857220.0
2020-01-01,4709022030.0
2020-02-01,4793104340.0
2020-03-01,5004046790.0
2020-04-01,5419124530.0
2020-05-01,5607384880.0
2020-06-01,5326771550.0
2020-07-01,5888986870.0
2020-08-01,5388610700.0
2020-09-01,5236612660.0
2020-10-01,5174164270.0
2020-11-01,4988580910.0
2020-12-01,4902966870.0
2021-01-01,4840304800.0
2021-02-01,4816026800.0
2021-03-01,4742043050.0
2021-04-01,4959626070.0
2021-05-01,5163837230.0
2021-06-01,5053773280.0
2021-07-01,5539292450.0
2021-08-01,5244543960.0
2021-09-01,5165468890.0
2021-10-01,5292603860.0
2021-11-01,5154497640.0
2021-12-01,5148196300.0
2022-01-01,5110291680.0
2022-02-01,5145671790.0
2022-03-01,5126518630.0
2022-04-01,5753113160.0
2022-05-01,5197980740.0
2022-06-01,4972446800.0
2022-07-01,5070479590.0
2022-08-01,4820596650.0
2022-09-01,4649175250.0
2022-10-01,4461172470.0
2022-11-01,4309522930.0
2022-12-01,4224106800.0
2023-01-01,4131526020.0
2023-02-01,4135599740.0
2023-03-01,4115079070.0
2023-04-01,4419288970.0
2023-05-01,4248614960.0
2023-06-01,4533175300.0
2023-07-01,4381512580.0
2023-08-01,4353897630.0
2023-09-01,4320775380.0
2023-10-01,4245605730.0
2023-11-01,4280088340.0
2023-12-01,4293033780.0
2024-01-01,4314809620.0
2024-02-01,4375104380.0
2024-03-01,4496586460.0
2024-04-01,4659420660.0
2024-05-01,4649901970.0
2024-06-01,4862054170.0
2024-07-01,4861895520.0
2024-08-01,4927133840.0
2024-09-01,4937758660.0
2024-10-01,4934128090.0
2024-11-01,4946613340.0
2024-12-01,4942892380.0
2025-01-01,5012150740.0
2025-02-01,5088998410.0
2025-03-01,5366555400.0
2025-04-01,5386971740.0
2025-05-01,5427615150.0
2025-06-01,5546332040.0
2025-07-01,5655252910.0
2025-08-01,5805889140.0
2025-09-01,5901790760.0
