Tarih,TP_TEDAVULTUT_TTU
2014-07-01,89194383429.25
2014-08-01,86017265456.75
2014-09-01,89846175671.0
2014-10-01,87076805988.75
2014-11-01,84252531754.75
2014-12-01,85118221699.5
2015-01-01,86635825451.0
2015-02-01,89634417716.0
2015-03-01,90526063889.0
2015-04-01,95125682065.0
2015-05-01,94881109370.25
2015-06-01,96032952890.0
2015-07-01,99793063640.25
2015-08-01,102562230711.0
2015-09-01,109738364088.75
2015-10-01,105666776391.75
2015-11-01,103189268304.5
2015-12-01,103042636168.5
2016-01-01,102893110427.5
2016-02-01,104687813762.0
2016-03-01,102955120587.5
2016-04-01,105221692297.5
2016-05-01,108279154105.0
2016-06-01,116872074813.0
2016-07-01,122348004380.5
2016-08-01,122298609052.5
2016-09-01,124230271361.5
2016-10-01,122632932299.0
2016-11-01,120702084220.0
2016-12-01,122959912797.5
2017-01-01,120776141713.5
2017-02-01,120780578556.0
2017-03-01,123766144691.5
2017-04-01,128290961445.0
2017-05-01,122881478202.5
2017-06-01,130136915620.0
2017-07-01,127607340339.0
2017-08-01,143073634712.0
2017-09-01,130220792388.5
2017-10-01,130600665759.0
2017-11-01,130269094429.0
2017-12-01,131457662381.5
2018-01-01,124669725261.0
2018-02-01,125446931557.5
2018-03-01,131436905196.0
2018-04-01,134780312630.5
2018-05-01,135097493411.5
2018-06-01,146787394841.5
2018-07-01,145727076452.5
2018-08-01,165687745269.5
2018-09-01,152220382605.0
2018-10-01,141805365194.0
2018-11-01,136256856838.5
2018-12-01,132261722384.5
2019-01-01,125940830068.0
2019-02-01,127876370424.5
2019-03-01,132517025618.0
2019-04-01,133676052963.5
2019-05-01,152579737290.0
2019-06-01,141321877221.5
2019-07-01,140679191865.0
2019-08-01,154780099088.0
2019-09-01,150940651949.0
2019-10-01,151645721313.5
2019-11-01,152493239327.0
2019-12-01,153362376187.0
2020-01-01,155094543247.5
2020-02-01,160362802380.0
2020-03-01,177893591487.5
2020-04-01,217398220922.5
2020-05-01,226738547402.5
2020-06-01,221057253332.5
2020-07-01,247226695532.5
2020-08-01,219366277727.5
2020-09-01,213040722295.0
2020-10-01,212891267480.0
2020-11-01,194778771420.0
2020-12-01,188369446590.0
2021-01-01,182463551880.0
2021-02-01,180038209905.0
2021-03-01,185027318255.0
2021-04-01,196901955570.0
2021-05-01,211870870495.0
2021-06-01,213900629987.5
2021-07-01,227381937035.0
2021-08-01,216765335057.5
2021-09-01,218776911665.0
2021-10-01,233520308155.0
2021-11-01,241476740095.0
2021-12-01,235377439587.5
2022-01-01,237268296232.5
2022-02-01,243345023297.5
2022-03-01,253626797502.5
2022-04-01,295388294647.5
2022-05-01,271604244310.0
2022-06-01,285112884940.0
2022-07-01,306970930662.5
2022-08-01,313900963330.0
2022-09-01,319888287607.5
2022-10-01,324680515670.0
2022-11-01,329808286402.5
2022-12-01,341798643177.5
2023-01-01,337046309747.5
2023-02-01,348408286605.0
2023-03-01,366450104415.0
2023-04-01,406309545140.0
2023-05-01,389739229020.0
2023-06-01,515954435700.0
2023-07-01,436621330322.5
2023-08-01,439514642587.5
2023-09-01,452054265585.0
2023-10-01,444407204125.0
2023-11-01,448935482317.5
2023-12-01,448822892317.5
2024-01-01,435149869632.5
2024-02-01,462521701320.0
2024-03-01,493617212440.0
2024-04-01,518921459720.0
2024-05-01,565228459910.0
2024-06-01,612518961167.5
2024-07-01,619515401965.0
2024-08-01,658973978535.0
2024-09-01,656869103420.0
2024-10-01,664058106515.0
2024-11-01,652892442682.5
2024-12-01,645236535422.5
2025-01-01,660822337482.5
2025-02-01,696760177667.5
2025-03-01,840851010455.0
2025-04-01,772681374520.0
2025-05-01,830804313597.5
2025-06-01,805987816062.5
2025-07-01,815733086825.0
2025-08-01,847877115172.5
2025-09-01,855771603567.5
