Tarih,TP_HPBITABLO1_11,TP_HPBITABLO1_11
2010-07-02,2010-27,532257222.0
2010-07-09,2010-28,531919467.0
2010-07-16,2010-29,534953840.0
2010-07-23,2010-30,534751495.0
2010-07-30,2010-31,532609833.0
2010-08-06,2010-32,532253819.0
2010-08-13,2010-33,535094915.0
2010-08-20,2010-34,533740069.0
2010-08-27,2010-35,539076108.0
2010-09-03,2010-36,540332642.0
2010-09-10,2010-37,546060038.0
2010-09-17,2010-38,544678539.0
2010-09-24,2010-39,548499283.0
2010-10-01,2010-40,545328443.0
2010-10-08,2010-41,543664935.0
2010-10-15,2010-42,544922213.0
2010-10-22,2010-43,549954878.0
2010-10-29,2010-44,550386144.0
2010-11-05,2010-45,552222227.0
2010-11-12,2010-46,565066448.0
2010-11-19,2010-47,566921086.0
2010-11-26,2010-48,559249498.0
2010-12-03,2010-49,560349632.0
2010-12-10,2010-50,563235174.0
2010-12-17,2010-51,573464630.0
2010-12-24,2010-52,580515203.0
2010-12-31,2010-53,587814547.0
2011-01-07,2011-1,578890727.0
2011-01-14,2011-2,584052132.0
2011-01-21,2011-3,585431899.0
2011-01-28,2011-4,584371784.0
2011-02-04,2011-5,584451810.0
2011-02-11,2011-6,588036212.0
2011-02-18,2011-7,588807724.0
2011-02-25,2011-8,602614051.0
2011-03-04,2011-9,602785753.0
2011-03-11,2011-10,603113772.0
2011-03-18,2011-11,613401758.0
2011-03-25,2011-12,613088011.0
2011-04-01,2011-13,610779797.0
2011-04-08,2011-14,609379686.0
2011-04-15,2011-15,613652748.0
2011-04-22,2011-16,614764815.0
2011-04-29,2011-17,613785781.0
2011-05-06,2011-18,617810414.0
2011-05-13,2011-19,626387634.0
2011-05-20,2011-20,623903133.0
2011-05-27,2011-21,628282988.0
2011-06-03,2011-22,628029349.0
2011-06-10,2011-23,629705244.0
2011-06-17,2011-24,638964984.0
2011-06-24,2011-25,642027634.0
2011-07-01,2011-26,638391587.0
2011-07-08,2011-27,637639176.0
2011-07-15,2011-28,643433941.0
2011-07-22,2011-29,646591833.0
2011-07-29,2011-30,645682600.0
2011-08-05,2011-31,644249409.0
2011-08-12,2011-32,652462689.0
2011-08-19,2011-33,651685324.0
2011-08-26,2011-34,656696505.0
2011-09-02,2011-35,648253436.0
2011-09-09,2011-36,648396214.0
2011-09-16,2011-37,650644261.0
2011-09-23,2011-38,655506780.0
2011-09-30,2011-39,654290484.0
2011-10-07,2011-40,654515769.0
2011-10-14,2011-41,657647523.0
2011-10-21,2011-42,662396764.0
2011-10-28,2011-43,650376977.0
2011-11-04,2011-44,657806247.0
2011-11-11,2011-45,655713793.0
2011-11-18,2011-46,651898898.0
2011-11-25,2011-47,655038125.0
2011-12-02,2011-48,651526991.0
2011-12-09,2011-49,651688792.0
2011-12-16,2011-50,660759807.0
2011-12-23,2011-51,661998695.0
2011-12-30,2011-52,665642351.0
2012-01-06,2012-1,655522524.0
2012-01-13,2012-2,656230175.0
2012-01-20,2012-3,654159966.0
2012-01-27,2012-4,653688669.0
2012-02-03,2012-5,646025889.0
2012-02-10,2012-6,649319307.0
2012-02-17,2012-7,651127678.0
2012-02-24,2012-8,655057997.0
2012-03-02,2012-9,649973655.0
2012-03-09,2012-10,655900234.0
2012-03-16,2012-11,661621803.0
2012-03-23,2012-12,662713658.0
