Tarih,TP_BISTOPKREDI_QPT3
2000-01-01,82.5
2000-04-01,82.9
2000-07-01,84.1
2000-10-01,83.9
2001-01-01,87.5
2001-04-01,89.2
2001-07-01,90.3
2001-10-01,90.9
2002-01-01,90.7
2002-04-01,89.2
2002-07-01,90.6
2002-10-01,92.9
2003-01-01,97.3
2003-04-01,97.2
2003-07-01,96.1
2003-10-01,96.1
2004-01-01,99.4
2004-04-01,99.6
2004-07-01,100.3
2004-10-01,100.9
2005-01-01,99.8
2005-04-01,101.1
2005-07-01,100.4
2005-10-01,101.0
2006-01-01,101.9
2006-04-01,101.5
2006-07-01,100.5
2006-10-01,100.4
2007-01-01,101.0
2007-04-01,104.5
2007-07-01,105.0
2007-10-01,107.1
2008-01-01,110.1
2008-04-01,114.6
2008-07-01,115.6
2008-10-01,117.4
2009-01-01,121.7
2009-04-01,124.3
2009-07-01,124.6
2009-10-01,123.2
2010-01-01,123.6
2010-04-01,125.0
2010-07-01,123.5
2010-10-01,126.9
2011-01-01,129.5
2011-04-01,130.8
2011-07-01,132.2
2011-10-01,132.4
2012-01-01,133.9
2012-04-01,135.4
2012-07-01,138.2
2012-10-01,140.9
2013-01-01,139.8
2013-04-01,139.1
2013-07-01,136.6
2013-10-01,133.8
2014-01-01,131.0
2014-04-01,129.1
2014-07-01,127.8
2014-10-01,127.4
2015-01-01,126.4
2015-04-01,124.9
2015-07-01,122.6
2015-10-01,121.3
2016-01-01,119.1
2016-04-01,117.5
2016-07-01,115.3
2016-10-01,113.0
2017-01-01,113.2
2017-04-01,112.4
2017-07-01,110.8
2017-10-01,109.5
2018-01-01,107.7
2018-04-01,105.0
2018-07-01,104.4
2018-10-01,102.7
2019-01-01,102.1
2019-04-01,101.0
2019-07-01,99.9
2019-10-01,97.2
2020-01-01,97.3
2020-04-01,104.7
2020-07-01,106.3
2020-10-01,107.8
2021-01-01,110.2
2021-04-01,106.0
2021-07-01,104.4
2021-10-01,102.4
2022-01-01,100.0
2022-04-01,97.2
2022-07-01,94.2
2022-10-01,91.9
2023-01-01,88.6
2023-04-01,85.6
2023-07-01,86.4
2023-10-01,82.3
2024-01-01,80.8
2024-04-01,80.2
2024-07-01,79.0
2024-10-01,77.2
2025-01-01,77.0
