Tarih,TP_BISTOPKREDI_QJP1
2000-01-01,115.3
2000-04-01,117.8
2000-07-01,117.6
2000-10-01,120.0
2001-01-01,125.9
2001-04-01,127.8
2001-07-01,126.0
2001-10-01,127.0
2002-01-01,129.6
2002-04-01,133.2
2002-07-01,132.6
2002-10-01,132.8
2003-01-01,137.5
2003-04-01,139.6
2003-07-01,137.8
2003-10-01,139.8
2004-01-01,144.8
2004-04-01,146.4
2004-07-01,145.1
2004-10-01,146.1
2005-01-01,147.7
2005-04-01,150.0
2005-07-01,147.2
2005-10-01,147.5
2006-01-01,145.8
2006-04-01,144.0
2006-07-01,145.1
2006-10-01,144.8
2007-01-01,143.7
2007-04-01,142.5
2007-07-01,142.6
2007-10-01,143.6
2008-01-01,144.8
2008-04-01,144.3
2008-07-01,144.5
2008-10-01,148.4
2009-01-01,153.0
2009-04-01,159.5
2009-07-01,163.5
2009-10-01,167.5
2010-01-01,169.0
2010-04-01,173.2
2010-07-01,173.1
2010-10-01,174.7
2011-01-01,174.7
2011-04-01,180.0
2011-07-01,183.6
2011-10-01,187.8
2012-01-01,189.3
2012-04-01,191.9
2012-07-01,193.7
2012-10-01,195.0
2013-01-01,199.5
2013-04-01,199.0
2013-07-01,199.7
2013-10-01,200.4
2014-01-01,200.1
2014-04-01,202.5
2014-07-01,203.6
2014-10-01,208.8
2015-01-01,207.4
2015-04-01,206.3
2015-07-01,204.8
2015-10-01,205.7
2016-01-01,211.0
2016-04-01,216.3
2016-07-01,214.2
2016-10-01,211.7
2017-01-01,211.5
2017-04-01,212.1
2017-07-01,211.2
2017-10-01,211.3
2018-01-01,210.8
2018-04-01,210.9
2018-07-01,209.1
2018-10-01,212.7
2019-01-01,215.9
2019-04-01,218.0
2019-07-01,216.9
2019-10-01,217.1
2020-01-01,217.6
2020-04-01,229.9
2020-07-01,235.7
2020-10-01,237.7
2021-01-01,235.8
2021-04-01,233.2
2021-07-01,231.1
2021-10-01,230.4
2022-01-01,232.7
2022-04-01,232.6
2022-07-01,230.0
2022-10-01,226.5
2023-01-01,229.6
2023-04-01,227.9
2023-07-01,218.5
2023-10-01,218.4
2024-01-01,216.5
2024-04-01,212.0
2024-07-01,210.7
2024-10-01,205.6
2025-01-01,200.4
