Tarih,TP_BISTOPKREDI_QUS1
2000-01-01,54.7
2000-04-01,52.0
2000-07-01,51.1
2000-10-01,51.4
2001-01-01,51.7
2001-04-01,49.6
2001-07-01,51.3
2001-10-01,51.3
2002-01-01,50.8
2002-04-01,52.1
2002-07-01,54.6
2002-10-01,55.1
2003-01-01,55.6
2003-04-01,56.6
2003-07-01,56.1
2003-10-01,56.1
2004-01-01,63.8
2004-04-01,62.0
2004-07-01,62.6
2004-10-01,63.1
2005-01-01,62.9
2005-04-01,62.5
2005-07-01,61.0
2005-10-01,61.1
2006-01-01,60.4
2006-04-01,58.6
2006-07-01,59.2
2006-10-01,59.0
2007-01-01,59.6
2007-04-01,57.7
2007-07-01,58.7
2007-10-01,60.5
2008-01-01,62.8
2008-04-01,60.9
2008-07-01,64.3
2008-10-01,71.4
2009-01-01,74.5
2009-04-01,75.6
2009-07-01,79.5
2009-10-01,81.1
2010-01-01,83.9
2010-04-01,87.8
2010-07-01,90.6
2010-10-01,90.5
2011-01-01,90.7
2011-04-01,91.6
2011-07-01,97.2
2011-10-01,99.2
2012-01-01,99.2
2012-04-01,101.2
2012-07-01,101.5
2012-10-01,102.1
2013-01-01,102.8
2013-04-01,98.5
2013-07-01,98.0
2013-10-01,98.0
2014-01-01,99.5
2014-04-01,98.9
2014-07-01,98.8
2014-10-01,100.4
2015-01-01,100.6
2015-04-01,97.7
2015-07-01,98.5
2015-10-01,99.6
2016-01-01,102.6
2016-04-01,103.3
2016-07-01,103.2
2016-10-01,100.6
2017-01-01,99.6
2017-04-01,98.7
2017-07-01,99.1
2017-10-01,99.4
2018-01-01,99.1
2018-04-01,97.5
2018-07-01,96.7
2018-10-01,98.9
2019-01-01,100.5
2019-04-01,100.7
2019-07-01,103.6
2019-10-01,103.4
2020-01-01,110.7
2020-04-01,125.1
2020-07-01,127.4
2020-10-01,129.4
2021-01-01,125.4
2021-04-01,122.0
2021-07-01,119.4
2021-10-01,119.2
2022-01-01,114.0
2022-04-01,107.2
2022-07-01,102.2
2022-10-01,101.6
2023-01-01,103.1
2023-04-01,101.7
2023-07-01,101.1
2023-10-01,105.6
2024-01-01,105.2
2024-04-01,103.7
2024-07-01,107.8
2024-10-01,106.3
2025-01-01,107.7
