Tarih,TP_BISTOPKREDI_QCZ1
2000-01-01,15.2
2000-04-01,15.4
2000-07-01,15.9
2000-10-01,16.8
2001-01-01,17.9
2001-04-01,20.0
2001-07-01,22.1
2001-10-01,22.6
2002-01-01,23.7
2002-04-01,24.3
2002-07-01,26.2
2002-10-01,25.8
2003-01-01,28.5
2003-04-01,28.7
2003-07-01,28.7
2003-10-01,28.0
2004-01-01,29.5
2004-04-01,30.5
2004-07-01,29.6
2004-10-01,28.1
2005-01-01,28.0
2005-04-01,27.8
2005-07-01,27.4
2005-10-01,27.4
2006-01-01,27.4
2006-04-01,27.4
2006-07-01,27.2
2006-10-01,27.2
2007-01-01,26.8
2007-04-01,27.4
2007-07-01,26.2
2007-10-01,27.0
2008-01-01,25.6
2008-04-01,26.3
2008-07-01,26.9
2008-10-01,28.4
2009-01-01,28.0
2009-04-01,31.4
2009-07-01,33.0
2009-10-01,34.1
2010-01-01,36.1
2010-04-01,36.5
2010-07-01,40.4
2010-10-01,38.3
2011-01-01,38.7
2011-04-01,38.5
2011-07-01,41.1
2011-10-01,41.6
2012-01-01,44.7
2012-04-01,45.9
2012-07-01,47.8
2012-10-01,48.7
2013-01-01,50.0
2013-04-01,48.6
2013-07-01,47.4
2013-10-01,48.4
2014-01-01,48.5
2014-04-01,48.2
2014-07-01,47.8
2014-10-01,47.5
2015-01-01,47.6
2015-04-01,45.5
2015-07-01,45.2
2015-10-01,44.7
2016-01-01,44.7
2016-04-01,43.7
2016-07-01,42.6
2016-10-01,40.7
2017-01-01,43.4
2017-04-01,42.2
2017-07-01,37.3
2017-10-01,36.2
2018-01-01,37.0
2018-04-01,35.8
2018-07-01,34.2
2018-10-01,33.1
2019-01-01,34.5
2019-04-01,33.9
2019-07-01,32.9
2019-10-01,31.1
2020-01-01,33.9
2020-04-01,41.9
2020-07-01,40.2
2020-10-01,38.9
2021-01-01,43.7
2021-04-01,42.3
2021-07-01,39.4
2021-10-01,39.1
2022-01-01,38.4
2022-04-01,37.3
2022-07-01,38.8
2022-10-01,38.4
2023-01-01,39.5
2023-04-01,39.7
2023-07-01,39.7
2023-10-01,40.9
2024-01-01,41.8
2024-04-01,40.7
2024-07-01,42.7
2024-10-01,42.0
2025-01-01,42.1
