Tarih,TP_BISTOPKREDI_QTH3
2000-01-01,128.4
2000-04-01,121.5
2000-07-01,111.4
2000-10-01,107.9
2001-01-01,107.2
2001-04-01,99.8
2001-07-01,99.4
2001-10-01,95.5
2002-01-01,100.9
2002-04-01,98.3
2002-07-01,98.5
2002-10-01,97.2
2003-01-01,95.9
2003-04-01,95.1
2003-07-01,92.1
2003-10-01,86.0
2004-01-01,87.2
2004-04-01,86.9
2004-07-01,91.1
2004-10-01,87.3
2005-01-01,86.2
2005-04-01,86.5
2005-07-01,85.9
2005-10-01,84.4
2006-01-01,82.6
2006-04-01,82.7
2006-07-01,81.1
2006-10-01,79.2
2007-01-01,76.7
2007-04-01,75.9
2007-07-01,75.0
2007-10-01,74.0
2008-01-01,74.3
2008-04-01,75.0
2008-07-01,75.7
2008-10-01,77.7
2009-01-01,76.9
2009-04-01,77.4
2009-07-01,77.6
2009-10-01,75.4
2010-01-01,71.7
2010-04-01,70.3
2010-07-01,68.4
2010-10-01,70.3
2011-01-01,70.4
2011-04-01,71.6
2011-07-01,71.9
2011-10-01,74.0
2012-01-01,74.3
2012-04-01,74.9
2012-07-01,75.6
2012-10-01,73.9
2013-01-01,73.3
2013-04-01,74.3
2013-07-01,73.4
2013-10-01,74.9
2014-01-01,74.9
2014-04-01,75.3
2014-07-01,74.8
2014-10-01,75.8
2015-01-01,75.6
2015-04-01,76.4
2015-07-01,77.5
2015-10-01,77.8
2016-01-01,80.3
2016-04-01,80.2
2016-07-01,78.6
2016-10-01,77.0
2017-01-01,76.0
2017-04-01,76.5
2017-07-01,74.8
2017-10-01,74.8
2018-01-01,74.2
2018-04-01,75.1
2018-07-01,74.9
2018-10-01,75.6
2019-01-01,75.5
2019-04-01,75.3
2019-07-01,74.3
2019-10-01,74.7
2020-01-01,77.7
2020-04-01,81.1
2020-07-01,83.2
2020-10-01,85.6
2021-01-01,87.3
2021-04-01,86.3
2021-07-01,88.6
2021-10-01,88.4
2022-01-01,88.6
2022-04-01,88.5
2022-07-01,87.6
2022-10-01,86.1
2023-01-01,85.8
2023-04-01,86.0
2023-07-01,85.9
2023-10-01,85.7
2024-01-01,85.8
2024-04-01,84.6
2024-07-01,82.4
2024-10-01,82.1
2025-01-01,81.6
