Tarih,TP_BISTOPKREDI_QHK3
2000-01-01,106.3
2000-04-01,103.4
2000-07-01,108.5
2000-10-01,105.2
2001-01-01,106.1
2001-04-01,103.7
2001-07-01,103.5
2001-10-01,101.9
2002-01-01,102.5
2002-04-01,101.3
2002-07-01,101.5
2002-10-01,100.8
2003-01-01,101.4
2003-04-01,106.6
2003-07-01,107.4
2003-10-01,109.1
2004-01-01,111.7
2004-04-01,109.4
2004-07-01,109.8
2004-10-01,112.3
2005-01-01,114.4
2005-04-01,119.8
2005-07-01,117.8
2005-10-01,119.1
2006-01-01,119.8
2006-04-01,122.9
2006-07-01,123.5
2006-10-01,124.7
2007-01-01,127.8
2007-04-01,137.5
2007-07-01,143.2
2007-10-01,136.3
2008-01-01,139.6
2008-04-01,144.4
2008-07-01,146.1
2008-10-01,140.7
2009-01-01,135.6
2009-04-01,142.8
2009-07-01,144.1
2009-10-01,139.3
2010-01-01,145.1
2010-04-01,155.3
2010-07-01,167.0
2010-10-01,166.0
2011-01-01,178.2
2011-04-01,183.3
2011-07-01,185.6
2011-10-01,178.7
2012-01-01,180.7
2012-04-01,180.3
2012-07-01,180.1
2012-10-01,177.8
2013-01-01,185.5
2013-04-01,199.3
2013-07-01,204.0
2013-10-01,201.9
2014-01-01,215.4
2014-04-01,224.5
2014-07-01,228.7
2014-10-01,218.5
2015-01-01,226.9
2015-04-01,226.4
2015-07-01,219.3
2015-10-01,230.4
2016-01-01,229.3
2016-04-01,234.5
2016-07-01,235.1
2016-10-01,238.9
2017-01-01,249.3
2017-04-01,262.4
2017-07-01,265.6
2017-10-01,272.6
2018-01-01,278.0
2018-04-01,273.3
2018-07-01,261.3
2018-10-01,262.6
2019-01-01,261.8
2019-04-01,264.9
2019-07-01,266.3
2019-10-01,267.6
2020-01-01,284.0
2020-04-01,286.3
2020-07-01,303.0
2020-10-01,292.2
2021-01-01,296.8
2021-04-01,304.5
2021-07-01,288.1
2021-10-01,275.3
2022-01-01,287.1
2022-04-01,288.7
2022-07-01,278.6
2022-10-01,276.7
2023-01-01,280.1
2023-04-01,277.5
2023-07-01,269.7
2023-10-01,269.4
2024-01-01,266.8
2024-04-01,250.0
2024-07-01,246.8
2024-10-01,240.2
2025-01-01,244.0
