Tarih,TP_BISTOPKREDI_QCH3
2000-01-01,90.6
2000-04-01,91.7
2000-07-01,90.1
2000-10-01,90.1
2001-01-01,96.0
2001-04-01,91.8
2001-07-01,88.6
2001-10-01,86.8
2002-01-01,89.0
2002-04-01,86.7
2002-07-01,86.0
2002-10-01,83.7
2003-01-01,85.2
2003-04-01,85.3
2003-07-01,87.4
2003-10-01,86.7
2004-01-01,89.6
2004-04-01,84.0
2004-07-01,84.1
2004-10-01,84.7
2005-01-01,83.1
2005-04-01,82.8
2005-07-01,81.0
2005-10-01,84.5
2006-01-01,79.0
2006-04-01,78.9
2006-07-01,77.4
2006-10-01,84.1
2007-01-01,92.7
2007-04-01,96.0
2007-07-01,96.5
2007-10-01,98.0
2008-01-01,96.4
2008-04-01,102.1
2008-07-01,103.6
2008-10-01,97.7
2009-01-01,101.3
2009-04-01,106.4
2009-07-01,104.5
2009-10-01,108.7
2010-01-01,108.5
2010-04-01,111.7
2010-07-01,111.7
2010-10-01,108.0
2011-01-01,114.8
2011-04-01,111.9
2011-07-01,113.0
2011-10-01,112.6
2012-01-01,112.7
2012-04-01,114.1
2012-07-01,118.6
2012-10-01,117.7
2013-01-01,117.0
2013-04-01,116.3
2013-07-01,114.7
2013-10-01,114.4
2014-01-01,113.1
2014-04-01,114.4
2014-07-01,111.8
2014-10-01,110.4
2015-01-01,109.7
2015-04-01,107.9
2015-07-01,108.5
2015-10-01,111.7
2016-01-01,117.1
2016-04-01,116.1
2016-07-01,117.6
2016-10-01,117.3
2017-01-01,118.6
2017-04-01,122.2
2017-07-01,122.9
2017-10-01,124.8
2018-01-01,131.2
2018-04-01,125.4
2018-07-01,123.5
2018-10-01,119.0
2019-01-01,123.1
2019-04-01,126.9
2019-07-01,132.6
2019-10-01,139.0
2020-01-01,137.9
2020-04-01,141.9
2020-07-01,145.6
2020-10-01,141.8
2021-01-01,153.0
2021-04-01,152.2
2021-07-01,153.3
2021-10-01,149.3
2022-01-01,153.1
2022-04-01,153.2
2022-07-01,150.7
2022-10-01,145.1
2023-01-01,147.8
2023-04-01,144.9
2023-07-01,144.2
2023-10-01,137.5
2024-01-01,139.3
2024-04-01,142.9
2024-07-01,140.2
2024-10-01,135.8
2025-01-01,139.4
